circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,KalaaKobra,20040102601,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 1,0,0,1,35,0,0,259,1,0,1,1,0,1,0,2,2,1,0,0,0,4,0,0,78,0,9,7,402
Sousse,KalaaKobra,20040102602,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 2,1,0,0,25,0,0,229,0,1,0,1,0,2,0,1,0,0,0,0,1,1,1,1,111,1,1,8,385
Sousse,KalaaKobra,20040102603,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 3,1,0,2,34,0,0,215,2,0,1,1,0,6,0,0,1,0,0,0,1,3,1,1,96,0,8,12,385
Sousse,KalaaKobra,20040102604,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 4,1,0,2,33,0,0,176,0,0,1,1,0,2,0,0,0,0,0,0,2,4,0,5,100,0,9,12,348
Sousse,KalaaKobra,20040102605,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 5,0,1,1,36,0,0,143,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,87,0,4,11,288
Sousse,KalaaKobra,20040102606,م إبتدائية الحي الجديد القلعة الكبرى - الجرابعة  مكتب 6,0,0,2,40,0,0,157,7,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,79,1,2,16,310
Sousse,KalaaKobra,20040102701,م إبتدائية غرة جوان القلعة الكبرى - الجرابعة  مكتب 1,1,0,0,30,0,0,173,1,0,2,1,0,5,1,0,1,2,0,1,0,2,0,0,61,0,1,6,288
Sousse,KalaaKobra,20040102702,م إبتدائية غرة جوان القلعة الكبرى - الجرابعة  مكتب 2,1,0,0,31,0,0,146,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0,70,0,2,8,266
Sousse,KalaaKobra,20040102703,م إبتدائية غرة جوان القلعة الكبرى - الجرابعة  مكتب 3,0,0,3,33,0,1,105,3,0,2,2,0,0,0,0,0,0,0,1,0,2,0,3,54,0,1,14,224
Sousse,KalaaKobra,20040102801,م إبتدائية  9أفريل القلعة الكبرى - الجرابعة  مكتب 1,0,1,0,40,0,3,236,1,1,2,1,0,8,1,0,2,0,0,2,0,3,0,1,55,1,4,4,366
Sousse,KalaaKobra,20040102802,م إبتدائية  9أفريل القلعة الكبرى - الجرابعة  مكتب 2,0,0,0,48,0,0,133,4,0,3,3,1,0,0,0,2,0,0,0,0,0,0,2,85,0,6,11,298
Sousse,KalaaKobra,20040102901,م إبتدائية   14 جانفي القلعة الكبرى - الجرابعة  مكتب 1,0,0,0,33,0,0,160,6,0,1,1,0,4,1,0,6,0,1,0,0,3,0,2,65,1,8,10,302
Sousse,KalaaKobra,20040203001,م إبتدائية ابن خلدون القلعة الكبرى - الزعارنة الغربية  مكتب 1,1,0,1,24,0,2,251,3,0,0,3,1,2,0,0,2,0,1,0,0,3,1,0,51,0,4,7,357
Sousse,KalaaKobra,20040203002,م إبتدائية ابن خلدون القلعة الكبرى - الزعارنة الغربية  مكتب 2,0,0,2,24,0,0,231,3,1,1,1,1,2,0,0,0,0,0,0,0,5,1,1,79,1,5,11,369
Sousse,KalaaKobra,20040203003,م إبتدائية ابن خلدون القلعة الكبرى - الزعارنة الغربية  مكتب 3,0,0,2,39,0,0,180,6,0,0,3,0,1,0,0,2,0,0,0,1,1,0,1,81,0,2,12,331
Sousse,KalaaKobra,20040203004,م إبتدائية ابن خلدون القلعة الكبرى - الزعارنة الغربية  مكتب 4,0,0,1,39,0,0,163,1,0,1,3,0,2,0,0,0,0,0,0,1,1,0,1,73,1,5,5,297
Sousse,KalaaKobra,20040203005,م إبتدائية ابن خلدون القلعة الكبرى - الزعارنة الغربية  مكتب 5,0,0,4,28,0,0,135,3,0,1,1,1,3,0,0,0,0,0,1,1,1,0,2,67,2,0,11,261
Sousse,KalaaKobra,20040203101,م إبتدائية حشاد القلعة الكبرى - الزعارنة الغربية  مكتب 1,0,0,3,19,0,1,192,4,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,68,0,7,7,308
Sousse,KalaaKobra,20040203102,م إبتدائية حشاد القلعة الكبرى - الزعارنة الغربية  مكتب 2,0,0,0,30,0,0,153,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,3,75,0,1,8,277
Sousse,KalaaKobra,20040203103,م إبتدائية حشاد القلعة الكبرى - الزعارنة الغربية  مكتب 3,0,0,3,34,0,1,146,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,49,0,1,12,254
Sousse,KalaaKobra,20040303201,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 1,1,1,2,24,0,1,251,1,0,3,1,0,5,0,1,1,1,0,0,0,4,1,1,55,0,4,5,363
Sousse,KalaaKobra,20040303202,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 2,0,2,1,31,0,1,203,2,0,0,0,1,3,0,1,0,0,1,1,0,1,0,4,94,1,4,7,358
Sousse,KalaaKobra,20040303203,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 3,1,0,3,48,0,0,186,1,0,1,1,0,5,1,0,1,0,0,0,0,3,0,4,99,1,6,7,368
Sousse,KalaaKobra,20040303204,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 4,0,0,2,37,0,0,160,1,0,1,2,0,7,0,0,1,2,0,0,0,2,0,4,102,1,8,10,340
Sousse,KalaaKobra,20040303205,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 5,1,0,1,46,0,0,108,2,0,1,3,0,6,0,0,0,0,0,0,0,2,0,1,76,0,3,11,261
Sousse,KalaaKobra,20040303206,م إبتدائية الحي الشرقي القلعة الكبرى - الزعارنة الشرقية  مكتب 6,1,0,2,26,0,0,156,2,0,5,1,0,6,0,0,1,0,0,0,0,2,0,4,88,1,1,15,311
Sousse,KalaaKobra,20040303301,م إبتدائية حي النزهة القلعة الكبرى - الزعارنة الشرقية  مكتب 1,0,0,3,22,0,0,212,1,1,2,1,0,2,0,0,2,0,0,0,0,1,0,0,75,0,5,9,336
Sousse,KalaaKobra,20040303302,م إبتدائية حي النزهة القلعة الكبرى - الزعارنة الشرقية  مكتب 2,0,0,2,26,0,1,158,1,0,1,2,1,0,0,0,1,0,0,0,0,2,1,1,96,0,4,13,310
Sousse,KalaaKobra,20040303303,م إبتدائية حي النزهة القلعة الكبرى - الزعارنة الشرقية  مكتب 3,0,0,7,34,0,0,141,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,76,0,4,14,282
Sousse,KalaaKobra,20040403401,م إبتدائية ابن عيسى القلعة الكبرى - أولاد محمد  مكتب 1,2,0,0,39,1,0,217,3,1,1,2,1,2,1,0,2,1,0,0,0,3,0,2,52,1,4,8,343
Sousse,KalaaKobra,20040403402,م إبتدائية ابن عيسى القلعة الكبرى - أولاد محمد  مكتب 2,0,0,2,36,0,1,214,3,0,3,0,0,3,1,0,3,0,0,0,0,3,0,2,75,0,7,10,363
Sousse,KalaaKobra,20040403403,م إبتدائية ابن عيسى القلعة الكبرى - أولاد محمد  مكتب 3,0,1,2,61,0,0,157,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,2,82,0,3,14,329
Sousse,KalaaKobra,20040403404,م إبتدائية ابن عيسى القلعة الكبرى - أولاد محمد  مكتب 4,0,1,0,46,1,0,141,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,70,0,4,8,279
Sousse,KalaaKobra,20040403405,م إبتدائية ابن عيسى القلعة الكبرى - أولاد محمد  مكتب 5,0,0,2,46,0,0,118,1,0,0,3,0,1,0,0,2,2,0,0,0,1,0,3,53,0,0,9,241
Sousse,KalaaKobra,20040403501,م إبتدائية  2مارس القلعة الكبرى - أولاد محمد  مكتب 1,0,1,0,26,0,0,188,3,0,1,0,0,1,0,1,0,0,0,0,1,2,0,3,43,0,6,11,287
Sousse,KalaaKobra,20040403502,م إبتدائية  2مارس القلعة الكبرى - أولاد محمد  مكتب 2,0,0,1,23,0,0,135,3,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,49,0,3,4,223
Sousse,KalaaKobra,20040403601,م إبتدائية الزيتونة - أولاد محمد  مكتب 1,1,0,0,26,0,1,187,4,1,2,0,0,0,1,0,1,0,0,2,0,2,0,0,32,1,0,6,267
Sousse,KalaaKobra,20040403602,م إبتدائية الزيتونة - أولاد محمد  مكتب 2,0,0,1,20,0,0,117,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,38,0,2,11,195
Sousse,KalaaKobra,20040503701,م إبتدائية سد الشياب القلعة الكبرى - السد الغربي  مكتب 1,0,1,1,34,1,1,188,13,1,2,1,1,4,0,1,1,1,0,0,0,6,1,0,48,1,3,3,313
Sousse,KalaaKobra,20040503801,م إبتدائية الكرارية القلعة الكبرى - السد الغربي  مكتب 1,1,0,0,13,2,0,169,5,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,64,0,5,3,269
Sousse,KalaaKobra,20040503901,م إبتدائية أهل جميع القلعة الكبرى - السد الغربي  مكتب 1,1,0,2,22,0,1,198,0,0,0,0,1,2,2,0,0,1,1,0,1,0,0,1,56,0,2,10,301
Sousse,KalaaKobra,20040604001,م إبتدائية البورة القلعة الكبرى - بلعوم  مكتب 1,1,0,0,14,3,0,106,1,0,0,5,0,1,0,1,0,1,0,1,0,1,0,1,146,0,7,1,290
Sousse,KalaaKobra,20040604101,م إبتدائية القبو القلعة الكبرى - بلعوم  مكتب 1,1,0,0,3,0,1,43,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,10,1,3,1,69
