#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20030101701,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 1,1,1,3,30,0,4,280,5,1,1,0,0,5,0,0,2,0,0,1,2,1,0,3,89,0,6,10,445.0
20030101702,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 2,0,1,3,32,1,1,227,1,0,3,2,1,3,1,4,0,0,3,0,0,1,0,1,94,0,4,12,395.0
20030101703,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 3,0,0,3,29,1,0,253,4,0,1,1,0,4,1,1,3,0,0,0,0,4,0,0,122,0,1,10,438.0
20030101704,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 4,0,0,7,28,0,1,261,1,0,3,1,0,9,1,0,3,0,0,0,1,4,0,2,99,0,7,21,449.0
20030101705,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 5,0,0,3,34,0,0,218,4,0,2,3,0,8,0,0,3,0,0,1,0,0,0,1,113,0,8,10,408.0
20030101706,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 6,1,0,3,29,0,1,180,5,0,2,5,0,2,0,0,2,0,0,0,0,1,0,1,98,0,12,25,367.0
20030101707,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 7,0,0,3,41,0,0,175,7,0,1,5,0,9,0,0,0,0,0,0,1,1,0,0,82,0,2,37,364.0
20030101708,م إبتدائية بورقيبة القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 8,0,0,5,40,0,0,161,8,0,2,5,0,3,0,0,1,0,0,0,0,1,0,1,101,0,5,45,378.0
20030101801,م إبتدائية البشرى القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 1,1,1,0,14,2,0,238,2,0,3,0,0,5,2,0,2,0,2,0,0,5,0,3,74,0,9,15,378.0
20030101802,م إبتدائية البشرى القلعة الصغرى - القلعة الصغرى الشرقية  مكتب 2,2,0,4,34,0,0,222,0,1,0,4,1,2,0,0,2,1,1,1,0,2,0,0,73,0,2,14,366.0
