#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20140114501,م إبتدائية كندار   مكتب 1,2,0,3,22,4,1,181,6,5,2,1,0,4,1,3,0,1,0,0,0,5,0,0,71,0,27,11,350.0
20140114502,م إبتدائية كندار   مكتب 2,1,0,0,12,0,0,126,5,0,1,1,0,3,0,1,0,1,0,0,0,1,0,1,112,2,23,10,300.0
20140114503,م إبتدائية كندار   مكتب 3,3,0,2,9,0,0,109,4,0,0,1,0,0,0,2,0,0,0,1,1,1,1,0,109,0,15,9,267.0
20140114601,م إبتدائية أولاد عامر - كندار  مكتب 1,0,1,3,14,4,2,140,4,2,1,2,0,3,0,2,4,2,1,1,1,6,0,2,101,3,9,8,316.0
20140114602,م إبتدائية أولاد عامر - كندار  مكتب 2,1,0,0,10,0,2,74,12,0,1,1,0,0,0,3,0,3,0,0,0,0,0,1,90,0,4,5,207.0
20140214701,م إبتدائية بئر الجديد كندار  مكتب 1,0,0,2,6,1,1,69,7,1,2,1,1,1,0,0,0,1,0,0,0,3,0,1,52,0,8,4,161.0
20140314801,م إبتدائية البلالمة كندار  مكتب 1,0,0,1,3,0,0,157,51,3,1,2,0,0,1,1,0,0,1,0,0,1,0,6,21,0,2,6,257.0
20140414901,م إبتدائية البشاشمة كندار  مكتب 1,2,0,0,2,1,1,99,2,1,0,3,1,3,1,1,1,0,1,2,0,0,2,2,85,0,9,7,226.0
20140414902,م إبتدائية البشاشمة كندار  مكتب 2,0,0,3,0,0,0,51,3,0,1,6,0,1,0,2,0,2,0,0,1,1,0,0,99,0,5,2,177.0
20140515001,م إبتدائية أولاد العابد  مكتب 1,1,0,1,18,1,2,128,1,1,2,0,0,7,0,2,0,0,2,0,1,4,1,1,72,0,12,8,265.0
20140615101,م إبتدائية القماطة كندار - القماطة  مكتب 1,0,0,3,15,0,0,90,19,0,0,1,0,3,2,1,1,0,1,1,1,4,0,0,19,0,6,6,173.0
مجموع أصوات القائمة,10,1,18,111,11,9,1224,114,13,11,19,2,25,5,18,6,10,6,5,5,26,4,14,831,5,120,76,2699,
