circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,Mseken,20150115201,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 1,2,1,1,20,1,3,138,5,0,0,4,0,6,1,0,0,2,1,1,0,1,1,2,173,0,16,9,388
Sousse,Mseken,20150115202,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 2,3,0,1,17,1,2,107,5,0,0,1,1,5,2,3,2,1,1,0,0,5,0,0,193,0,5,15,370
Sousse,Mseken,20150115203,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 3,0,0,1,18,0,0,103,4,0,1,5,0,4,1,0,2,0,0,0,0,3,0,0,224,4,14,18,402
Sousse,Mseken,20150115204,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 4,0,1,2,26,0,0,85,0,0,0,4,0,5,0,1,2,0,0,0,0,2,0,0,253,1,5,9,396
Sousse,Mseken,20150115205,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 5,0,0,2,24,0,0,72,6,0,0,2,0,7,0,0,1,0,0,2,1,2,0,2,196,0,22,12,351
Sousse,Mseken,20150115206,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 6,0,0,2,31,0,0,75,6,0,0,4,0,4,0,0,2,0,0,0,0,2,0,0,210,3,6,10,355
Sousse,Mseken,20150115207,م إبتدائية الحي الجديد مساكن - التوارة الشمالية  مكتب 7,0,0,1,25,0,0,84,8,0,1,1,0,6,0,1,0,0,0,1,1,0,0,0,204,1,7,31,372
Sousse,Mseken,20150115301,م إبتدائية النجاح مساكن - التوارة الشمالية  مكتب 1,1,0,2,11,1,0,60,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,149,0,3,6,240
Sousse,Mseken,20150115302,م إبتدائية النجاح مساكن - التوارة الشمالية  مكتب 2,1,0,0,12,0,0,41,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,154,1,4,8,227
Sousse,Mseken,20150215401,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 1,2,0,3,22,0,0,188,5,0,0,3,0,11,0,0,5,0,0,0,0,4,0,2,186,0,8,11,450
Sousse,Mseken,20150215402,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 2,0,0,2,17,0,0,156,2,0,1,1,0,5,0,0,1,2,0,0,0,4,0,0,214,0,2,8,415
Sousse,Mseken,20150215403,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 3,1,0,4,16,0,0,150,3,0,0,3,0,11,0,0,1,0,0,0,0,3,0,1,245,0,5,13,456
Sousse,Mseken,20150215404,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 4,1,1,1,16,0,0,136,6,0,1,3,0,5,0,0,2,0,0,0,0,2,0,0,252,0,5,13,444
Sousse,Mseken,20150215405,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 5,0,0,5,40,0,0,98,3,0,0,1,0,10,1,1,2,0,0,0,0,3,0,0,256,0,7,17,444
Sousse,Mseken,20150215406,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 6,0,0,1,17,0,1,104,11,0,0,1,0,6,0,0,1,0,0,0,0,1,0,2,216,0,9,16,386
Sousse,Mseken,20150215407,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 7,0,0,1,38,0,0,105,4,0,0,2,0,4,1,0,1,0,0,0,0,1,0,0,218,1,1,14,391
Sousse,Mseken,20150215408,م إبتدائية حي التحرير مساكن - الجديدين  مكتب 8,0,0,4,31,0,1,100,3,0,2,3,0,4,0,0,0,0,0,1,0,2,0,0,228,0,3,32,414
Sousse,Mseken,20150315501,م إبتدائية الحي الشمالي مساكن - الجبليين  مكتب 1,0,0,3,18,0,0,172,5,0,0,5,0,4,0,1,2,0,1,0,0,2,0,0,144,0,6,8,371
