circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,Nfidha,20050104201,م إبتدائية الهادي شاكر النفيضة   مكتب 1,0,2,1,14,0,1,221,16,1,0,0,0,0,2,2,1,0,1,2,0,8,0,8,60,1,6,30,377
Sousse,Nfidha,20050104202,م إبتدائية الهادي شاكر النفيضة   مكتب 2,1,0,2,20,0,3,228,12,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,101,1,4,32,410
Sousse,Nfidha,20050104203,م إبتدائية الهادي شاكر النفيضة   مكتب 3,0,0,3,14,0,1,189,20,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,65,0,8,22,328
Sousse,Nfidha,20050104204,م إبتدائية الهادي شاكر النفيضة   مكتب 4,2,0,2,18,0,2,152,17,0,1,4,0,0,0,0,0,0,0,0,4,1,0,5,77,2,5,35,327
Sousse,Nfidha,20050104301,م إبتدائية حشاد النفيضة   مكتب 1,1,1,2,12,1,0,247,22,3,3,2,2,2,1,0,3,0,0,0,1,3,0,4,68,2,9,24,413
Sousse,Nfidha,20050104302,م إبتدائية حشاد النفيضة   مكتب 2,2,1,0,10,0,2,242,19,3,1,3,0,3,2,1,0,3,4,1,1,12,0,1,71,0,3,11,396
Sousse,Nfidha,20050104303,م إبتدائية حشاد النفيضة   مكتب 3,1,0,1,13,0,0,242,16,0,2,1,0,2,1,0,1,0,0,0,1,1,0,1,114,1,9,28,435
Sousse,Nfidha,20050104304,م إبتدائية حشاد النفيضة   مكتب 4,2,0,0,24,0,0,219,25,0,1,1,0,3,0,0,1,0,1,0,2,2,0,1,85,1,7,17,392
Sousse,Nfidha,20050104305,م إبتدائية حشاد النفيضة   مكتب 5,1,0,1,14,0,0,186,22,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,88,0,12,18,348
Sousse,Nfidha,20050104306,م إبتدائية حشاد النفيضة   مكتب 6,0,0,1,13,0,1,169,14,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,90,0,1,20,318
Sousse,Nfidha,20050104307,م إبتدائية حشاد النفيضة   مكتب 7,0,0,2,20,0,1,171,30,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,81,0,4,33,350
Sousse,Nfidha,20050204401,م إبتدائية الفرادي النفيضة - الفرادة  مكتب 1,1,0,0,23,1,1,201,9,1,3,2,1,4,1,2,2,1,0,3,2,7,2,0,67,0,6,7,347
