#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20130113601,م إبتدائية ابن خلدون سيدي بوعلي   مكتب 1,1,0,0,15,0,3,231,7,1,1,3,0,5,0,5,0,0,1,0,1,3,1,2,80,1,16,39,416.0
20130113602,م إبتدائية ابن خلدون سيدي بوعلي   مكتب 2,1,2,0,25,0,0,226,1,0,0,1,0,6,0,1,0,0,0,0,0,1,0,0,107,1,11,52,435.0
20130113603,م إبتدائية ابن خلدون سيدي بوعلي   مكتب 3,0,0,3,17,1,2,172,4,0,1,1,0,5,1,1,3,0,0,0,0,3,1,1,92,1,9,60,378.0
20130113604,م إبتدائية ابن خلدون سيدي بوعلي   مكتب 4,0,0,4,18,0,0,181,6,0,2,1,0,2,1,0,1,0,0,0,0,2,0,1,62,0,6,32,319.0
20130113701,م إبتدائية الأنصاري سيدي بوعلي   مكتب 1,2,0,0,21,2,1,242,2,2,0,0,0,8,0,3,1,3,2,0,0,2,0,1,64,0,26,34,416.0
20130113702,م إبتدائية الأنصاري سيدي بوعلي   مكتب 2,1,1,2,24,1,1,208,9,2,1,5,0,4,0,0,1,0,0,1,0,2,0,1,84,1,8,51,408.0
20130113703,م إبتدائية الأنصاري سيدي بوعلي   مكتب 3,1,1,0,26,0,0,207,1,0,1,2,0,1,2,1,0,0,0,0,0,2,0,0,90,0,7,49,391.0
20130113704,م إبتدائية الأنصاري سيدي بوعلي   مكتب 4,2,0,0,26,0,0,183,5,0,2,2,0,7,0,2,1,0,0,0,0,2,0,1,66,0,13,35,347.0
20130113705,م إبتدائية الأنصاري سيدي بوعلي   مكتب 5,3,0,1,38,0,0,164,5,0,2,3,0,2,0,0,0,1,0,0,0,3,0,1,47,0,7,33,310.0
20130213801,م إبتدائية سدّ أولاد علي سيدي بوعلي - السد القبلي  مكتب 1,1,0,0,8,0,0,154,2,0,1,1,0,1,0,1,1,1,0,0,1,3,1,2,66,0,6,1,251.0
20130213802,م إبتدائية سدّ أولاد علي سيدي بوعلي - السد القبلي  مكتب 2,0,0,0,5,0,0,135,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,72,2,6,7,232.0
20130313901,م إبتدائية السد الشمالي سيدي بوعلي - السد الجوفي ( السطح)  مكتب 1,0,0,0,7,1,1,108,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,88,0,3,4,221.0
20130313902,م إبتدائية السد الشمالي سيدي بوعلي - السد الجوفي ( السطح)  مكتب 2,1,0,0,11,0,0,79,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1,8,189.0
20130314001,م إبتدائية الكنانة سيدي بوعلي - السد الجوفي ( السطح)  مكتب 1,1,0,0,11,0,1,117,1,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,15,0,2,4,158.0
20130414101,م إبتدائية الشويشة سيدي بوعلي   مكتب 1,0,0,2,11,0,0,89,1,0,1,3,0,3,0,1,1,0,0,0,0,0,1,1,17,0,3,5,139.0
20130514201,م إبتدائية وريمة سيدي بوعلي  مكتب 1,1,0,0,20,0,1,182,3,1,1,1,0,2,0,0,1,0,0,0,0,2,0,1,24,0,7,8,255.0
20130614301,م إبتدائية منزل المحطة سيدي بوعلي  مكتب 1,0,0,2,17,3,1,101,2,3,1,0,1,3,0,2,1,0,1,0,0,4,0,1,22,1,12,12,190.0
20130614302,م إبتدائية منزل المحطة سيدي بوعلي  مكتب 2,1,0,0,21,0,0,75,5,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,32,0,1,12,152.0
20130714401,م إبتدائية سلمون سيدي بوعلي - المهاذبة  مكتب 1,0,0,3,28,1,1,167,2,0,2,2,0,2,0,2,1,0,0,0,0,1,1,0,33,1,4,1,252.0
20130714402,م إبتدائية سلمون سيدي بوعلي - المهاذبة  مكتب 2,0,0,5,19,0,0,98,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,46,0,7,2,185.0
مجموع أصوات القائمة,16,4,22,368,9,12,3119,65,12,18,29,2,55,4,20,14,6,5,2,4,36,7,15,1188,8,155,449,5644,
