#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20110111501,م إبتدائية اسد بن الفرات - الطيب المهيري  مكتب 1,0,1,1,14,0,0,172,0,1,1,1,0,3,0,1,1,2,2,0,0,0,1,1,57,0,10,16,285.0
20110111502,م إبتدائية اسد بن الفرات - الطيب المهيري  مكتب 2,0,0,0,15,0,1,134,3,0,1,3,1,1,0,0,0,1,1,0,0,1,0,1,78,0,14,13,268.0
20110111503,م إبتدائية اسد بن الفرات - الطيب المهيري  مكتب 3,0,0,1,14,0,0,109,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,45,1,10,13,199.0
20110111601,م إبتدائية كدية مالك سوسة - الطيب المهيري  مكتب 1,3,2,1,9,1,1,192,3,1,3,4,2,4,2,2,0,0,1,0,0,6,0,4,84,1,19,14,359.0
20110111602,م إبتدائية كدية مالك سوسة - الطيب المهيري  مكتب 2,0,0,1,8,0,0,172,5,0,0,0,0,2,0,0,0,1,0,1,0,2,0,4,107,1,19,17,340.0
20110111603,م إبتدائية كدية مالك سوسة - الطيب المهيري  مكتب 3,0,0,1,10,0,0,130,3,0,1,2,0,2,0,0,0,0,0,0,0,1,0,11,82,0,11,20,274.0
20110111701,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 1,3,2,5,9,1,2,171,5,1,1,4,0,2,1,1,3,0,0,1,1,2,0,4,70,1,44,11,345.0
20110111702,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 2,2,0,1,15,0,0,209,5,1,3,3,0,1,1,2,0,0,2,0,0,0,1,3,91,1,24,10,375.0
20110111703,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 3,1,0,1,16,0,1,149,7,1,2,2,0,2,0,0,1,0,1,1,0,2,0,4,102,0,50,20,363.0
20110111704,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 4,1,0,1,6,0,2,108,11,0,1,3,0,0,0,1,1,0,0,0,1,1,0,1,72,0,81,23,314.0
20110111705,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 5,1,0,2,12,0,0,109,5,0,0,1,0,1,0,1,4,0,0,0,1,0,0,3,87,0,25,12,264.0
20110111706,م إبتدائية حي العوينة سوسة - الطيب المهيري  مكتب 6,1,0,4,10,0,0,99,11,0,2,1,0,2,1,0,0,0,0,1,0,0,0,4,64,0,31,28,259.0
20110111801,م إبتدائية حي الشباب سوسة - الطيب المهيري  مكتب 1,3,0,1,8,1,0,213,4,0,1,2,0,1,0,2,0,0,1,0,1,4,0,3,76,0,32,18,371.0
20110111802,م إبتدائية حي الشباب سوسة - الطيب المهيري  مكتب 2,0,0,0,9,1,0,164,7,0,1,4,0,7,1,1,1,1,0,2,2,6,0,1,134,0,42,12,396.0
20110111803,م إبتدائية حي الشباب سوسة - الطيب المهيري  مكتب 3,0,0,0,10,0,1,109,7,0,1,3,0,1,0,5,1,0,1,0,1,2,0,1,100,0,63,15,321.0
20110111804,م إبتدائية حي الشباب سوسة - الطيب المهيري  مكتب 4,1,0,3,12,0,1,120,11,0,4,5,0,5,0,1,0,0,0,0,1,0,0,4,92,1,27,29,317.0
20110111901,م إبتدائية  الكفيف - الطيب المهيري  مكتب 1,0,1,2,9,0,1,130,1,0,1,2,0,4,0,0,1,1,0,1,0,4,0,5,87,0,5,11,266.0
20110111902,م إبتدائية  الكفيف - الطيب المهيري  مكتب 2,0,0,0,8,1,0,82,2,0,1,0,0,3,0,0,3,0,0,0,0,0,0,1,83,0,12,13,209.0
20110212001,م إبتدائية خير الدين - إبن خلدون  مكتب 1,0,1,0,7,1,3,106,7,4,1,4,1,8,1,8,1,0,1,1,3,6,0,5,35,0,67,5,276.0
20110212002,م إبتدائية خير الدين - إبن خلدون  مكتب 2,0,0,0,8,1,5,135,3,1,0,3,0,2,0,1,1,0,0,0,0,4,0,1,68,1,68,4,306.0
20110212003,م إبتدائية خير الدين - إبن خلدون  مكتب 3,0,0,0,7,2,2,122,2,0,0,3,1,2,0,2,2,0,1,0,1,1,0,3,58,0,84,10,303.0
20110212004,م إبتدائية خير الدين - إبن خلدون  مكتب 4,0,0,1,4,1,1,82,8,0,0,4,0,1,1,5,0,0,0,0,3,2,0,1,40,0,104,5,263.0
20110212005,م إبتدائية خير الدين - إبن خلدون  مكتب 5,0,0,3,12,1,0,81,7,0,0,4,0,1,0,0,1,0,0,0,1,1,0,3,59,0,45,8,227.0
20110212006,م إبتدائية خير الدين - إبن خلدون  مكتب 6,1,0,3,10,1,0,88,6,0,1,1,0,1,0,0,0,1,0,0,1,0,0,2,51,1,38,7,213.0
20110212101,م إبتدائية ابن سينا سوسة - إبن خلدون  مكتب 1,1,1,1,10,1,2,125,5,2,0,1,1,4,0,1,1,0,1,0,3,2,0,2,54,0,73,7,298.0
20110212102,م إبتدائية ابن سينا سوسة - إبن خلدون  مكتب 2,0,0,0,4,0,1,128,8,1,1,1,0,3,0,0,0,1,1,0,0,2,0,3,70,0,61,10,295.0
20110212103,م إبتدائية ابن سينا سوسة - إبن خلدون  مكتب 3,2,0,1,3,0,0,70,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,63,0,82,11,241.0
20110212104,م إبتدائية ابن سينا سوسة - إبن خلدون  مكتب 4,1,0,3,7,0,1,77,0,0,0,1,0,1,0,1,1,2,0,0,1,1,0,0,66,1,48,17,229.0
20110312201,م إبتدائية قصيبة الشط سوسة   مكتب 1,0,1,0,10,1,2,171,2,0,4,0,0,1,0,4,2,1,1,1,0,2,1,9,77,0,52,11,353.0
20110312202,م إبتدائية قصيبة الشط سوسة   مكتب 2,1,0,0,8,0,2,138,5,0,3,2,1,1,0,2,0,0,0,0,0,3,0,0,96,0,86,10,358.0
20110312203,م إبتدائية قصيبة الشط سوسة   مكتب 3,3,0,1,8,0,3,99,9,0,0,2,0,2,0,4,0,0,0,0,1,2,0,2,72,0,78,9,295.0
20110312204,م إبتدائية قصيبة الشط سوسة   مكتب 4,1,0,3,9,0,0,114,9,0,0,4,0,1,0,1,0,0,0,0,0,0,0,4,65,0,50,15,276.0
20110312301,م إبتدائية 2 مارس قصيبة الشط   مكتب 1,2,0,0,24,0,2,148,8,4,1,4,1,2,3,2,4,1,1,0,1,3,0,3,89,0,63,13,379.0
20110312302,م إبتدائية 2 مارس قصيبة الشط   مكتب 2,0,0,2,9,0,3,93,7,1,1,2,0,2,0,1,1,0,0,0,0,0,0,2,81,0,90,14,309.0
20110412401,م إبتدائية سيدي عبد الحميد سوسة   مكتب 1,1,0,1,13,1,1,169,4,0,0,2,0,4,1,3,1,2,2,0,2,2,0,1,85,0,27,16,338.0
20110412402,م إبتدائية سيدي عبد الحميد سوسة   مكتب 2,0,0,2,10,0,0,113,11,0,0,4,0,3,0,4,2,0,0,0,1,0,0,1,66,0,67,22,306.0
20110412403,م إبتدائية سيدي عبد الحميد سوسة   مكتب 3,0,0,1,7,0,1,110,8,0,1,5,0,3,0,0,1,0,0,0,0,0,0,1,69,0,30,12,249.0
مجموع أصوات القائمة,29,9,47,364,15,39,4741,206,18,37,87,8,86,12,59,34,14,17,9,26,62,3,100,2775,9,1732,501,11039,
