#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20100110101,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 1,0,0,2,20,1,3,272,7,0,1,2,0,2,1,1,2,0,0,0,1,0,0,3,56,1,25,17,417
20100110102,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 2,1,0,1,15,0,1,260,1,1,0,1,1,1,0,3,2,0,2,2,0,4,0,2,75,0,10,15,398
20100110103,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 3,0,0,3,22,1,0,280,2,0,1,5,1,4,0,0,3,0,1,0,0,1,0,5,82,0,4,16,431
20100110104,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 4,0,1,0,32,0,0,226,8,0,2,1,0,4,0,1,0,1,0,0,1,5,0,1,60,0,5,20,368
20100110105,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 5,0,0,1,10,0,1,199,7,0,0,4,1,1,0,0,3,0,0,0,0,0,0,1,58,1,24,28,339
20100110106,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 6,2,0,1,25,0,0,223,2,0,3,1,0,2,1,0,2,0,0,0,0,0,0,3,49,0,5,28,347
20100110107,م إبتدائية خزامة الغربية - وادي بليبان  مكتب 7,0,0,4,18,0,0,201,7,0,1,5,0,3,0,0,2,0,0,0,0,0,0,0,55,0,3,40,339
20100110201,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 1,0,2,3,15,0,1,259,7,1,0,3,0,4,0,1,1,2,0,0,1,1,0,6,92,0,5,48,452
20100110202,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 2,1,0,1,15,0,0,289,3,0,1,4,0,4,0,0,1,0,0,0,0,2,0,1,96,0,4,21,443
20100110203,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 3,0,0,4,17,0,2,229,4,0,2,2,0,3,1,0,3,0,0,1,0,0,0,2,124,0,9,50,453
20100110204,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 4,0,0,3,27,0,0,176,8,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,95,1,16,32,363
20100110205,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 5,0,0,4,30,0,0,192,2,0,0,3,0,5,1,0,0,0,0,0,0,1,0,1,68,1,7,46,361
20100110206,م إبتدائية الوفاء سهلول - وادي بليبان  مكتب 6,0,0,2,23,0,0,191,6,0,2,4,0,2,0,0,1,0,0,0,2,0,0,1,69,1,1,72,377
20100110301,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 1,0,0,4,7,0,0,310,3,0,2,2,0,3,2,0,2,0,0,0,0,3,0,7,84,0,14,35,478
20100110302,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 2,0,0,3,29,0,0,332,1,0,0,2,0,3,1,0,3,0,0,0,1,0,0,3,91,0,3,33,505
20100110303,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 3,0,0,4,5,0,0,287,10,0,1,3,0,5,0,0,5,0,0,0,0,1,1,1,111,1,6,42,483
20100110304,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 4,0,0,5,23,0,0,250,5,0,2,5,0,5,0,0,2,0,0,1,1,0,0,3,96,0,18,32,448
20100110305,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 5,0,0,4,14,0,2,210,11,0,1,1,0,4,0,0,1,1,0,1,0,1,1,4,92,0,14,35,397
20100110306,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 6,0,0,5,23,0,0,213,3,0,1,2,0,1,0,0,2,0,0,0,1,1,0,3,58,1,9,61,384
20100110307,م إبتدائية الامتياز سهلول 1 - وادي بليبان  مكتب 7,1,0,4,18,0,0,221,5,0,4,3,0,3,0,0,0,0,0,0,1,0,0,1,75,1,1,85,423
20100110401,م إبتدائية الطموح سهلول - وادي بليبان  مكتب 1,0,0,5,19,0,0,251,7,0,0,7,0,6,0,0,3,0,0,0,1,0,0,2,90,1,6,39,437
20100110402,م إبتدائية الطموح سهلول - وادي بليبان  مكتب 2,0,0,3,18,0,0,199,8,0,0,4,0,5,0,0,1,0,0,0,2,0,0,0,86,0,13,44,383
20100110403,م إبتدائية الطموح سهلول - وادي بليبان  مكتب 3,0,0,3,24,0,0,173,7,0,2,5,0,4,1,0,1,0,0,0,0,0,0,3,73,1,3,62,362
20100210501,م إبتدائية وادي غنيم - حشاد  مكتب 1,3,0,3,18,0,1,206,3,0,1,3,0,2,1,0,1,0,0,0,1,3,0,3,61,0,21,14,345
20100210502,م إبتدائية وادي غنيم - حشاد  مكتب 2,1,0,3,20,1,0,175,4,2,0,2,1,0,1,1,0,1,0,0,0,0,0,1,80,0,35,12,340
20100210503,م إبتدائية وادي غنيم - حشاد  مكتب 3,0,0,0,24,0,0,128,5,1,0,1,0,1,0,0,0,0,0,0,0,2,0,3,71,0,25,16,277
20100210504,م إبتدائية وادي غنيم - حشاد  مكتب 4,0,0,8,23,0,0,120,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,5,55,0,16,28,265
20100310601,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 1,0,0,3,12,0,0,296,5,0,0,4,0,5,1,0,0,0,0,0,1,0,0,3,81,0,5,24,440
20100310602,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 2,1,0,3,18,0,1,301,2,1,0,5,0,1,3,1,1,0,0,0,1,0,0,1,72,0,12,8,432
20100310603,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 3,1,0,4,19,0,0,276,3,0,0,2,0,4,0,0,2,0,0,0,0,4,0,3,112,0,5,15,450
20100310604,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 4,0,0,3,15,0,0,243,3,0,0,2,0,3,1,0,3,0,0,0,0,1,1,3,115,0,22,35,450
20100310605,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 5,0,0,3,19,0,0,263,4,0,0,4,0,7,0,0,1,0,0,0,0,7,0,1,102,1,10,19,441
20100310606,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 6,0,0,7,29,0,1,220,7,0,2,2,0,2,0,0,5,0,0,0,0,2,0,4,83,0,17,28,409
20100310607,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 7,0,0,2,28,0,1,239,6,0,3,3,0,2,0,0,0,0,0,0,1,1,0,0,74,0,7,31,398
20100310608,م إبتدائية نهج الغزالي سوسة - الهادي شاكر  مكتب 8,0,0,3,22,0,0,208,2,0,1,4,0,4,0,0,2,0,0,0,0,1,0,0,81,1,7,42,378
20100310701,م إبتدائية حي التعمير سوسة - الهادي شاكر  مكتب 1,2,0,6,12,2,1,244,4,1,2,1,0,3,0,0,5,0,0,0,0,2,0,4,109,2,13,30,443
20100310702,م إبتدائية حي التعمير سوسة - الهادي شاكر  مكتب 2,1,0,1,14,0,1,245,5,0,0,1,1,6,1,0,2,0,0,0,0,1,0,1,116,1,12,29,438
20100310703,م إبتدائية حي التعمير سوسة - الهادي شاكر  مكتب 3,0,0,1,17,0,0,199,6,0,2,1,0,3,0,0,3,0,0,0,2,1,0,6,113,0,24,12,390
20100310704,م إبتدائية حي التعمير سوسة - الهادي شاكر  مكتب 4,0,0,1,17,0,0,165,10,0,0,2,0,7,1,0,2,1,0,0,1,1,0,1,89,1,13,34,346
20100310705,م إبتدائية حي التعمير سوسة - الهادي شاكر  مكتب 5,0,0,5,21,0,0,155,11,1,2,2,0,4,0,0,1,0,0,0,0,2,0,1,90,2,15,45,357
20100310801,م إبتدائية  بوخيزر - الهادي شاكر  مكتب 1,2,0,1,8,1,1,138,6,0,1,1,0,1,1,0,3,3,0,1,1,4,0,4,85,0,28,19,309
20100310802,م إبتدائية  بوخيزر - الهادي شاكر  مكتب 2,0,0,1,4,2,1,121,6,0,0,0,0,2,0,3,1,1,1,0,0,2,0,3,55,0,45,13,261
20100310803,م إبتدائية  بوخيزر - الهادي شاكر  مكتب 3,1,0,1,6,0,0,86,12,0,0,2,0,2,0,0,1,0,0,0,1,0,0,3,55,0,18,16,204
20100410901,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 1,2,0,0,9,1,0,235,8,0,2,4,2,3,0,2,3,0,0,0,0,2,0,5,90,1,30,15,414
20100410902,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 2,0,0,2,10,0,4,249,1,1,2,1,1,0,0,1,1,1,0,1,0,6,0,0,85,0,18,10,394
20100410903,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 3,0,0,2,21,1,0,243,5,0,1,2,0,0,0,0,3,0,0,1,0,2,0,1,102,0,27,18,429
20100410904,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 4,0,0,4,19,0,0,221,2,0,1,2,0,2,1,3,0,0,0,0,0,2,0,2,100,0,53,19,431
20100410905,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 5,0,0,2,12,0,0,173,3,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,109,1,33,19,358
20100410906,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 6,0,0,5,23,0,0,159,4,0,1,4,0,1,0,0,3,0,0,0,0,4,0,5,84,0,15,20,328
20100410907,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 7,0,0,3,16,0,0,138,13,0,1,1,1,0,0,1,3,1,0,0,1,0,0,2,86,0,18,25,310
20100410908,م إبتدائية  14 جانفي بوحسينة سوسة   مكتب 8,1,0,2,18,0,0,142,6,0,1,3,1,1,0,0,3,0,0,1,0,2,0,0,88,2,12,47,330
20100411001,م إبتدائية بوحسينة   مكتب 1,0,0,1,12,0,3,242,2,1,0,4,0,2,1,1,1,1,2,1,0,1,1,1,71,0,35,17,400
20100411002,م إبتدائية بوحسينة   مكتب 2,0,0,3,19,1,0,214,8,0,0,0,0,4,2,1,0,0,0,0,0,3,0,0,93,1,29,16,394
20100411003,م إبتدائية بوحسينة   مكتب 3,0,0,2,19,0,3,191,6,0,0,3,0,1,0,1,1,0,0,0,0,2,0,2,67,0,42,14,354
20100411004,م إبتدائية بوحسينة   مكتب 4,0,0,5,20,0,0,152,4,0,3,0,0,2,0,0,1,1,0,0,0,4,0,2,66,1,14,22,297
20100511101,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 1,0,0,7,27,0,0,281,1,0,0,0,0,1,0,0,3,0,0,0,1,2,1,3,71,0,10,17,425
20100511102,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 2,0,1,6,20,0,0,282,1,0,0,0,0,3,2,0,0,0,0,0,1,3,0,1,70,1,9,12,412
20100511103,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 3,2,0,3,22,0,0,256,1,0,1,0,0,3,2,1,3,0,0,0,1,2,0,2,86,1,5,29,420
20100511104,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 4,0,0,2,24,0,1,229,4,0,0,2,0,7,0,1,1,0,0,0,0,4,0,2,94,0,5,28,404
20100511105,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 5,1,0,3,30,0,0,195,4,0,0,1,0,2,0,1,1,0,0,0,0,2,0,2,76,0,7,23,348
20100511106,م إبتدائية نهج المنصف باي سوسة - محمد القروي  مكتب 6,0,0,7,44,0,0,203,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,54,2,2,36,353
20100511201,م إبتدائية نهج الحكيم قرول سوسة - محمد القروي  مكتب 1,0,0,4,21,0,0,307,1,0,0,2,0,4,0,0,2,0,0,0,1,3,1,3,66,0,5,30,450
20100511202,م إبتدائية نهج الحكيم قرول سوسة - محمد القروي  مكتب 2,1,0,1,21,0,1,334,0,0,0,5,0,5,0,0,2,0,1,0,0,0,1,1,73,0,0,13,459
20100511203,م إبتدائية نهج الحكيم قرول سوسة - محمد القروي  مكتب 3,0,0,2,21,1,0,313,4,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,89,0,3,23,462
