#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20080108301,م إبتدائية بورقيبة حي الزهور  مكتب 1,0,2,3,15,2,1,220,8,1,0,1,0,5,1,1,1,0,0,1,2,2,0,1,96,0,29,13,405.0
20080108302,م إبتدائية بورقيبة حي الزهور  مكتب 2,0,0,1,13,0,1,172,10,0,0,1,0,3,0,5,1,0,0,0,0,1,0,3,100,0,32,23,366.0
20080108303,م إبتدائية بورقيبة حي الزهور  مكتب 3,0,0,2,12,0,0,135,8,0,1,3,0,1,1,0,1,0,0,2,1,1,0,3,111,0,19,18,319.0
20080108401,م إبتدائية المستقبل حي الزهور   مكتب 1,1,0,1,9,0,0,167,11,1,0,0,1,6,2,2,1,0,0,1,1,2,0,10,121,1,30,12,380.0
20080108402,م إبتدائية المستقبل حي الزهور   مكتب 2,0,0,0,16,0,1,190,2,0,0,4,0,5,0,0,3,0,0,0,2,2,0,1,112,0,19,16,373.0
20080108403,م إبتدائية المستقبل حي الزهور   مكتب 3,1,0,3,10,0,3,132,8,1,0,1,0,1,0,0,0,0,0,0,0,2,0,5,125,0,43,34,369.0
20080108404,م إبتدائية المستقبل حي الزهور   مكتب 4,0,0,3,7,0,1,104,12,0,1,3,0,0,0,3,1,0,0,0,1,1,0,1,109,0,60,30,337.0
20080108405,م إبتدائية المستقبل حي الزهور   مكتب 5,0,0,1,14,0,0,110,13,0,1,1,0,2,0,3,0,0,0,0,0,0,0,13,109,0,22,16,305.0
20080108406,م إبتدائية المستقبل حي الزهور   مكتب 6,0,0,3,17,1,0,93,10,0,3,4,0,3,0,3,1,1,0,0,0,2,0,5,101,0,17,34,298.0
20080108501,م إبتدائية الهداية حي الزهور   مكتب 1,1,0,2,9,0,5,201,10,1,4,1,0,1,1,1,3,1,0,0,0,2,0,2,125,1,34,17,422.0
20080108502,م إبتدائية الهداية حي الزهور   مكتب 2,3,0,2,8,0,0,153,12,0,1,3,0,0,0,0,1,0,0,0,0,2,0,0,116,0,55,10,366.0
