#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20090109401,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 1,0,0,1,9,1,0,253,9,1,0,2,0,4,0,3,2,0,0,0,0,1,0,4,64,0,12,21,387.0
20090109402,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 2,1,0,0,15,0,1,277,3,0,2,3,0,3,1,0,0,0,0,1,0,3,0,2,71,0,3,18,404.0
20090109403,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 3,0,0,2,18,0,0,256,2,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,112,0,5,20,424.0
20090109404,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 4,1,1,3,15,0,1,214,9,0,2,1,0,2,0,2,2,0,0,0,0,2,0,1,121,0,1,17,395.0
20090109405,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 5,0,0,1,18,0,1,190,3,0,1,2,0,2,0,0,0,0,0,0,0,1,0,4,102,0,17,21,363.0
20090109406,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 6,1,0,1,19,0,0,122,11,0,1,4,0,1,0,0,2,0,0,0,0,0,0,0,93,0,16,28,299.0
20090109407,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 7,0,0,3,11,0,0,157,7,0,1,1,0,2,1,0,1,0,0,0,0,0,0,1,87,2,8,32,314.0
20090109408,م إبتدائية الباب الشمالي سوسة - المدينة  مكتب 8,0,0,0,15,0,0,155,8,0,1,6,0,2,0,0,3,0,0,0,1,0,0,0,71,1,2,56,321.0
20090109501,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 1,0,0,3,9,0,1,336,5,0,0,1,0,4,1,0,0,0,0,0,1,3,2,4,63,0,12,36,481.0
20090109502,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 2,1,0,4,21,0,1,370,1,1,0,4,0,8,0,0,0,0,0,0,0,5,0,2,57,0,5,14,494.0
20090109503,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 3,0,1,3,29,0,0,365,2,0,1,1,0,7,0,0,1,1,0,0,0,1,0,1,71,0,2,10,496.0
20090109504,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 4,0,0,1,23,0,0,335,3,0,3,3,0,6,0,0,0,0,0,0,0,3,0,6,76,0,4,24,487.0
20090109505,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 5,0,0,1,26,0,0,329,9,0,0,2,0,7,1,0,0,0,0,0,0,2,0,1,80,0,2,26,486.0
20090109506,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 6,1,0,2,23,0,0,308,9,0,1,4,0,2,0,0,1,1,0,0,0,2,0,0,66,0,8,33,461.0
20090109507,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 7,0,0,3,21,0,0,236,11,0,1,3,0,2,0,1,2,0,0,0,1,3,0,3,65,1,6,44,403.0
20090109508,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 8,0,0,3,24,0,0,266,7,0,1,2,0,1,0,0,1,0,0,0,0,0,0,2,52,0,5,36,400.0
20090109509,م إبتدائية الخزامة الشرقيــة سوسة - المدينة  مكتب 9,0,0,5,29,0,1,244,6,0,0,2,0,6,0,0,2,0,0,0,1,0,0,2,52,2,3,69,424.0
20090109601,م إبتدائية التريكية سوسة - المدينة  مكتب 1,2,1,2,8,1,0,249,7,5,0,1,0,3,0,0,0,0,1,0,0,0,0,3,68,1,11,12,375.0
20090109602,م إبتدائية التريكية سوسة - المدينة  مكتب 2,2,0,1,20,0,0,255,2,0,0,1,0,2,0,0,1,1,2,0,0,2,0,2,69,2,10,14,386.0
20090109603,م إبتدائية التريكية سوسة - المدينة  مكتب 3,1,0,2,19,0,0,216,7,0,2,3,1,4,0,0,1,1,0,1,0,1,0,1,88,1,8,17,374.0
20090109604,م إبتدائية التريكية سوسة - المدينة  مكتب 4,0,0,1,21,0,2,164,11,0,0,2,0,3,0,1,0,0,0,0,0,3,0,2,75,1,25,15,326.0
20090109605,م إبتدائية التريكية سوسة - المدينة  مكتب 5,1,0,4,22,0,0,165,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,61,2,9,31,311.0
20090109701,م إبتدائية العمارات الشمالية سوسة - المدينة  مكتب 1,2,0,0,10,0,0,285,6,0,2,1,0,3,0,1,4,0,0,0,2,1,0,2,67,0,11,23,420.0
20090109702,م إبتدائية العمارات الشمالية سوسة - المدينة  مكتب 2,0,1,2,19,0,1,330,5,0,0,2,0,2,1,0,0,0,0,0,0,3,0,1,62,1,2,16,448.0
20090109703,م إبتدائية العمارات الشمالية سوسة - المدينة  مكتب 3,0,0,3,21,0,2,271,7,0,0,2,0,5,0,0,1,0,0,0,1,1,0,0,87,0,6,27,434.0
20090109704,م إبتدائية العمارات الشمالية سوسة - المدينة  مكتب 4,1,0,2,20,0,0,287,4,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,64,0,7,21,415.0
20090109705,م إبتدائية العمارات الشمالية سوسة - المدينة  مكتب 5,0,0,3,15,0,0,219,11,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,60,0,11,32,358.0
