circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,Zaouia_Ksiba_Trayat,20020101001,م إبتدائية الجمهورية زاوية سوسة   مكتب 1,0,0,1,6,1,2,185,3,1,2,0,0,2,1,3,3,0,0,0,1,5,0,11,98,0,52,14,391
Sousse,Zaouia_Ksiba_Trayat,20020101002,م إبتدائية الجمهورية زاوية سوسة   مكتب 2,0,0,0,18,1,0,235,1,0,0,1,1,4,2,0,2,0,0,0,1,5,0,3,114,0,4,7,399
Sousse,Zaouia_Ksiba_Trayat,20020101003,م إبتدائية الجمهورية زاوية سوسة   مكتب 3,1,0,0,15,0,3,151,6,0,2,1,0,4,0,0,1,1,0,0,0,0,0,1,121,2,41,28,378
Sousse,Zaouia_Ksiba_Trayat,20020101004,م إبتدائية الجمهورية زاوية سوسة   مكتب 4,1,0,2,12,0,1,120,9,0,0,2,1,2,0,0,0,0,0,0,0,1,0,7,95,0,65,22,340
Sousse,Zaouia_Ksiba_Trayat,20020101005,م إبتدائية الجمهورية زاوية سوسة   مكتب 5,1,0,0,14,0,1,116,4,1,0,2,0,4,0,0,2,0,0,0,1,1,0,13,75,0,33,17,285
Sousse,Zaouia_Ksiba_Trayat,20020101006,م إبتدائية الجمهورية زاوية سوسة   مكتب 6,0,0,2,23,0,0,123,7,2,0,4,0,1,0,0,2,0,0,0,0,1,0,5,98,0,23,13,304
Sousse,Zaouia_Ksiba_Trayat,20020101007,م إبتدائية الجمهورية زاوية سوسة   مكتب 7,1,0,3,22,1,0,161,3,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,94,1,18,21,332
Sousse,Zaouia_Ksiba_Trayat,20020101101,م إبتدائية العهد الجديد زاوية سوسة  مكتب 1,0,1,0,7,1,3,141,4,0,0,2,0,5,0,2,1,1,1,1,3,1,0,3,38,3,42,15,275
Sousse,Zaouia_Ksiba_Trayat,20020101102,م إبتدائية العهد الجديد زاوية سوسة  مكتب 2,0,1,1,4,0,1,174,2,1,0,0,0,2,0,0,0,0,0,0,3,2,0,0,75,0,27,21,314
Sousse,Zaouia_Ksiba_Trayat,20020101103,م إبتدائية العهد الجديد زاوية سوسة  مكتب 3,1,1,0,9,3,2,96,2,0,1,1,0,2,0,1,0,2,0,0,8,2,0,0,45,0,47,16,239
Sousse,Zaouia_Ksiba_Trayat,20020101104,م إبتدائية العهد الجديد زاوية سوسة  مكتب 4,0,0,0,7,2,0,106,4,0,4,1,0,2,1,2,0,2,0,0,6,2,0,1,57,1,27,15,240
Sousse,Zaouia_Ksiba_Trayat,20020101105,م إبتدائية العهد الجديد زاوية سوسة  مكتب 5,1,0,5,5,1,1,105,1,0,1,0,0,4,0,0,3,1,0,0,3,2,0,0,55,1,14,18,221
Sousse,Zaouia_Ksiba_Trayat,20020101201,م إبتدائية الإمتياز - زاوية سوسة  مكتب 1,0,0,0,5,0,1,170,2,1,1,4,0,3,3,0,1,0,0,0,0,3,0,1,85,0,12,13,305
Sousse,Zaouia_Ksiba_Trayat,20020101202,م إبتدائية الإمتياز - زاوية سوسة  مكتب 2,1,0,0,5,0,0,122,8,1,0,3,0,1,0,0,0,2,0,1,0,1,0,1,94,0,36,13,289
Sousse,Zaouia_Ksiba_Trayat,20020101203,م إبتدائية الإمتياز - زاوية سوسة  مكتب 3,0,0,5,12,0,1,133,2,0,2,1,0,1,0,1,1,2,0,0,1,1,0,1,78,1,15,9,267
Sousse,Zaouia_Ksiba_Trayat,20020201301,م إبتدائية علي البلهوان قصيبة سوسة   مكتب 1,1,0,3,9,0,5,259,8,0,1,1,1,1,0,1,2,2,1,0,1,5,0,6,42,0,37,22,408
Sousse,Zaouia_Ksiba_Trayat,20020201302,م إبتدائية علي البلهوان قصيبة سوسة   مكتب 2,2,0,1,11,0,5,282,10,1,0,3,0,1,1,0,1,0,0,0,0,3,1,3,80,1,29,17,452
Sousse,Zaouia_Ksiba_Trayat,20020201303,م إبتدائية علي البلهوان قصيبة سوسة   مكتب 3,1,1,1,21,1,0,233,4,0,1,1,0,6,0,0,1,0,0,0,0,0,0,4,91,0,29,21,416
Sousse,Zaouia_Ksiba_Trayat,20020201304,م إبتدائية علي البلهوان قصيبة سوسة   مكتب 4,2,0,0,18,0,1,149,7,0,3,1,1,0,0,0,1,0,0,0,0,1,0,3,65,0,49,12,313
Sousse,Zaouia_Ksiba_Trayat,20020201305,م إبتدائية علي البلهوان قصيبة سوسة   مكتب 5,0,0,5,25,0,0,175,12,0,3,5,0,2,0,0,1,0,0,0,0,4,0,2,55,3,20,23,335
