circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tataouine,BirLahmar,27020101301,م إبتدائية وادي العرفج البئر الاحمر - بئر الأحمر الشرقية  مكتب 1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,0,2,0,139
Tataouine,BirLahmar,27020101401,م إبتدائية حي النور البئر الاحمر - بئر الاحمر الشرقية   مكتب 1,0,1,1,2,0,0,47,10,1,2,0,0,1,0,1,1,1,0,0,0,2,0,0,165,0,7,4,246
Tataouine,BirLahmar,27020201501,م إبتدائية 14 جانفي البئر الاحمر - بئر الاحمر الغربية   مكتب 1,0,0,0,1,0,0,27,8,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,109,2,10,3,165
Tataouine,BirLahmar,27020201601,م إبتدائية السند البئر الاحمر - بئر الاحمر الغربية   مكتب 1,0,0,1,0,1,1,14,5,0,0,0,0,1,2,0,2,4,0,0,0,2,0,0,193,0,14,1,241
Tataouine,BirLahmar,27020301701,م إبتدائية  2مارس 1934البئر الاحمر - السند  مكتب 1,0,2,0,1,1,1,58,3,2,1,1,0,3,1,1,0,1,1,0,0,3,1,1,164,0,11,2,259
Tataouine,BirLahmar,27020301702,م إبتدائية  2مارس 1934البئر الاحمر - السند  مكتب 2,1,1,2,1,0,0,27,7,1,0,3,0,3,0,0,0,0,0,0,0,1,0,1,197,0,12,2,259
Tataouine,BirLahmar,27020301703,م إبتدائية  2مارس 1934البئر الاحمر - السند  مكتب 3,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,170,1,10,1,205
Tataouine,BirLahmar,27020401801,م إبتدائية العرقوب الئر الاحمر  مكتب 1,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,27,0,2,0,42
Tataouine,BirLahmar,27020501901,م إبتدائية وادي قراقر البئر الاحمر  مكتب 1,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,57,0,3,0,68
Tataouine,BirLahmar,27020602001,م إبتدائية قصر اولاد بوبكر البئر الاحمر - المدينة  مكتب 1,0,0,0,0,1,1,15,7,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,203,0,4,0,236
Tataouine,BirLahmar,27020702101,م إبتدائية حي البساتين البئر الاحمر  مكتب 1,1,0,0,1,0,0,21,6,1,0,1,0,2,0,0,1,1,0,0,0,0,1,0,149,1,8,0,194
