circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tataouine,Ghomrassen,27070109701,م إبتدائية ابن عرفة غمراسن - الواحة  مكتب 1,0,1,2,0,0,4,33,2,2,0,1,2,2,0,2,0,0,0,1,0,1,0,1,193,0,5,3,255
Tataouine,Ghomrassen,27070109702,م إبتدائية ابن عرفة غمراسن - الواحة  مكتب 2,0,0,2,1,0,0,25,9,0,0,2,0,4,0,0,1,0,0,0,0,1,1,0,232,0,7,5,290
Tataouine,Ghomrassen,27070109703,م إبتدائية ابن عرفة غمراسن - الواحة  مكتب 3,0,0,2,0,0,0,7,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,152,0,5,9,191
Tataouine,Ghomrassen,27070109801,م إبتدائية حسن بن جمعة غمراسن - الواحة  مكتب 1,0,0,3,1,1,1,25,21,0,0,4,1,2,2,0,4,1,1,0,0,5,0,2,302,4,5,6,391
Tataouine,Ghomrassen,27070209901,م إبتدائية شارع بورقيبة غمراسن - الزهور  مكتب 1,1,2,3,0,1,0,34,5,0,1,2,0,7,1,1,1,1,2,0,0,1,0,0,227,0,7,6,303
Tataouine,Ghomrassen,27070209902,م إبتدائية شارع بورقيبة غمراسن - الزهور  مكتب 2,0,0,0,1,0,0,20,13,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,182,1,13,7,244
Tataouine,Ghomrassen,27070210001,م إبتدائية 1 جوان 1955 غمراسن - الزهور  مكتب 1,1,2,1,0,0,0,25,10,0,0,1,0,5,0,2,2,1,0,0,0,2,1,0,155,1,1,4,214
Tataouine,Ghomrassen,27070310101,م إبتدائية الحرية غمراسن - القرضاب  مكتب 1,1,0,0,0,0,0,5,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,68,0,5,2,88
Tataouine,Ghomrassen,27070310201,م إبتدائية النصر غمراسن - القرضاب  مكتب 1,0,0,1,1,1,0,9,7,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,199,0,7,6,238
Tataouine,Ghomrassen,27070410301,م إبتدائية الفرش الشمالية غمراسن  مكتب 1,0,0,0,0,1,0,19,3,1,1,1,1,2,0,1,0,2,0,1,0,1,1,0,162,0,5,0,202
Tataouine,Ghomrassen,27070410302,م إبتدائية الفرش الشمالية غمراسن  مكتب 2,0,0,1,0,0,1,6,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,0,7,1,177
Tataouine,Ghomrassen,27070510401,م إبتدائية قرماسة غمراسن   مكتب 1,3,2,1,1,1,1,17,15,0,1,0,0,1,3,1,3,0,1,2,3,0,0,1,148,0,20,6,231
Tataouine,Ghomrassen,27070610501,م إبتدائية قصر الحدادة غمراسن  مكتب 1,0,1,2,1,0,0,15,11,1,0,1,2,0,0,0,1,0,0,0,0,2,0,0,228,0,3,5,273
Tataouine,Ghomrassen,27070710601,م إبتدائية 2 مارس 1934 غمراسن - المدينة الجديدة  مكتب 1,0,0,4,0,0,0,28,8,0,0,5,0,1,1,1,4,2,0,0,0,2,1,0,210,0,8,13,288
Tataouine,Ghomrassen,27070710701,م إبتدائية المظيلة غمراسن - المدينة الجديدة  مكتب 1,0,1,1,2,0,1,10,8,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,61,0,7,0,96
Tataouine,Ghomrassen,27070710801,م إبتدائية المزدلفة غمراسن - المدينة الجديدة  مكتب 1,0,0,2,3,0,0,13,13,0,0,0,0,4,0,2,2,1,0,0,0,0,0,0,161,0,4,5,210
Tataouine,Ghomrassen,27070810901,م إبتدائية قصر المرابطين غمراسن  مكتب 1,1,0,3,0,0,0,8,5,0,0,0,1,2,0,0,1,2,1,0,2,1,0,0,93,0,5,11,136
Tataouine,Ghomrassen,27070811001,م إبتدائية   14 جانفي غمراسن - قصر المرابطين  مكتب 1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20
Tataouine,Ghomrassen,27070911101,م إبتدائية وادي الخيل غمراسن  مكتب 1,0,0,0,0,0,0,9,7,1,0,3,0,1,1,1,0,1,0,0,0,0,0,0,89,0,3,0,116
