#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
27060108701,م إبتدائية  2مارس 1934 رمادة - رمادة الشرقية  مكتب 1,0,1,0,1,2,0,29,2,2,1,4,0,1,0,0,0,1,2,0,0,0,0,0,120,0,8,5,179.0
27060108702,م إبتدائية  2مارس 1934 رمادة - رمادة الشرقية  مكتب 2,0,0,0,0,0,0,8,7,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,88,0,8,3,118.0
27060108801,م إبتدائية العشوش رمادة - رمادة الشرقية  مكتب 1,0,0,0,0,0,0,30,13,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,0,6,2,63.0
27060208901,م إبتدائية البشير النبهاني رمادة - رمادة الغربية  مكتب 1,1,1,0,1,2,0,89,15,0,0,10,2,1,1,0,4,2,1,2,1,2,0,2,197,0,17,1,352.0
27060208902,م إبتدائية البشير النبهاني رمادة - رمادة الغربية  مكتب 2,0,0,0,0,0,0,58,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,127,0,20,5,231.0
27060209001,م إبتدائية الطاهر بوضرع رمادة - رمادة الغربية  مكتب 1,0,0,2,0,2,3,15,5,4,0,3,1,0,1,2,1,3,2,0,0,1,0,1,133,1,12,2,194.0
27060209002,م إبتدائية الطاهر بوضرع رمادة - رمادة الغربية  مكتب 2,0,1,0,0,0,0,15,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,105,0,11,0,140.0
27060309101,م إبتدائية نكريف رمادة   مكتب 1,1,0,0,1,0,2,20,8,0,1,1,0,0,0,0,0,1,2,1,2,3,1,0,263,0,10,0,317.0
27060409201,م إبتدائية   كمبوت رمادة   مكتب 1,2,0,2,0,0,0,14,2,0,0,2,1,0,0,0,3,1,1,1,0,1,1,0,140,0,5,0,176.0
27060409301,م إبتدائية برج بورقيبة رمادة - كنبوت  مكتب 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23.0
27060509401,م إبتدائية بئر عمير رمادة   مكتب 1,0,0,0,0,2,0,34,15,1,0,8,0,1,2,1,2,1,2,1,0,4,3,1,76,0,15,1,170.0
27060609501,م إبتدائية برج الخضراء رمادة   مكتب 1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12.0
27060709601,م إبتدائية مغني رمادة  مكتب 1,0,0,1,1,1,0,26,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32,0,19,0,100.0
مجموع أصوات القائمة,4,3,5,4,9,5,340,111,9,2,33,4,5,4,3,11,9,10,5,4,13,6,4,1321,1,131,19,2075,
