#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
27010100101,م إبتدائية كرشاو الصمار  مكتب 1,2,0,1,3,3,2,21,4,0,0,2,1,1,0,2,1,1,0,3,0,0,1,0,135,2,17,0,202.0
27010100102,م إبتدائية كرشاو الصمار  مكتب 2,0,1,1,1,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,12,1,100.0
27010200201,م إبتدائية  2مارس 1934 الصمار  مكتب 1,1,0,1,3,0,1,68,4,0,0,2,0,2,3,3,2,1,2,0,3,2,0,1,181,1,14,1,296.0
27010200202,م إبتدائية  2مارس 1934 الصمار  مكتب 2,0,0,0,0,0,1,53,10,1,0,0,0,6,0,0,0,2,0,0,0,4,0,1,214,1,8,0,301.0
27010200203,م إبتدائية  2مارس 1934 الصمار  مكتب 3,0,0,0,2,0,0,26,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,157,0,5,1,199.0
27010200301,م إبتدائية قلب الرخم الصمار  مكتب 1,0,0,0,0,0,0,7,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18,0,1,0,33.0
27010200401,م إبتدائية حي الثكنة الصمار  مكتب 1,0,0,0,0,0,0,16,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,96,0,1,0,120.0
27010300501,م إبتدائية الغرياني الصمار  مكتب 1,1,0,0,1,0,0,12,1,0,0,1,2,0,0,1,0,1,0,1,1,1,0,0,116,2,7,0,148.0
27010400601,م إبتدائية الرهاش الصمار  مكتب 1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,2,1,0,1,1,1,0,0,0,28,0,2,0,43.0
27010500701,م إبتدائية المرة الصمار  مكتب 1,1,1,1,0,0,1,14,1,0,0,0,0,2,0,1,0,1,2,1,0,0,0,1,52,0,2,0,81.0
27010500801,م إبتدائية قرعات هلال الصمار - المرة  مكتب 1,1,0,0,0,0,1,7,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,13,0,1,0,30.0
27010600901,م إبتدائية قصر عون الصمار  مكتب 1,2,0,1,1,1,2,30,6,1,2,1,0,3,1,4,2,3,1,0,2,4,1,0,216,1,8,2,295.0
27010600902,م إبتدائية قصر عون الصمار  مكتب 2,0,0,0,0,0,1,28,8,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,170,0,9,2,223.0
27010701001,م إبتدائية بني مهيرة الصمار - بني مهيرة الشرقية  مكتب 1,0,2,1,4,1,1,42,9,1,0,1,2,1,1,2,0,2,0,0,0,0,0,1,235,0,8,1,315.0
27010801101,م إبتدائية راس الوادي الصمار - بني مهيرة الغربية  مكتب 1,1,0,0,1,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,0,2,0,117.0
27010801201,م إبتدائية بني مهيرة الجديدة - بني مهيرة الغربية  مكتب 1,0,0,0,2,1,1,16,2,0,1,0,0,1,0,0,1,3,0,1,0,2,1,1,159,5,8,0,205.0
27010801202,م إبتدائية بني مهيرة الجديدة - بني مهيرة الغربية  مكتب 2,0,0,1,2,0,0,7,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,109,2,6,0,135.0
مجموع أصوات القائمة,9,4,7,21,6,13,372,77,3,4,11,6,21,6,15,7,19,7,7,7,16,3,6,2063,14,111,8,2843,
