#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
27040104301,م إبتدائية  20مارس تطاوين - النزهة  مكتب 1,0,0,0,2,0,3,38,12,0,0,2,0,4,1,3,2,0,0,0,0,2,1,0,300,0,8,6,384
27040104302,م إبتدائية  20مارس تطاوين - النزهة  مكتب 2,0,0,1,0,0,0,27,17,0,0,1,0,3,0,0,2,0,0,0,1,1,0,0,306,0,4,3,366
27040104303,م إبتدائية  20مارس تطاوين - النزهة  مكتب 3,1,0,0,0,0,0,14,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,221,1,5,0,270
27040104401,م إبتدائية النجاح تطاوين - النزهة  مكتب 1,0,1,1,1,0,1,32,15,2,0,2,0,2,0,1,0,2,0,1,0,2,1,2,225,2,8,5,306
27040104402,م إبتدائية النجاح تطاوين - النزهة  مكتب 2,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,214,2,9,2,266
27040104403,م إبتدائية النجاح تطاوين - النزهة  مكتب 3,1,1,2,0,0,0,14,19,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,167,0,6,3,218
27040104501,م إبتدائية نهج قرطبة تطاوين - النزهة   مكتب 1,0,0,0,0,0,1,21,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,173,0,9,1,213
27040204601,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 1,0,1,1,2,0,1,56,11,2,0,1,0,3,1,0,2,1,1,0,1,0,1,2,262,0,6,1,356
27040204602,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 2,1,0,1,3,1,0,37,8,0,0,2,0,3,0,1,1,0,0,1,2,2,0,0,259,1,10,2,335
27040204603,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 3,0,0,2,1,0,2,37,12,0,1,2,0,4,0,0,1,1,0,0,0,4,0,1,322,0,5,6,401
27040204604,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 4,0,0,0,2,0,1,25,10,0,0,6,0,1,0,0,1,2,0,0,0,1,0,1,275,0,3,1,329
27040204605,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 5,0,0,2,0,0,0,19,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,226,0,8,3,279
27040204606,م إبتدائية نهج الطيب المهيري تطاوين - التضامن  مكتب 6,0,0,0,1,0,0,24,16,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,192,1,6,3,249
27040204701,م إبتدائية  2مارس تطاوين - التضامن  مكتب 1,3,2,0,2,1,0,34,6,1,0,3,0,5,0,2,3,4,1,1,1,4,0,2,279,1,18,2,375
27040204702,م إبتدائية  2مارس تطاوين - التضامن  مكتب 2,0,0,1,0,0,0,18,14,1,1,3,0,2,0,0,1,1,0,0,0,5,0,0,270,0,16,2,335
27040204703,م إبتدائية  2مارس تطاوين - التضامن  مكتب 3,2,0,0,0,1,0,5,10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,215,0,8,3,247
27040304801,م إبتدائية علي البلهوان تطاوين - النصر  مكتب 1,0,0,0,0,0,0,11,6,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,50,0,1,0,73
27040304901,م إبتدائية غرة جوان تطاوين - النصر  مكتب 1,0,1,1,2,1,1,36,11,1,0,1,0,2,2,1,1,1,0,1,0,4,0,0,293,0,12,4,376
27040304902,م إبتدائية غرة جوان تطاوين - النصر  مكتب 2,0,0,0,1,1,0,13,21,0,0,2,0,2,0,0,1,2,0,0,0,0,0,1,232,1,4,3,284
27040405001,م إبتدائية الحي الجديد تطاوين - وادي القمح  مكتب 1,0,3,0,4,3,1,27,3,1,1,2,2,1,1,4,0,2,1,1,0,2,2,1,312,1,17,3,395
27040405002,م إبتدائية الحي الجديد تطاوين - وادي القمح  مكتب 2,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,282,0,14,4,334
27040405003,م إبتدائية الحي الجديد تطاوين - وادي القمح  مكتب 3,0,1,0,0,0,0,7,15,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,182,0,16,0,226
27040405101,م إبتدائية وادي القمح ابن خلدون  مكتب 1,1,0,0,1,0,1,13,5,0,1,4,1,3,0,1,0,0,1,0,0,3,0,1,234,0,14,3,287
27040505201,م إبتدائية   14 جانفي تطاوين - برورمت  مكتب 1,0,0,0,1,2,0,42,5,0,0,4,0,7,0,0,1,2,0,0,0,1,0,0,176,0,14,10,265
27040505202,م إبتدائية   14 جانفي تطاوين - برورمت  مكتب 2,0,0,2,1,0,0,13,11,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,152,1,5,2,192
27040505301,م إبتدائية حي برورمت تطاوين   مكتب 1,1,0,1,3,0,1,38,8,0,4,0,0,2,0,2,2,3,1,3,0,4,0,0,253,0,11,3,340
27040505302,م إبتدائية حي برورمت تطاوين   مكتب 2,0,0,0,0,0,0,24,9,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,240,0,5,1,284
27040505303,م إبتدائية حي برورمت تطاوين   مكتب 3,0,0,0,1,0,0,15,14,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,193,2,9,0,240
27040605401,م إبتدائية تلالت تطاوين  مكتب 1,3,0,0,0,1,1,27,5,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,144,1,5,3,195
27040605501,م إبتدائية الفرش الجنوبية تطاوين - تلالت  مكتب 1,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,59,0,5,1,78
27040705601,م إبتدائية وادي الغار تطاوين   مكتب 1,0,0,0,0,0,0,13,5,0,0,9,0,1,1,0,0,0,0,1,1,1,0,1,178,0,4,0,215
27040705701,م إبتدائية تامزوت تطاوين - وادي الغار  مكتب 1,0,1,3,0,0,2,4,4,0,1,1,2,1,1,0,2,1,1,0,0,2,1,0,169,1,18,3,218
27040705801,م إبتدائية  أبو قاسم الشابي طريق الصمار تطاوين - وادي الغار  مكتب 1,1,1,1,2,1,2,30,2,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,241,0,8,5,301
27040705802,م إبتدائية  أبو قاسم الشابي طريق الصمار تطاوين - وادي الغار  مكتب 2,0,0,0,1,0,0,19,13,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,202,0,4,1,246
27040705803,م إبتدائية  أبو قاسم الشابي طريق الصمار تطاوين - وادي الغار  مكتب 3,0,0,0,0,0,0,5,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,168,0,4,0,187
27040705901,م إبتدائية العهد الجديد تطاوين - وادي الغار  مكتب 1,0,0,0,1,0,2,38,5,1,2,1,0,4,1,3,1,0,0,1,0,0,1,0,236,0,7,1,305
27040705902,م إبتدائية العهد الجديد تطاوين - وادي الغار  مكتب 2,0,0,0,0,0,0,17,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,170,1,4,1,200
27040806001,م إبتدائية المعونة تطاوين   مكتب 1,0,0,0,2,0,0,4,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,45,0,0,0,58
27040906101,م إبتدائية الزهرة تطاوين   مكتب 1,0,3,0,2,0,0,21,9,0,0,1,0,1,0,0,2,1,0,0,0,1,1,1,143,0,8,1,195
27040906201,م إبتدائية معاند تطاوين - الزهرة  مكتب 1,1,0,0,1,0,0,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,54,0,2,0,69
27040906301,م إبتدائية اللبيطن تطاوين - الزهرة  مكتب 1,1,0,1,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,0,3,0,75
27040906401,م إبتدائية الجديدة - الزهرة  مكتب 1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,15
27040906501,م إبتدائية فريميسة - الزهرة  مكتب 1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,1,15
27040906601,م إبتدائية الزهرة الجديدة تطاوين   مكتب 1,0,0,0,0,2,2,7,3,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,59,0,7,0,86
27041006701,م إبتدائية قطوفة تطاوين   مكتب 1,0,0,0,0,0,1,9,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,91,0,5,2,118
27041106801,م إبتدائية غمادي تطاوين - خاتمة  مكتب 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25
