circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tozeur,Degueche,18040102701,م إبتدائية  3أوت دقاش - دقاش الشمالية  مكتب 1,1,2,2,1,0,1,134,22,0,1,3,1,6,2,1,1,1,2,1,1,2,0,0,163,0,17,11,376
Tozeur,Degueche,18040102702,م إبتدائية  3أوت دقاش - دقاش الشمالية  مكتب 2,0,0,0,2,0,1,80,32,1,1,4,0,3,1,0,0,0,0,0,0,1,0,0,209,0,10,16,361
Tozeur,Degueche,18040102703,م إبتدائية  3أوت دقاش - دقاش الشمالية  مكتب 3,0,0,0,0,1,0,61,25,0,0,3,0,2,0,0,0,0,0,1,0,2,0,0,161,0,5,15,276
Tozeur,Degueche,18040102801,م إبتدائية النصر دقاش - دقاش الشمالية  مكتب 1,0,0,1,3,0,0,81,23,1,0,0,2,5,1,0,1,0,1,2,0,2,0,0,194,0,8,8,333
Tozeur,Degueche,18040102802,م إبتدائية النصر دقاش - دقاش الشمالية  مكتب 2,0,0,0,1,0,0,74,10,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,212,0,10,9,322
Tozeur,Degueche,18040102803,م إبتدائية النصر دقاش - دقاش الشمالية  مكتب 3,0,0,0,0,0,0,42,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,171,0,9,3,247
Tozeur,Degueche,18040102901,م إبتدائية الجمهورية دقاش - دقاش الشمالية  مكتب 1,1,0,0,2,0,1,78,13,0,0,5,1,1,0,1,1,0,1,0,0,0,0,0,84,0,8,8,205
Tozeur,Degueche,18040102902,م إبتدائية الجمهورية دقاش - دقاش الشمالية  مكتب 2,1,0,0,0,0,0,35,18,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,76,0,2,6,141
Tozeur,Degueche,18040103001,م إبتدائية الاستقلال دقاش - دقاش الشمالية  مكتب 1,1,2,1,1,0,1,91,22,1,1,3,0,2,1,1,4,2,0,0,0,3,0,2,144,0,7,6,296
Tozeur,Degueche,18040103002,م إبتدائية الاستقلال دقاش - دقاش الشمالية  مكتب 2,1,0,2,0,0,0,61,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,126,0,5,9,230
Tozeur,Degueche,18040203101,م إبتدائية أولاد ماجد - سبع أبار  مكتب 1,0,0,0,1,0,0,45,17,0,2,3,0,3,4,0,1,1,2,0,1,1,0,1,206,0,12,3,303
Tozeur,Degueche,18040203102,م إبتدائية أولاد ماجد - سبع أبار  مكتب 2,0,0,1,1,0,0,19,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,196,0,5,1,240
Tozeur,Degueche,18040203201,م إبتدائية زاوية العرب - سبع أبار  مكتب 1,1,1,3,0,0,1,59,18,0,3,6,1,6,0,3,1,0,0,1,0,2,4,0,239,0,14,16,379
Tozeur,Degueche,18040203202,م إبتدائية زاوية العرب - سبع أبار  مكتب 2,1,0,2,0,0,0,54,19,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,207,0,4,3,296
Tozeur,Degueche,18040303301,م إبتدائية المحاسن  مكتب 1,1,1,0,2,0,2,65,21,2,2,0,0,1,2,1,0,3,0,0,3,3,2,0,217,3,9,3,343
Tozeur,Degueche,18040303302,م إبتدائية المحاسن  مكتب 2,0,0,0,0,0,0,22,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,183,0,8,3,235
Tozeur,Degueche,18040303401,م إبتدائية العهد الجديد المحاسن  مكتب 1,2,0,1,2,1,3,67,9,2,2,5,0,9,1,2,0,2,1,2,0,5,1,1,163,0,8,7,296
Tozeur,Degueche,18040303402,م إبتدائية العهد الجديد المحاسن  مكتب 2,0,0,0,0,0,0,50,17,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,161,1,6,4,242
Tozeur,Degueche,18040403501,م إبتدائية التوفيق سدادة - بوهلال  مكتب 1,2,0,3,2,4,3,65,7,4,1,8,1,6,2,1,0,4,1,2,2,6,0,2,189,1,7,5,328
Tozeur,Degueche,18040403502,م إبتدائية التوفيق سدادة - بوهلال  مكتب 2,4,0,2,0,1,1,30,22,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,151,2,3,6,227
Tozeur,Degueche,18040403601,م إبتدائية طريق قبلي سدادة - بوهلال  مكتب 1,1,0,1,5,2,1,35,12,0,1,6,1,3,1,1,0,2,0,1,1,3,1,0,215,1,9,9,312
Tozeur,Degueche,18040403602,م إبتدائية طريق قبلي سدادة - بوهلال  مكتب 2,1,0,0,0,0,0,28,19,0,0,5,0,3,0,0,0,0,1,0,1,0,0,0,208,0,6,4,276
Tozeur,Degueche,18040503701,م إبتدائية قرية حامة الجريد - الحامة  مكتب 1,1,3,2,1,4,2,68,12,4,2,1,1,8,2,4,1,2,3,0,7,7,3,5,185,2,7,5,342
Tozeur,Degueche,18040503702,م إبتدائية قرية حامة الجريد - الحامة  مكتب 2,0,1,2,0,1,0,39,16,0,1,1,0,5,0,1,0,0,1,0,1,0,0,2,180,0,4,5,260
Tozeur,Degueche,18040503801,م إبتدائية شاكمو - الحامة  مكتب 1,2,0,2,5,2,1,67,8,0,0,2,0,1,0,2,0,2,0,0,0,1,0,3,75,2,7,1,183
Tozeur,Degueche,18040603901,م إبتدائية دغومس  مكتب 1,5,1,2,5,1,5,92,15,2,2,2,6,4,0,3,1,1,1,0,0,8,1,1,143,1,23,3,328
Tozeur,Degueche,18040603902,م إبتدائية دغومس  مكتب 2,0,0,0,0,0,0,51,46,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,124,0,11,0,238
Tozeur,Degueche,18040704001,م إبتدائية حامة الجريد - النملات  مكتب 1,2,1,2,7,1,2,87,29,1,1,3,0,14,1,4,3,5,0,1,2,7,1,3,123,0,7,12,319
Tozeur,Degueche,18040704002,م إبتدائية حامة الجريد - النملات  مكتب 2,2,0,0,0,2,1,52,23,1,0,2,0,4,0,0,1,1,0,0,0,3,0,2,163,1,8,8,274
Tozeur,Degueche,18040704003,م إبتدائية حامة الجريد - النملات  مكتب 3,1,0,1,0,0,0,55,51,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,81,0,5,6,208
Tozeur,Degueche,18040704101,م إبتدائية ابراهيم القمودي حامة الجريد - النملات   مكتب 1,3,2,3,4,3,2,104,13,3,0,1,2,5,3,3,1,0,1,1,0,2,1,6,154,2,11,4,334
Tozeur,Degueche,18040704102,م إبتدائية ابراهيم القمودي حامة الجريد - النملات   مكتب 2,3,1,4,1,0,0,60,31,0,3,1,0,6,1,0,0,2,0,1,0,1,0,4,152,0,3,3,277
