#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
18050104201,م إبتدائية شارع بورقيبة نفطة - الشافعي الشريف  مكتب 1,2,0,2,0,0,0,108,19,0,0,1,0,6,0,1,1,2,1,0,2,0,1,0,195,1,7,13,362.0
18050104202,م إبتدائية شارع بورقيبة نفطة - الشافعي الشريف  مكتب 2,0,0,0,2,0,0,81,15,0,0,4,1,6,0,0,0,0,0,0,2,0,0,0,267,0,7,27,412.0
18050104203,م إبتدائية شارع بورقيبة نفطة - الشافعي الشريف  مكتب 3,0,0,1,1,0,0,74,15,1,0,3,0,2,0,0,3,1,0,0,1,1,0,0,248,0,8,17,376.0
18050104204,م إبتدائية شارع بورقيبة نفطة - الشافعي الشريف  مكتب 4,1,0,3,0,0,0,46,15,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,189,1,1,13,274.0
18050104205,م إبتدائية شارع بورقيبة نفطة - الشافعي الشريف  مكتب 5,0,0,3,0,0,0,16,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,161,0,1,19,228.0
18050104301,م إبتدائية الكرامة نفطة - الشافعي الشريف  مكتب 1,0,0,0,0,0,2,69,10,0,0,1,0,1,1,1,0,3,0,0,1,3,0,0,180,1,6,6,285.0
18050104302,م إبتدائية الكرامة نفطة - الشافعي الشريف  مكتب 2,0,0,0,0,0,0,42,8,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,187,0,4,7,255.0
18050104303,م إبتدائية الكرامة نفطة - الشافعي الشريف  مكتب 3,0,0,0,1,0,1,28,10,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,129,0,2,12,186.0
18050204401,م إبتدائية  2مارس 34 نفطة - غرة جوان  مكتب 1,1,1,1,1,4,1,90,7,0,0,1,0,1,1,3,5,2,1,0,1,4,1,0,195,0,9,11,341.0
18050204402,م إبتدائية  2مارس 34 نفطة - غرة جوان  مكتب 2,3,0,0,1,0,1,69,15,0,0,3,0,4,0,2,1,3,0,0,0,3,0,1,248,0,9,7,370.0
18050204403,م إبتدائية  2مارس 34 نفطة - غرة جوان  مكتب 3,1,0,1,0,0,0,43,15,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,219,0,4,9,296.0
18050204404,م إبتدائية  2مارس 34 نفطة - غرة جوان  مكتب 4,0,0,2,0,0,0,28,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,203,0,5,10,257.0
18050204405,م إبتدائية  2مارس 34 نفطة - غرة جوان  مكتب 5,0,0,0,0,0,0,34,21,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,143,0,3,7,213.0
18050304501,م إبتدائية طريق حزوة نفطة - الواحة  مكتب 1,0,0,0,0,0,0,79,17,1,0,3,0,3,1,0,0,1,1,0,0,1,0,0,169,1,5,5,287.0
18050404601,م إبتدائية السني نفطة   مكتب 1,0,0,3,0,1,1,85,14,0,1,1,0,10,1,1,2,1,1,2,1,5,1,1,160,2,7,4,305.0
18050404602,م إبتدائية السني نفطة   مكتب 2,0,1,2,0,0,0,79,19,0,1,2,0,6,0,0,0,1,0,0,3,6,0,0,168,0,7,19,314.0
18050404603,م إبتدائية السني نفطة   مكتب 3,0,0,1,0,0,0,39,13,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,136,0,6,16,216.0
18050404604,م إبتدائية السني نفطة   مكتب 4,1,0,1,0,0,0,43,13,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,126,0,2,12,205.0
18050404701,م إبتدائية مصطفى خريف نفطة - السني  مكتب 1,0,1,2,1,0,0,105,14,0,1,1,1,7,0,1,1,3,0,0,0,3,3,0,180,0,6,15,345.0
18050404702,م إبتدائية مصطفى خريف نفطة - السني  مكتب 2,1,0,2,1,0,1,74,15,0,1,3,0,7,0,0,0,0,0,0,1,1,0,2,201,0,6,20,336.0
18050404703,م إبتدائية مصطفى خريف نفطة - السني  مكتب 3,0,0,1,0,0,0,50,23,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,124,0,4,12,219.0
18050504801,م إبتدائية الخضر بن الحسين نفطة  مكتب 1,1,0,0,2,3,0,111,23,4,2,0,1,5,0,0,2,1,3,1,2,4,1,1,170,1,11,12,361.0
18050504802,م إبتدائية الخضر بن الحسين نفطة  مكتب 2,3,1,1,0,1,2,88,28,0,0,4,1,9,0,3,2,2,2,1,1,3,0,1,206,2,18,18,397.0
18050504803,م إبتدائية الخضر بن الحسين نفطة  مكتب 3,1,1,4,1,0,2,60,22,2,0,0,0,3,0,0,1,2,2,0,0,2,1,1,162,1,14,13,295.0
18050504804,م إبتدائية الخضر بن الحسين نفطة  مكتب 4,0,0,2,0,1,0,63,29,0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,140,1,6,10,258.0
18050504805,م إبتدائية الخضر بن الحسين نفطة  مكتب 5,1,0,4,0,1,0,46,19,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,137,0,10,6,229.0
مجموع أصوات القائمة,16,5,36,11,11,11,1650,428,8,8,37,5,93,8,14,22,26,11,4,17,40,9,10,4643,11,168,320,7622,
