circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tozeur,Tameghza,18010100101,م إبتدائية تمغزة   مكتب 1,2,0,0,1,1,1,111,6,0,0,6,1,3,0,1,1,2,1,2,1,6,1,2,160,0,11,10,330
Tozeur,Tameghza,18010100102,م إبتدائية تمغزة   مكتب 2,0,0,0,1,0,0,76,17,0,0,2,0,3,0,0,2,0,0,1,0,0,0,0,162,1,8,9,282
Tozeur,Tameghza,18010100103,م إبتدائية تمغزة   مكتب 3,1,0,0,0,0,0,85,12,0,0,3,0,2,0,0,1,1,0,0,0,2,0,1,137,0,9,7,261
Tozeur,Tameghza,18010200201,م إبتدائية الشبيكة تمغزة  مكتب 1,2,0,0,2,0,2,34,9,0,1,4,0,2,0,0,0,1,1,1,1,0,0,1,237,1,9,2,310
Tozeur,Tameghza,18010200301,م إبتدائية الظافرية تمغـزة - الشبيكة  مكتب 1,0,0,0,0,0,0,20,7,1,0,1,0,0,2,0,0,2,0,0,0,1,1,0,82,0,2,0,119
Tozeur,Tameghza,18010300401,م إبتدائية ميداس تمغزة - ميداس  مكتب 1,2,0,0,0,1,1,17,12,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,164,0,6,4,213
Tozeur,Tameghza,18010400501,م إبتدائية عين الكرمة تمغزة  مكتب 1,0,1,0,0,0,1,42,21,0,0,4,1,2,0,0,0,1,2,0,1,0,0,0,143,0,25,13,257
Tozeur,Tameghza,18010400601,م إبتدائية الفريد تمغزة - عين الكرمة  مكتب 1,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,26,0,10,1,48
Tozeur,Tameghza,18010500701,م إبتدائية سندس تمغزة - فم الخنقة  مكتب 1,0,0,0,0,0,1,14,9,0,0,4,0,1,0,1,1,1,0,0,0,0,0,0,102,0,6,1,141
Tozeur,Tameghza,18010600801,م إبتدائية الرميثة تمغزة   مكتب 1,0,0,1,0,0,0,25,12,0,2,1,0,0,1,1,0,0,0,0,0,2,0,0,76,0,8,0,129
