#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
18020100901,م إبتدائية نهج تونس توزر - الزبدة  مكتب 1,0,1,4,4,1,0,142,20,0,3,0,2,4,0,0,1,1,0,0,1,2,3,1,189,2,4,15,400.0
18020100902,م إبتدائية نهج تونس توزر - الزبدة  مكتب 2,1,0,0,0,0,0,133,16,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,240,0,6,22,426.0
18020100903,م إبتدائية نهج تونس توزر - الزبدة  مكتب 3,0,0,3,2,0,1,84,21,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,228,0,4,13,363.0
18020100904,م إبتدائية نهج تونس توزر - الزبدة  مكتب 4,1,0,4,1,0,0,49,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,154,1,3,6,241.0
18020201001,م إبتدائية نهج الشابي توزر - الهبائلة  مكتب 1,1,0,0,3,0,0,138,9,0,0,5,0,3,0,1,1,0,0,0,2,2,0,2,167,1,10,10,355.0
18020201002,م إبتدائية نهج الشابي توزر - الهبائلة  مكتب 2,0,0,1,0,0,0,107,18,0,0,1,0,2,0,2,1,1,0,0,2,1,0,0,191,0,8,13,348.0
18020201003,م إبتدائية نهج الشابي توزر - الهبائلة  مكتب 3,0,0,1,1,0,0,55,25,0,0,6,0,2,0,0,0,0,0,0,4,0,0,0,112,0,0,6,212.0
18020301101,م إبتدائية رأس الذراع توزر - رأس الذراع حلبة  مكتب 1,0,0,3,3,0,1,89,13,4,1,0,1,7,0,2,0,1,1,1,0,1,0,0,163,0,10,12,313.0
18020301102,م إبتدائية رأس الذراع توزر - رأس الذراع حلبة  مكتب 2,0,0,0,0,0,2,66,29,1,1,0,1,4,0,0,0,1,0,0,0,2,0,0,260,1,7,8,383.0
18020301103,م إبتدائية رأس الذراع توزر - رأس الذراع حلبة  مكتب 3,1,0,2,1,0,0,66,22,0,0,3,0,4,0,0,2,0,0,0,2,0,0,1,181,0,12,7,304.0
18020301104,م إبتدائية رأس الذراع توزر - رأس الذراع حلبة  مكتب 4,0,0,1,1,0,0,52,13,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,173,0,4,7,256.0
18020301105,م إبتدائية رأس الذراع توزر - رأس الذراع حلبة  مكتب 5,0,0,0,0,0,0,37,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,123,0,4,1,184.0
18020301201,م إبتدائية حلبة توزر - رأس الذراع حلبة  مكتب 1,3,0,2,3,2,3,90,8,4,1,4,1,4,0,2,0,1,1,0,1,5,0,6,157,1,21,2,322.0
18020301202,م إبتدائية حلبة توزر - رأس الذراع حلبة  مكتب 2,0,0,1,0,0,1,45,10,3,0,5,1,1,0,0,0,2,1,0,2,2,1,3,152,0,17,5,252.0
18020301203,م إبتدائية حلبة توزر - رأس الذراع حلبة  مكتب 3,0,0,0,0,0,0,30,14,0,0,4,0,2,0,0,0,1,0,1,0,0,0,4,124,0,2,2,184.0
18020301301,م إبتدائية أبو الفضل النحوي توزر - رأس الذراع حلبة  مكتب 1,1,1,0,0,2,0,133,26,0,1,2,1,3,1,0,1,0,1,1,2,2,0,2,232,4,8,12,436.0
18020301302,م إبتدائية أبو الفضل النحوي توزر - رأس الذراع حلبة  مكتب 2,1,0,2,1,0,1,103,19,0,1,4,1,1,0,1,1,0,1,0,0,0,0,1,222,0,16,7,383.0
18020301303,م إبتدائية أبو الفضل النحوي توزر - رأس الذراع حلبة  مكتب 3,1,0,0,0,0,0,57,30,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,130,0,6,7,237.0
18020301401,م إبتدائية طريق الحامة توزر - رأس الذراع حلبة  مكتب 1,0,0,3,0,1,2,73,18,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,131,0,7,4,245.0
18020401501,م إبتدائية غرة جوان توزر - الإزدهار  مكتب 1,1,0,1,1,0,3,104,22,1,1,4,0,11,1,3,1,0,1,1,1,3,0,2,183,2,21,7,375.0
18020401502,م إبتدائية غرة جوان توزر - الإزدهار  مكتب 2,1,0,0,3,0,1,95,22,1,0,2,0,3,0,0,2,0,0,0,0,1,0,1,233,0,8,7,380.0
18020401503,م إبتدائية غرة جوان توزر - الإزدهار  مكتب 3,0,1,1,0,0,0,73,21,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,150,1,3,11,267.0
18020401504,م إبتدائية غرة جوان توزر - الإزدهار  مكتب 4,1,0,0,0,0,0,45,22,0,0,0,0,4,0,0,0,0,0,1,1,1,0,1,111,0,3,5,195.0
18020501601,م إبتدائية  14 جانفي توزر - حي المطار  مكتب 1,0,0,3,3,1,1,141,15,0,0,3,0,12,2,0,1,3,0,3,2,3,1,0,236,1,13,11,455.0
18020501602,م إبتدائية  14 جانفي توزر - حي المطار  مكتب 2,1,0,2,1,0,0,99,24,1,1,3,0,8,0,0,2,0,1,0,1,2,0,2,283,0,6,10,447.0
18020501603,م إبتدائية  14 جانفي توزر - حي المطار  مكتب 3,0,1,1,1,0,0,73,24,0,0,1,0,3,1,0,2,0,0,0,2,0,0,1,235,0,9,6,360.0
18020501604,م إبتدائية  14 جانفي توزر - حي المطار  مكتب 4,0,0,2,1,0,0,53,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159,0,3,5,261.0
18020501701,م إبتدائية حي السلام توزر - حي المطار  مكتب 1,0,1,0,4,1,0,104,27,0,0,0,2,4,3,0,2,3,2,2,2,2,0,1,176,0,8,7,351.0
18020501702,م إبتدائية حي السلام توزر - حي المطار  مكتب 2,0,0,1,1,0,0,76,23,0,0,4,0,2,0,0,1,0,0,0,2,0,0,3,168,0,7,10,298.0
