#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01070106301,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 1,0,0,3,1,0,0,238,36,0,0,1,0,1,1,0,1,1,0,0,0,1,0,5,71,0,4,16,380.0
01070106302,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 2,0,0,2,4,0,0,213,24,0,1,2,0,2,1,1,1,0,0,0,0,4,0,4,81,0,3,30,373.0
01070106303,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 3,0,0,0,3,0,0,170,35,0,1,1,0,3,1,0,0,0,0,0,0,2,0,8,64,1,5,43,337.0
01070106304,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 4,0,0,5,1,1,0,129,31,0,0,2,0,1,0,1,3,0,0,0,1,0,1,5,116,2,2,40,341.0
01070106305,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 5,0,0,2,1,1,1,107,24,1,0,3,0,0,1,0,2,0,0,1,0,0,0,5,99,0,16,38,302.0
01070106306,م إبتدائية نهج شارل ديقول - باب  بحر  مكتب 6,0,0,2,1,0,0,80,32,0,0,6,0,0,0,1,1,0,0,0,0,0,0,5,91,0,4,37,260.0
01070106401,م إبتدائية نهج روسيا عدد17 - باب  بحر  مكتب 1,0,0,2,2,1,0,258,22,0,1,3,0,3,0,1,1,0,0,0,0,1,0,3,67,0,5,18,388.0
01070106402,م إبتدائية نهج روسيا عدد17 - باب  بحر  مكتب 2,0,0,0,2,0,2,215,27,0,0,2,0,3,0,0,0,0,0,0,0,1,0,4,78,0,3,30,367.0
01070106403,م إبتدائية نهج روسيا عدد17 - باب  بحر  مكتب 3,0,0,6,1,0,0,152,46,0,1,3,0,4,1,0,2,0,0,0,0,0,0,1,76,3,4,50,350.0
01070106404,م إبتدائية نهج روسيا عدد17 - باب  بحر  مكتب 4,1,0,3,0,0,0,87,29,0,0,2,0,3,0,0,0,0,0,1,0,0,0,8,91,0,11,51,287.0
01070106501,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 1,0,0,6,4,0,1,269,32,0,1,2,0,9,0,0,0,0,0,0,0,1,0,3,65,0,4,18,415.0
01070106502,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 2,0,1,3,3,1,1,250,27,0,0,1,0,4,0,0,2,0,0,0,0,0,0,4,74,1,4,25,401.0
01070106503,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 3,0,0,2,4,0,2,181,22,0,0,4,0,3,0,1,1,0,0,0,2,1,0,3,108,0,5,43,382.0
01070106504,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 4,0,0,4,3,0,1,169,34,2,0,3,1,2,0,0,3,0,0,0,1,1,0,6,75,0,3,57,365.0
01070106505,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 5,1,0,2,4,0,2,131,38,0,0,2,0,2,1,0,2,0,0,1,1,2,0,5,144,0,6,41,385.0
01070106506,م إبتدائية  16نهج روسيا - باب  بحر  مكتب 6,0,0,7,1,0,1,88,27,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,95,2,11,58,296.0
01070206601,م إبتدائية 18نهج الهند - الحدائق  مكتب 1,0,0,1,6,0,0,355,16,0,0,1,0,5,1,0,0,0,0,0,0,1,1,2,66,0,3,25,483.0
01070206602,م إبتدائية 18نهج الهند - الحدائق  مكتب 2,1,0,1,5,0,2,362,17,0,0,5,1,2,0,0,0,0,0,0,1,1,0,2,58,1,5,34,498.0
01070206603,م إبتدائية 18نهج الهند - الحدائق  مكتب 3,0,2,6,2,0,1,338,14,1,1,2,0,2,4,0,0,0,0,0,0,1,0,4,73,1,2,28,482.0
01070206604,م إبتدائية 18نهج الهند - الحدائق  مكتب 4,1,0,2,3,0,1,261,18,2,0,4,1,1,0,0,1,0,0,1,0,2,0,10,87,0,5,63,463.0
01070206605,م إبتدائية 18نهج الهند - الحدائق  مكتب 5,0,0,0,10,0,0,293,29,0,1,2,0,8,1,0,1,0,0,0,0,2,0,2,81,0,2,53,485.0
01070206606,م إبتدائية 18نهج الهند - الحدائق  مكتب 6,0,0,3,7,0,0,240,23,1,1,2,1,6,0,0,0,0,0,0,2,2,0,3,71,0,3,82,447.0
01070206607,م إبتدائية 18نهج الهند - الحدائق  مكتب 7,0,0,7,7,0,0,174,15,1,0,2,0,1,1,0,0,0,0,2,1,1,0,3,136,0,14,73,438.0
01070206608,م إبتدائية 18نهج الهند - الحدائق  مكتب 8,0,0,4,6,0,1,197,30,0,0,1,1,4,0,0,0,1,0,0,1,1,0,2,107,0,2,73,431.0
01070206609,م إبتدائية 18نهج الهند - الحدائق  مكتب 9,0,0,4,4,0,0,154,35,0,0,3,1,4,0,0,3,1,0,0,1,2,1,2,95,2,3,96,411.0
01070306701,م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 1,0,1,2,8,0,1,304,23,0,0,4,0,5,0,0,0,0,1,0,1,3,0,1,65,1,8,20,448.0
01070306702,م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس  مكتب 2,0,0,2,3,1,1,247,32,0,0,3,0,5,0,0,0,0,0,0,0,1,0,7,71,0,5,42,420.0
