circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis1,BabSouika,01080107101,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 1,1,1,4,4,0,0,230,22,1,0,5,0,3,2,0,3,0,0,0,1,2,0,1,130,1,8,12,431
Tunis1,BabSouika,01080107102,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 2,2,0,2,4,0,1,249,9,0,0,1,0,1,1,0,2,0,1,0,0,2,1,2,113,3,6,24,424
Tunis1,BabSouika,01080107103,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 3,1,0,4,1,0,1,199,24,0,1,2,0,7,2,0,2,0,0,1,0,4,0,3,120,0,7,32,411
Tunis1,BabSouika,01080107104,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 4,0,0,0,1,0,0,166,33,0,0,1,0,2,0,0,3,0,0,0,0,2,0,5,125,1,14,27,380
Tunis1,BabSouika,01080107105,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 5,0,0,4,8,0,1,164,24,0,0,1,0,4,0,0,0,1,0,0,0,2,0,2,165,0,3,33,412
Tunis1,BabSouika,01080107106,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 6,0,0,2,3,0,0,151,37,0,1,3,0,4,3,0,1,0,0,0,0,2,0,4,105,1,2,45,364
Tunis1,BabSouika,01080107107,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 7,1,0,1,0,0,3,105,27,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,144,2,12,58,358
Tunis1,BabSouika,01080107108,م إبتدائية  3نهج قليبية - باب الخضراء  مكتب 8,0,0,1,1,0,0,104,28,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,100,1,5,57,304
Tunis1,BabSouika,01080207201,م إبتدائية نهج الأقواس - باب سعدون  مكتب 1,0,1,2,2,0,0,212,17,0,1,0,1,4,2,0,0,0,0,0,1,2,1,6,116,1,1,22,392
Tunis1,BabSouika,01080207202,م إبتدائية نهج الأقواس - باب سعدون  مكتب 2,0,0,3,4,0,0,233,14,3,0,2,1,5,0,0,0,0,0,0,0,4,0,10,85,0,5,12,381
Tunis1,BabSouika,01080207203,م إبتدائية نهج الأقواس - باب سعدون  مكتب 3,0,0,2,6,0,1,202,19,1,2,2,1,7,1,0,0,1,0,1,0,4,0,8,102,1,7,16,384
Tunis1,BabSouika,01080207204,م إبتدائية نهج الأقواس - باب سعدون  مكتب 4,0,0,1,5,0,0,176,21,0,0,1,1,2,1,1,1,0,0,0,1,4,1,5,125,0,7,29,382
Tunis1,BabSouika,01080207205,م إبتدائية نهج الأقواس - باب سعدون  مكتب 5,0,1,2,4,0,0,161,14,0,0,2,0,3,0,0,0,0,0,0,0,1,1,2,127,1,6,29,354
Tunis1,BabSouika,01080207206,م إبتدائية نهج الأقواس - باب سعدون  مكتب 6,1,0,3,2,1,0,143,24,0,0,3,0,3,0,0,0,0,0,0,0,2,0,6,103,4,2,40,337
Tunis1,BabSouika,01080207207,م إبتدائية نهج الأقواس - باب سعدون  مكتب 7,0,0,2,3,0,1,98,16,0,0,4,0,1,0,0,0,0,1,0,0,0,0,2,112,0,8,38,286
Tunis1,BabSouika,01080307301,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 1,1,0,6,8,0,1,200,18,0,1,2,0,8,2,0,1,0,0,0,1,3,0,5,136,2,10,15,420
Tunis1,BabSouika,01080307302,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 2,1,0,5,1,0,0,209,19,0,1,4,0,3,1,0,1,0,1,0,0,0,0,5,130,1,3,21,406
Tunis1,BabSouika,01080307303,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 3,0,2,0,3,1,3,191,21,2,0,2,0,4,0,1,2,1,0,1,0,4,0,10,139,2,4,15,408
Tunis1,BabSouika,01080307304,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 4,0,0,1,4,0,0,192,23,0,0,1,0,3,1,2,0,0,0,0,2,6,0,4,116,2,7,25,389
Tunis1,BabSouika,01080307305,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 5,0,0,2,2,1,0,165,22,0,1,3,0,1,0,0,0,0,0,0,0,5,0,6,153,0,3,22,386
Tunis1,BabSouika,01080307306,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 6,0,0,3,5,0,0,144,21,0,1,2,0,2,0,0,1,0,0,0,0,0,1,4,139,1,1,32,357
Tunis1,BabSouika,01080307307,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 7,0,0,5,3,0,1,123,24,0,0,1,0,1,1,0,1,0,0,0,0,1,1,3,134,2,1,43,345
Tunis1,BabSouika,01080307308,م إبتدائية  ساحة سيدي العلوي - الحلفاوين  مكتب 8,0,0,1,1,0,0,128,28,0,0,5,0,2,0,0,3,0,0,0,0,1,0,9,129,0,6,24,337
Tunis1,BabSouika,01080407401,م إبتدائية  55نهج باب سويقة  مكتب 1,0,0,3,4,1,1,240,23,0,0,3,0,6,1,0,0,0,0,0,0,2,0,1,134,1,8,25,453
Tunis1,BabSouika,01080407402,م إبتدائية  55نهج باب سويقة  مكتب 2,0,0,4,3,0,0,269,22,0,0,2,1,4,0,0,2,0,0,0,0,3,1,5,134,0,6,22,478
Tunis1,BabSouika,01080407403,م إبتدائية  55نهج باب سويقة  مكتب 3,1,1,7,3,1,1,238,14,0,0,4,0,1,0,0,2,0,0,0,2,2,0,5,126,0,4,25,437
Tunis1,BabSouika,01080407404,م إبتدائية  55نهج باب سويقة  مكتب 4,0,0,1,4,0,3,210,14,0,0,1,0,5,0,0,3,2,0,0,0,2,0,4,147,2,13,28,439
Tunis1,BabSouika,01080407405,م إبتدائية  55نهج باب سويقة  مكتب 5,2,0,3,3,0,0,204,20,0,0,0,0,4,1,0,1,1,0,0,0,5,0,5,163,4,9,26,451
