#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01010100101,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية  مكتب 1,0,0,0,3,2,0,157,36,0,3,3,0,2,0,1,0,0,1,2,3,5,3,6,119,0,3,21,370
01010100102,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية  مكتب 2,0,0,1,2,0,1,100,51,0,0,0,0,2,0,0,1,0,0,0,1,1,0,2,161,0,9,32,364
01010100103,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية  مكتب 3,0,0,3,0,0,0,122,46,0,2,1,0,3,0,0,1,0,0,0,1,0,0,2,101,3,5,37,327
01010100201,م إبتدائية  2مارس 34 الحرايرية 4 - الحرائرية  مكتب 1,1,0,2,2,2,1,154,38,2,1,1,1,3,0,1,1,0,0,1,3,1,0,5,100,1,7,14,342
01010100202,م إبتدائية  2مارس 34 الحرايرية 4 - الحرائرية  مكتب 2,0,0,0,5,0,0,113,34,0,2,1,1,2,2,0,1,2,0,1,2,1,0,4,130,1,9,20,331
01010100203,م إبتدائية  2مارس 34 الحرايرية 4 - الحرائرية  مكتب 3,0,0,0,3,0,2,108,31,0,0,0,0,5,0,0,1,0,0,0,1,0,0,7,147,0,3,6,314
01010100204,م إبتدائية  2مارس 34 الحرايرية 4 - الحرائرية  مكتب 4,0,0,2,1,0,2,81,57,0,0,0,0,1,0,0,0,1,0,0,5,0,0,2,110,0,3,26,291
01010100301,م إبتدائية الحرايرية 3 - الحرائرية  مكتب 1,0,2,0,1,0,1,148,47,0,1,1,2,4,0,1,2,3,1,0,3,3,0,5,154,0,8,15,402
01010100302,م إبتدائية الحرايرية 3 - الحرائرية  مكتب 2,0,0,2,2,0,0,93,49,0,1,2,0,3,0,0,0,0,0,0,5,2,0,9,172,1,6,28,375
01010200401,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس  مكتب 1,2,0,1,5,1,3,177,27,1,0,5,1,5,1,0,4,1,1,1,4,2,0,4,137,1,10,17,411
01010200402,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس  مكتب 2,0,0,2,0,2,1,163,41,1,0,1,0,2,1,0,1,1,0,0,2,3,1,4,175,0,13,16,430
01010200403,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس  مكتب 3,0,0,1,2,0,1,145,48,0,1,0,0,2,0,0,0,1,0,0,0,1,0,5,187,0,7,24,425
01010200404,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس  مكتب 4,0,0,1,0,0,0,98,58,0,0,4,0,4,0,0,2,0,0,0,0,1,0,1,163,2,5,28,367
01010200405,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس  مكتب 5,0,0,1,0,0,0,121,55,0,0,9,1,3,0,0,3,0,0,0,0,0,0,2,139,1,2,20,357
01010200501,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس  مكتب 1,3,0,1,2,1,1,141,27,1,1,2,0,1,2,0,2,0,0,0,0,0,0,0,109,0,6,17,317
01010200502,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس  مكتب 2,0,0,2,3,0,0,102,35,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,137,0,4,20,311
01010200503,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس  مكتب 3,0,0,3,2,0,1,72,50,0,0,0,0,3,0,0,2,0,0,0,1,1,0,2,108,0,2,31,278
01010200601,م إبتدائية حي الزهور 1/5 - الزهور الخامس  مكتب 1,3,2,2,8,2,1,168,29,1,0,0,1,8,1,0,1,2,1,0,3,4,0,4,118,1,9,13,382
