#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01040103201,م إبتدائية الكبارية 1 - الكبارية (1)  مكتب 1,2,4,1,2,1,1,137,42,1,2,1,0,4,1,1,0,2,1,0,1,3,0,2,126,0,3,17,355
01040103202,م إبتدائية الكبارية 1 - الكبارية (1)  مكتب 2,1,0,1,1,0,0,122,36,0,2,0,0,0,1,0,1,0,1,0,0,1,0,4,157,1,9,26,364
01040103203,م إبتدائية الكبارية 1 - الكبارية (1)  مكتب 3,0,0,1,0,0,0,116,62,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,112,0,8,23,330
01040203301,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 1,1,4,2,4,1,0,133,23,0,0,0,0,8,1,1,2,3,2,2,2,9,2,7,98,1,10,19,335
01040203302,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 2,0,0,2,2,1,0,143,35,1,1,1,0,3,0,0,2,3,3,0,0,4,1,6,129,4,4,18,363
01040203303,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 3,0,1,0,1,0,0,138,50,0,1,1,0,3,1,0,0,1,1,0,1,3,0,8,126,0,11,31,378
01040203304,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 4,0,0,5,0,0,0,130,46,0,1,2,1,4,1,1,0,0,0,0,0,3,0,2,150,0,10,21,377
01040203305,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 5,0,0,6,5,1,0,108,37,0,0,0,0,3,0,0,4,0,0,0,0,0,1,2,164,0,5,22,358
01040203306,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 6,0,0,1,9,0,2,83,55,1,1,1,1,5,0,0,4,0,1,0,1,1,0,4,144,0,4,26,344
01040203307,م إبتدائية الوردية 2 - الكبارية (2)  مكتب 7,0,0,2,0,0,1,88,78,0,0,5,0,3,0,1,1,0,0,0,0,1,0,4,115,0,4,31,334
01040303401,م إبتدائية الوردية 6 - الكبارية (3)  مكتب 1,3,1,6,6,3,2,166,24,1,2,1,0,4,1,1,0,2,3,0,0,4,0,4,107,1,4,18,364
01040303402,م إبتدائية الوردية 6 - الكبارية (3)  مكتب 2,1,1,1,1,0,1,137,23,1,1,1,0,3,0,1,2,1,2,0,0,1,0,13,122,1,19,22,355
01040303403,م إبتدائية الوردية 6 - الكبارية (3)  مكتب 3,0,0,2,0,0,0,111,43,0,1,3,1,4,0,1,0,1,0,0,0,2,0,5,149,1,12,26,362
01040303404,م إبتدائية الوردية 6 - الكبارية (3)  مكتب 4,1,0,1,1,1,0,94,35,0,0,2,0,5,0,0,0,0,1,0,0,0,0,8,131,1,7,21,309
01040303405,م إبتدائية الوردية 6 - الكبارية (3)  مكتب 5,2,0,2,0,0,1,78,41,0,1,1,0,2,1,0,0,0,0,0,0,4,0,8,109,1,7,27,285
01040403501,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 1,3,1,0,2,3,2,163,36,2,2,2,1,6,1,0,2,1,1,0,1,8,1,0,112,1,13,17,381
01040403502,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 2,1,0,2,4,1,0,159,44,1,0,2,1,4,0,4,2,1,1,0,0,6,2,7,161,0,6,18,427
01040403503,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 3,1,0,1,4,0,0,131,31,0,0,5,0,1,0,0,0,0,3,0,0,2,2,13,174,1,11,35,415
01040403504,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 4,1,0,5,4,0,0,112,44,0,0,0,0,3,0,2,3,0,1,0,0,0,0,4,199,0,14,24,416
01040403505,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 5,1,0,2,1,0,1,75,50,0,1,5,0,5,0,1,0,0,0,1,0,2,1,3,191,0,6,26,372
01040403506,م إبتدائية الكبارية 3 - الكبارية (4)  مكتب 6,0,0,3,0,0,0,105,65,0,0,2,1,3,0,1,2,0,0,0,0,1,0,8,133,1,5,44,374
01040403601,م إبتدائية الكبارية 4 - الكبارية (4)  مكتب 1,1,1,2,5,2,0,180,39,3,0,3,0,3,5,1,0,1,1,1,2,3,1,5,131,1,9,21,421
01040403602,م إبتدائية الكبارية 4 - الكبارية (4)  مكتب 2,1,0,1,3,1,0,164,43,0,0,1,0,4,0,0,2,1,0,0,1,3,0,8,151,0,9,24,417
01040403603,م إبتدائية الكبارية 4 - الكبارية (4)  مكتب 3,0,1,0,1,0,0,137,49,1,0,1,1,2,1,1,3,0,0,0,1,1,0,9,170,1,8,23,411
01040403604,م إبتدائية الكبارية 4 - الكبارية (4)  مكتب 4,0,0,6,0,2,1,109,58,0,0,0,1,4,0,2,1,0,0,0,0,2,0,3,114,1,4,42,350
01040403701,م إبتدائية الكبارية 5 - الكبارية (4)  مكتب 1,0,0,3,4,1,1,126,19,0,1,1,0,2,0,0,1,0,1,2,0,1,0,5,101,0,6,23,298
01040403702,م إبتدائية الكبارية 5 - الكبارية (4)  مكتب 2,1,0,2,2,0,0,80,43,0,0,1,0,2,0,0,1,1,0,1,0,1,0,4,113,0,1,30,283
01040403801,م إبتدائية الحي البلدي - الكبارية (4)  مكتب 1,1,0,0,1,0,1,125,33,0,1,0,0,4,0,1,0,1,0,2,0,1,0,4,104,1,3,19,302
01040403802,م إبتدائية الحي البلدي - الكبارية (4)  مكتب 2,0,0,0,2,0,0,81,27,0,0,5,0,4,1,0,0,0,0,0,0,1,0,3,108,0,6,24,262
01040503901,م إبتدائية حي النور 1 - حي النور  مكتب 1,2,3,2,2,1,3,88,17,0,1,5,2,4,3,1,3,0,2,1,0,4,0,7,81,1,38,17,288
01040503902,م إبتدائية حي النور 1 - حي النور  مكتب 2,1,0,1,1,0,1,52,27,1,1,0,0,1,0,0,1,0,1,0,0,0,0,5,114,1,27,15,250
01040503903,م إبتدائية حي النور 1 - حي النور  مكتب 3,0,0,0,0,0,0,31,40,0,0,4,0,1,0,1,0,0,0,0,0,0,0,5,87,0,20,17,206
01040504001,م إبتدائية حي النور 2 - حي النور  مكتب 1,0,1,3,1,2,1,96,16,2,1,3,1,8,2,3,2,1,0,2,1,3,0,25,134,1,35,12,356
01040504002,م إبتدائية حي النور 2 - حي النور  مكتب 2,0,1,1,1,1,1,84,34,2,1,2,0,6,0,0,1,0,0,0,0,3,1,4,164,2,21,8,338
01040504003,م إبتدائية حي النور 2 - حي النور  مكتب 3,0,0,3,1,1,0,59,24,0,1,3,0,0,0,0,0,2,0,0,0,0,0,6,148,0,17,9,274
01040604101,م إبتدائية ابن سينا 1   مكتب 1,0,1,1,3,0,0,227,41,0,1,2,2,3,0,0,1,0,1,0,0,4,0,7,117,1,6,27,445
01040604102,م إبتدائية ابن سينا 1   مكتب 2,0,0,5,4,0,1,210,33,0,0,3,0,6,0,1,4,1,0,0,0,2,0,4,138,0,8,29,449
01040604103,م إبتدائية ابن سينا 1   مكتب 3,0,0,3,4,0,0,148,30,1,1,5,0,3,0,0,0,0,0,0,1,0,0,8,161,0,10,42,417
01040604104,م إبتدائية ابن سينا 1   مكتب 4,0,0,0,2,0,0,128,51,1,0,5,0,4,1,0,1,0,0,0,0,1,0,10,171,0,6,31,412
01040604105,م إبتدائية ابن سينا 1   مكتب 5,0,0,1,1,0,1,122,49,0,0,5,2,3,0,0,0,0,0,0,0,0,0,6,126,2,5,64,387
01040604106,م إبتدائية ابن سينا 1   مكتب 6,0,0,2,3,0,0,111,45,0,0,4,2,6,0,0,0,1,0,0,0,1,0,8,130,1,5,43,362
01040604201,م إبتدائية ابن سينا 2 - إبن سينا (1)  مكتب 1,1,0,3,7,1,1,148,36,0,0,8,4,3,0,1,2,0,1,0,0,1,0,7,136,0,6,14,380
01040604202,م إبتدائية ابن سينا 2 - إبن سينا (1)  مكتب 2,0,0,2,1,0,0,125,30,1,0,3,1,2,0,0,1,0,0,0,0,2,0,3,149,1,10,20,351
01040604203,م إبتدائية ابن سينا 2 - إبن سينا (1)  مكتب 3,0,0,1,3,0,0,95,35,0,0,4,6,5,0,0,1,0,0,0,1,0,0,3,149,1,4,27,335
01040604204,م إبتدائية ابن سينا 2 - إبن سينا (1)  مكتب 4,0,0,2,2,0,0,69,40,0,0,2,3,5,0,0,0,0,0,0,1,0,0,10,141,1,3,27,306
01040704301,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 1,1,0,2,4,0,2,191,47,1,1,1,0,5,1,0,0,0,0,0,1,4,0,8,146,0,7,26,448
01040704302,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 2,0,0,1,5,0,0,150,42,0,0,2,1,5,1,1,1,0,0,0,1,6,0,5,189,0,8,41,459
01040704303,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 3,2,1,2,3,0,0,141,42,0,0,4,1,8,0,0,7,0,0,0,1,1,0,2,186,0,12,31,444
01040704304,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 4,0,0,4,5,0,1,140,41,0,2,3,0,5,0,0,5,0,0,0,0,0,0,5,143,0,14,37,405
01040704305,م إبتدائية الإمتياز (ابن سينا 6 / 1) - إبن سينا (2)  مكتب 5,0,0,5,3,0,1,126,50,0,1,5,0,1,0,0,0,0,1,0,2,2,0,3,146,0,4,52,402
01040704401,م إبتدائية محمود المسعيدي (ابن سينا 6 / 2) - إبن سينا (2)  مكتب 1,1,1,3,3,0,0,106,26,1,0,3,1,0,0,0,2,0,0,0,0,2,0,4,107,0,7,22,289
01040704402,م إبتدائية محمود المسعيدي (ابن سينا 6 / 2) - إبن سينا (2)  مكتب 2,0,0,2,1,0,0,74,41,0,0,5,0,1,0,0,1,0,0,0,2,2,0,6,87,0,6,31,259
01040704501,م إبتدائية ابن سينا 6 / 3 - إبن سينا (2)  مكتب 1,0,0,0,1,0,0,128,26,0,0,3,0,7,0,1,2,0,0,0,0,0,0,2,87,1,9,30,297
01040704502,م إبتدائية ابن سينا 6 / 3 - إبن سينا (2)  مكتب 2,0,0,2,1,0,0,91,32,0,0,1,1,5,0,0,2,0,0,0,0,0,0,2,78,2,3,46,266
01040704601,م إبتدائية  النجمة الزهراء (ابن سينا 4/6الكبارية) - إبن سينا (2)  مكتب 1,0,1,2,4,0,1,175,49,1,1,1,0,7,0,0,3,0,0,0,0,1,1,7,146,0,7,30,437
01040704602,م إبتدائية  النجمة الزهراء (ابن سينا 4/6الكبارية) - إبن سينا (2)  مكتب 2,1,0,4,1,0,0,101,56,0,2,4,1,1,0,1,2,0,1,0,2,2,0,9,136,2,14,45,385
01040804701,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 1,1,1,2,4,1,3,202,29,0,0,3,1,3,1,2,3,3,0,1,0,2,1,4,130,0,12,33,442
01040804702,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 2,2,1,1,3,1,1,214,26,0,1,1,0,4,2,1,5,1,0,0,2,3,0,4,115,0,11,33,432
01040804703,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 3,0,0,2,3,0,0,175,32,0,0,3,0,4,0,0,3,0,0,0,0,4,0,12,148,0,10,43,439
01040804704,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 4,0,0,3,3,0,0,157,39,0,0,1,0,3,0,0,0,0,0,1,1,3,0,3,154,1,16,32,417
01040804705,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 5,0,1,1,5,0,0,170,35,0,0,3,0,4,0,0,0,0,0,0,0,2,0,1,163,0,10,27,422
01040804706,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 6,0,0,5,5,0,0,129,41,0,0,0,1,6,0,0,1,1,0,0,0,1,0,4,128,0,6,44,372
01040804707,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 7,0,0,4,3,0,1,99,49,0,0,1,0,2,0,0,2,0,0,0,1,0,0,3,112,2,6,62,347
01040804708,م إبتدائية المروج 2ابن خلدون - المروج (2)  مكتب 8,0,0,8,5,0,0,95,49,0,0,2,0,2,0,0,1,1,1,0,0,3,0,10,148,2,8,47,382
01040804801,م إبتدائية المروج 2 الغزالي - المروج (2)  مكتب 1,3,0,7,5,0,2,216,17,0,0,5,0,9,0,0,1,1,0,0,0,2,0,5,146,2,17,37,475
01040804802,م إبتدائية المروج 2 الغزالي - المروج (2)  مكتب 2,1,0,3,3,1,1,162,29,0,1,5,0,6,0,1,0,0,0,0,1,2,0,3,152,0,9,49,429
01040804803,م إبتدائية المروج 2 الغزالي - المروج (2)  مكتب 3,0,0,6,1,0,0,121,38,0,0,5,1,5,0,0,0,0,0,0,0,0,0,6,111,3,3,75,375
01040804901,م إبتدائية الهناء المروج2  مكتب 1,0,0,4,4,1,1,95,14,1,0,0,0,3,1,0,0,0,0,0,1,1,0,1,81,0,7,28,243
01040804902,م إبتدائية الهناء المروج2  مكتب 2,0,0,1,4,0,1,64,22,0,0,1,0,5,0,0,3,0,0,0,0,1,0,2,81,0,2,24,211
