#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01060105601,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 1,0,1,4,5,0,0,172,34,1,0,1,0,4,1,0,3,0,1,1,0,2,0,5,124,0,8,17,384.0
01060105602,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 2,0,0,3,1,0,0,178,36,0,0,0,0,6,1,1,3,0,0,0,1,1,0,2,130,0,8,28,399.0
01060105603,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 3,1,0,4,3,0,0,141,32,1,1,0,0,8,1,0,0,0,0,0,0,2,1,1,149,0,9,28,382.0
01060105604,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 4,0,0,4,3,1,0,127,36,0,0,3,0,4,1,1,0,0,0,0,1,1,0,4,119,3,4,42,354.0
01060105605,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 5,0,0,5,1,0,0,114,64,0,1,2,1,4,0,0,1,0,0,0,0,2,0,4,141,0,5,39,384.0
01060105606,م إبتدائية الوفاء نهج صالح المالقي - الوردية  مكتب 6,0,0,4,6,0,0,112,40,0,0,2,0,2,1,0,0,0,0,0,1,1,0,6,129,1,5,24,334.0
01060205701,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 1,0,0,3,5,0,1,202,27,0,0,2,2,0,1,0,3,0,2,0,1,4,0,6,125,0,7,24,415.0
01060205702,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 2,2,0,3,5,0,1,234,25,0,0,0,1,7,0,1,0,2,0,0,1,2,0,6,137,0,1,23,451.0
01060205703,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 3,2,0,2,2,0,0,177,27,1,0,3,0,8,4,0,0,0,0,0,0,3,1,3,171,0,8,30,442.0
01060205704,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 4,0,0,4,7,0,0,136,29,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,142,1,2,54,379.0
01060205705,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 5,0,0,3,5,1,0,153,33,0,1,3,1,4,0,1,3,0,0,1,1,4,0,3,163,2,3,50,435.0
01060205706,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة  مكتب 6,0,0,3,5,0,0,146,34,0,0,1,0,2,1,0,1,0,0,0,0,2,0,6,157,0,6,43,407.0
01060305801,م إبتدائية حي الازدهار الوردية   مكتب 1,0,1,0,2,0,0,149,16,0,0,0,0,1,1,0,1,0,1,0,0,3,0,3,144,0,5,22,349.0
01060305802,م إبتدائية حي الازدهار الوردية   مكتب 2,1,0,2,4,0,0,97,30,0,0,3,0,3,0,0,1,0,0,0,0,2,0,1,139,1,4,34,322.0
01060305803,م إبتدائية حي الازدهار الوردية   مكتب 3,0,0,2,1,0,0,118,33,0,0,1,0,2,0,0,4,1,0,0,0,2,0,3,130,0,6,29,332.0
