#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01030102901,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 1,2,0,0,1,3,1,175,39,0,0,5,2,2,0,3,2,3,2,0,4,2,1,1,117,0,12,14,391.0
01030102902,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 2,2,3,2,7,3,1,149,27,0,1,2,0,3,1,0,0,2,1,0,2,1,1,4,120,2,7,13,354.0
01030102903,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 3,2,0,0,1,7,3,116,39,1,1,2,0,2,0,0,3,0,0,1,2,5,0,1,143,1,10,12,352.0
01030102904,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 4,0,1,2,2,1,2,125,34,1,0,1,0,1,2,0,1,2,0,2,2,5,0,1,118,0,14,30,347.0
01030102905,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 5,0,1,2,2,3,0,114,46,0,1,4,1,2,0,0,3,0,0,0,3,0,0,3,182,0,6,23,396.0
01030102906,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 6,0,0,1,3,4,0,110,31,0,0,1,0,3,0,0,0,0,1,0,3,0,0,0,159,0,5,12,333.0
01030102907,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 7,1,0,1,3,1,0,103,64,0,0,2,0,3,0,0,0,0,0,1,2,1,0,1,111,0,3,35,332.0
01030102908,م إبتدائية  2مارس 34 الملاسين - علي البلهوان  مكتب 8,0,0,1,2,2,0,100,55,0,0,0,0,2,0,0,0,0,0,0,1,2,0,4,133,0,2,25,329.0
01030203001,م إبتدائية النجاح الملاسين  مكتب 1,2,2,2,0,4,1,116,46,3,0,3,0,3,1,3,0,0,0,1,3,3,1,5,139,1,5,16,360.0
01030203002,م إبتدائية النجاح الملاسين  مكتب 2,0,0,0,1,0,0,103,50,1,0,0,0,2,0,0,0,0,1,0,2,1,0,2,142,0,2,13,320.0
01030203003,م إبتدائية النجاح الملاسين  مكتب 3,0,0,0,0,1,0,75,68,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,103,0,5,21,279.0
01030203101,م إبتدائية باب خالد الملاسين - النجاح  مكتب 1,0,0,0,1,3,1,101,31,2,1,1,0,6,1,3,2,0,0,0,0,5,2,2,95,1,5,10,273.0
01030203102,م إبتدائية باب خالد الملاسين - النجاح  مكتب 2,1,0,0,1,0,1,94,37,0,0,1,0,3,1,0,2,0,0,0,1,2,0,4,121,0,9,13,291.0
01030203103,م إبتدائية باب خالد الملاسين - النجاح  مكتب 3,0,0,0,0,2,0,78,46,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,95,1,5,15,246.0
مجموع أصوات القائمة,10,7,11,24,34,10,1559,613,8,5,24,3,35,6,9,13,7,5,5,25,28,5,31,1778,6,90,252,4603,
