circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis1,Ezzouhour,01020102001,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 1,1,0,3,5,1,1,217,28,0,0,3,1,4,0,0,2,0,0,0,2,4,1,6,115,0,7,23,424
Tunis1,Ezzouhour,01020102002,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 2,0,0,1,6,2,1,211,27,0,0,4,0,3,0,1,4,1,0,0,0,3,1,0,96,0,6,24,391
Tunis1,Ezzouhour,01020102003,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 3,0,0,3,2,1,0,193,25,0,0,1,0,2,1,0,0,0,0,0,3,2,0,6,151,0,7,29,426
Tunis1,Ezzouhour,01020102004,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 4,3,0,4,2,0,0,165,36,1,0,1,0,5,0,0,1,3,0,0,1,1,0,4,123,0,8,28,386
Tunis1,Ezzouhour,01020102005,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 5,0,0,4,5,0,0,166,34,0,0,1,0,3,0,0,0,0,0,1,0,1,0,1,148,0,2,25,391
Tunis1,Ezzouhour,01020102006,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 6,2,1,4,2,0,0,154,33,0,1,4,0,3,0,0,1,0,0,0,0,2,1,2,127,1,4,32,374
Tunis1,Ezzouhour,01020102007,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 7,0,0,7,4,0,1,129,49,0,0,3,0,7,1,0,0,0,0,0,0,2,0,8,112,1,0,45,369
Tunis1,Ezzouhour,01020102008,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور  مكتب 8,1,0,3,2,3,0,105,38,0,0,4,0,5,0,0,1,0,0,0,0,0,0,5,133,0,5,34,339
Tunis1,Ezzouhour,01020202101,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع  مكتب 1,0,0,3,3,0,2,199,29,0,0,3,0,7,1,0,1,1,0,0,0,2,1,1,96,0,4,18,371
Tunis1,Ezzouhour,01020202102,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع  مكتب 2,1,0,0,2,1,2,174,27,0,0,5,0,7,0,0,5,0,0,0,2,3,0,0,121,0,7,19,376
Tunis1,Ezzouhour,01020202103,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع  مكتب 3,0,0,0,2,1,0,159,24,1,0,1,1,7,0,1,2,1,0,0,0,2,0,2,142,0,8,31,385
