#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01090107501,م إبتدائية حي ثامر جبل الجلود - سيدي فتح الله  مكتب 1,0,1,4,2,2,2,129,14,2,1,2,0,7,4,1,5,0,0,0,1,0,0,4,84,0,3,24,292.0
01090107502,م إبتدائية حي ثامر جبل الجلود - سيدي فتح الله  مكتب 2,2,0,2,0,0,0,119,22,0,1,2,1,3,0,2,1,1,0,0,0,0,0,7,98,0,7,22,290.0
01090107503,م إبتدائية حي ثامر جبل الجلود - سيدي فتح الله  مكتب 3,0,0,1,0,0,1,91,19,0,0,1,0,3,0,0,2,0,0,0,1,0,0,2,102,1,2,36,262.0
01090207601,م إبتدائية نهج حمام الأنف جبل الجلود - باش حامبة  مكتب 1,2,0,1,1,2,2,170,25,1,0,2,0,7,3,0,2,2,1,3,0,5,0,5,73,2,8,21,338.0
01090207602,م إبتدائية نهج حمام الأنف جبل الجلود - باش حامبة  مكتب 2,1,2,1,3,0,0,128,27,1,0,1,1,5,0,0,1,0,0,2,0,2,1,12,101,0,16,21,326.0
01090207603,م إبتدائية نهج حمام الأنف جبل الجلود - باش حامبة  مكتب 3,1,0,2,1,0,0,124,30,0,0,0,0,4,0,0,0,1,2,0,0,3,0,10,121,0,8,19,326.0
01090207604,م إبتدائية نهج حمام الأنف جبل الجلود - باش حامبة  مكتب 4,1,0,1,2,0,0,90,48,0,0,1,0,5,0,0,1,0,0,0,0,1,0,6,73,0,10,30,269.0
01090207701,م إبتدائية نهج فليب فيل جبل الجلود - باش حامبة  مكتب 1,1,0,1,3,1,0,169,19,0,1,1,0,7,1,1,2,2,1,0,0,6,0,7,65,0,6,27,321.0
01090207702,م إبتدائية نهج فليب فيل جبل الجلود - باش حامبة  مكتب 2,3,0,0,0,3,0,139,29,1,0,0,0,8,0,0,0,0,1,0,0,4,0,7,95,0,11,29,330.0
01090207703,م إبتدائية نهج فليب فيل جبل الجلود - باش حامبة  مكتب 3,2,0,1,1,0,0,102,47,0,0,2,1,5,0,1,0,0,0,0,0,1,0,16,92,0,6,37,314.0
01090307801,م إبتدائية طريق لاكانيا جبل الجلود - القرجومة  مكتب 1,1,0,0,1,2,2,177,31,1,2,7,1,2,1,1,4,1,1,1,0,1,0,7,110,0,10,17,381.0
01090307802,م إبتدائية طريق لاكانيا جبل الجلود - القرجومة  مكتب 2,0,0,2,2,0,0,139,46,0,0,5,0,3,2,1,1,0,0,0,1,1,0,11,129,0,14,29,386.0
01090307803,م إبتدائية طريق لاكانيا جبل الجلود - القرجومة  مكتب 3,0,0,3,1,0,0,103,37,0,1,0,0,3,0,0,2,0,0,0,1,1,0,9,134,0,11,19,325.0
01090407901,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 1,3,1,3,4,0,3,216,33,1,2,2,1,7,2,2,2,1,1,3,0,3,1,7,79,3,7,1,388.0
01090407902,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 2,2,0,0,4,0,2,163,41,3,1,4,1,3,2,1,3,1,1,0,3,4,1,3,99,1,7,30,380.0
01090407903,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 3,0,0,1,2,0,0,134,49,2,1,1,0,5,1,0,0,1,1,1,2,3,0,5,134,1,11,22,377.0
01090407904,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 4,0,0,1,0,0,0,126,57,1,1,1,1,8,0,0,0,0,0,1,0,0,0,5,152,2,11,23,390.0
01090407905,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 5,1,0,1,2,0,2,119,50,0,0,3,0,5,1,0,2,0,0,0,0,1,0,4,157,0,12,30,390.0
01090407906,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 6,0,0,1,2,0,1,113,59,0,0,1,0,5,0,0,2,0,0,0,0,1,0,3,121,0,6,30,345.0
01090407907,م إبتدائية سيدي فتح الله 1 - حي الفتح  مكتب 7,1,0,2,0,0,0,90,53,1,0,1,0,4,0,0,0,0,0,0,1,0,0,9,124,0,9,28,323.0
01090408001,م إبتدائية سيدي فتح الله 2 جبل الجلود - حي الفتح  مكتب 1,2,1,2,2,0,0,127,34,1,0,1,0,8,2,0,1,0,1,1,0,5,0,3,78,1,13,15,298.0
01090408002,م إبتدائية سيدي فتح الله 2 جبل الجلود - حي الفتح  مكتب 2,2,0,1,2,0,4,116,41,0,0,1,0,2,0,1,0,0,0,0,0,2,0,5,107,0,7,15,306.0
01090408003,م إبتدائية سيدي فتح الله 2 جبل الجلود - حي الفتح  مكتب 3,1,0,1,1,0,1,83,41,0,1,2,0,2,0,0,0,0,0,0,0,0,0,5,80,0,13,21,252.0
مجموع أصوات القائمة,26,5,32,36,10,20,2967,852,15,12,41,7,111,19,11,31,10,10,12,10,44,3,152,2408,11,208,546,7609,
