#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
01050105001,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 1,0,0,3,3,1,0,222,29,1,1,2,0,10,2,0,3,0,0,0,1,1,0,4,82,0,6,33,404.0
01050105002,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 2,1,0,1,1,0,0,211,25,0,2,2,0,3,1,0,3,1,0,0,0,3,0,4,134,1,4,28,425.0
01050105003,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 3,1,0,1,3,0,0,207,23,0,0,2,2,3,2,0,2,0,1,0,1,1,0,2,104,0,5,27,387.0
01050105004,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 4,0,0,3,2,0,1,152,29,0,0,3,0,5,0,0,1,0,0,0,0,0,0,3,153,0,5,27,384.0
01050105005,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 5,0,0,2,3,0,1,148,26,0,0,2,0,2,1,0,1,0,0,0,0,1,0,1,125,1,2,46,362.0
01050105006,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 6,0,0,1,4,0,0,124,45,0,2,5,0,2,0,0,1,0,0,1,0,0,0,3,92,1,1,68,350.0
01050105007,م إبتدائية نهج الحكيم كسار - الحفصية  مكتب 7,0,0,7,2,0,0,94,23,0,0,4,0,3,0,0,0,2,0,0,0,2,0,4,142,0,5,35,323.0
01050205101,م إبتدائية نهج المر - باب منارة  مكتب 1,1,2,0,2,0,1,211,51,0,0,2,1,4,0,0,2,1,0,0,0,3,1,2,86,0,5,20,395.0
01050205102,م إبتدائية نهج المر - باب منارة  مكتب 2,0,1,2,4,0,0,150,59,0,0,3,1,3,0,0,1,0,0,0,0,0,0,0,116,1,3,26,370.0
01050205103,م إبتدائية نهج المر - باب منارة  مكتب 3,0,0,1,2,0,0,119,55,0,0,4,0,4,0,0,1,0,0,0,0,2,0,1,109,0,3,35,336.0
01050205201,م إبتدائية ساحة معقل الزعيم - باب منارة  مكتب 1,0,0,5,4,0,1,227,40,0,0,1,1,2,1,0,1,2,0,0,0,3,0,3,97,1,6,25,420.0
01050205202,م إبتدائية ساحة معقل الزعيم - باب منارة  مكتب 2,0,0,1,2,0,0,164,56,0,0,0,0,3,1,1,1,1,0,0,0,3,0,4,116,0,7,34,394.0
01050205203,م إبتدائية ساحة معقل الزعيم - باب منارة  مكتب 3,0,0,7,3,0,0,129,72,0,0,3,0,4,0,0,0,0,0,0,1,1,0,4,99,0,3,44,370.0
01050305301,م إبتدائية باب الجديد - تربة الباي  مكتب 1,0,0,5,4,1,0,218,59,1,0,2,0,5,2,0,0,0,1,1,0,6,0,0,88,2,9,24,428.0
01050305302,م إبتدائية باب الجديد - تربة الباي  مكتب 2,1,1,3,3,1,2,225,67,0,1,2,3,4,1,0,0,0,0,0,3,1,0,2,96,0,1,26,443.0
01050305303,م إبتدائية باب الجديد - تربة الباي  مكتب 3,3,0,4,2,2,1,215,51,2,0,4,1,5,0,1,1,0,0,0,0,0,0,2,101,1,11,17,424.0
01050305304,م إبتدائية باب الجديد - تربة الباي  مكتب 4,2,2,0,1,0,1,152,58,1,0,2,0,4,0,1,2,0,1,0,1,0,0,2,127,1,6,22,386.0
01050305305,م إبتدائية باب الجديد - تربة الباي  مكتب 5,0,0,4,2,0,0,139,71,0,0,3,0,2,0,0,2,0,0,0,0,0,0,1,104,1,4,51,384.0
01050305306,م إبتدائية باب الجديد - تربة الباي  مكتب 6,0,0,2,5,0,0,162,84,0,1,2,0,5,1,0,0,0,0,0,1,0,0,2,109,1,7,29,411.0
01050305307,م إبتدائية باب الجديد - تربة الباي  مكتب 7,0,0,3,2,0,0,119,50,0,0,1,0,4,1,0,2,1,0,1,1,1,0,4,119,1,9,30,349.0
01050405401,م إبتدائية نهج كتاب الوزير - سيدي علي عزوز  مكتب 1,0,1,2,4,2,0,199,32,0,0,3,1,7,1,1,2,1,0,0,0,1,1,2,94,0,7,17,378.0
01050405402,م إبتدائية نهج كتاب الوزير - سيدي علي عزوز  مكتب 2,0,0,3,1,0,2,149,53,0,0,3,1,6,0,0,1,0,0,0,0,3,0,4,121,1,9,21,378.0
01050405403,م إبتدائية نهج كتاب الوزير - سيدي علي عزوز  مكتب 3,0,0,2,4,0,0,96,48,0,0,3,0,2,1,0,0,0,0,0,0,0,0,8,116,1,7,30,318.0
01050505501,م إبتدائية الصادقية نهج سنان باشا - التوفيق  مكتب 1,0,0,6,4,1,0,238,25,0,0,0,0,2,1,0,1,0,1,0,0,4,0,5,85,0,3,14,390.0
01050505502,م إبتدائية الصادقية نهج سنان باشا - التوفيق  مكتب 2,0,0,5,4,0,1,213,23,1,0,3,1,3,1,0,0,0,0,0,1,3,1,4,99,0,3,14,380.0
01050505503,م إبتدائية الصادقية نهج سنان باشا - التوفيق  مكتب 3,0,0,5,3,1,0,166,22,1,0,2,1,9,3,0,1,1,0,0,0,1,0,5,97,0,0,27,345.0
01050505504,م إبتدائية الصادقية نهج سنان باشا - التوفيق  مكتب 4,0,0,4,4,0,0,140,40,0,1,1,1,9,0,0,0,0,0,0,0,3,0,2,84,0,2,44,335.0
01050505505,م إبتدائية الصادقية نهج سنان باشا - التوفيق  مكتب 5,1,0,4,0,1,0,125,35,0,1,2,0,4,0,0,1,0,0,0,1,4,0,2,105,0,3,54,343.0
مجموع أصوات القائمة,10,7,86,78,10,11,4714,1251,7,9,66,14,119,20,4,30,10,4,3,11,47,3,80,3000,14,136,868,10612,
