circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis1,SidiElBechir,01100108101,م إبتدائية نهج كرباكة مونفلوري - فرحات حشاد  مكتب 1,0,0,3,2,0,1,241,28,0,0,0,1,5,0,0,2,0,0,0,1,3,0,5,105,0,4,24,425
Tunis1,SidiElBechir,01100108102,م إبتدائية نهج كرباكة مونفلوري - فرحات حشاد  مكتب 2,0,0,6,5,0,2,153,55,0,0,1,1,2,2,1,0,1,0,0,0,4,0,2,122,0,2,35,394
Tunis1,SidiElBechir,01100108201,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 1,0,0,7,1,0,2,221,20,1,1,3,1,5,0,0,2,1,1,0,2,3,1,8,102,0,6,6,394
Tunis1,SidiElBechir,01100108202,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 2,0,0,10,3,0,1,189,38,1,2,6,1,4,1,2,2,2,0,1,0,3,1,0,120,0,7,17,411
Tunis1,SidiElBechir,01100108203,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 3,0,0,2,3,0,1,163,43,0,0,2,1,2,0,0,0,0,0,0,0,0,0,3,140,1,7,30,398
Tunis1,SidiElBechir,01100108204,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 4,0,0,4,3,0,0,137,52,1,0,3,0,4,2,0,0,0,0,0,0,2,0,3,122,1,9,29,372
Tunis1,SidiElBechir,01100108205,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 5,0,0,8,5,0,0,161,46,1,1,1,0,4,0,0,0,1,0,0,0,0,0,2,142,0,6,24,402
Tunis1,SidiElBechir,01100108206,م إبتدائية نهج الساحل - فرحات حشاد  مكتب 6,0,0,4,4,0,0,133,38,0,1,2,0,4,3,0,1,0,0,0,0,1,1,4,133,1,9,30,369
Tunis1,SidiElBechir,01100208301,م إبتدائية نهج علي الدوعاجي مونفلوري - أبو القاسم الشابي  مكتب 1,1,0,1,3,0,0,232,34,0,1,1,0,2,1,0,2,0,0,0,1,0,0,1,96,1,0,31,408
Tunis1,SidiElBechir,01100208302,م إبتدائية نهج علي الدوعاجي مونفلوري - أبو القاسم الشابي  مكتب 2,0,0,5,4,0,0,152,41,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,112,3,1,60,386
Tunis1,SidiElBechir,01100208401,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 1,0,1,3,1,0,1,256,26,1,1,3,0,10,0,0,2,1,0,1,0,6,0,1,93,0,1,20,428
Tunis1,SidiElBechir,01100208402,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 2,1,0,5,1,0,1,260,43,0,2,0,1,3,0,0,2,0,0,0,0,0,1,0,94,2,8,26,450
Tunis1,SidiElBechir,01100208403,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 3,1,0,2,1,0,0,209,43,0,0,1,0,8,1,0,2,0,0,1,0,1,0,4,119,0,4,42,439
Tunis1,SidiElBechir,01100208404,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 4,0,0,5,4,0,1,176,38,0,0,4,1,1,0,1,0,0,0,0,0,2,0,1,107,1,4,51,397
Tunis1,SidiElBechir,01100208405,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 5,0,0,5,3,0,0,173,54,0,0,2,1,4,1,0,1,0,0,0,0,0,0,1,135,1,2,38,421
Tunis1,SidiElBechir,01100208406,م إبتدائية التطبيقية نهج العلماء - أبو القاسم الشابي  مكتب 6,0,0,5,4,0,0,153,56,0,0,5,1,2,0,0,2,0,0,0,0,0,0,5,114,0,1,41,389
Tunis1,SidiElBechir,01100308501,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 1,2,0,1,2,0,4,146,65,1,0,4,0,2,1,4,0,2,2,0,0,4,0,3,104,1,8,15,371
Tunis1,SidiElBechir,01100308502,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 2,3,3,1,7,6,1,118,58,1,1,2,1,5,1,5,6,1,1,0,1,6,0,3,93,1,8,10,343
Tunis1,SidiElBechir,01100308503,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 3,1,0,1,1,0,1,140,78,0,1,1,0,4,0,1,3,2,1,0,1,1,0,5,111,0,7,9,369
Tunis1,SidiElBechir,01100308504,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 4,2,0,4,1,0,3,119,65,1,1,2,1,0,0,0,3,0,0,1,0,2,0,5,117,0,13,22,362
Tunis1,SidiElBechir,01100308505,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 5,0,0,1,0,0,1,91,67,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,158,0,9,19,351
Tunis1,SidiElBechir,01100308506,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 6,0,0,2,0,0,0,56,75,0,1,0,0,3,1,1,2,0,0,2,1,1,0,5,123,1,3,23,300
Tunis1,SidiElBechir,01100308507,م إبتدائية حي هلال 1 - السيدة المنوبية  مكتب 7,0,0,1,1,0,0,94,82,1,0,3,0,1,0,1,0,0,0,0,0,2,0,1,109,1,7,17,321
Tunis1,SidiElBechir,01100308601,م إبتدائية حي هلال 2 - السيدة المنوبية  مكتب 1,1,0,1,0,1,1,141,90,2,1,6,0,7,0,1,2,3,0,1,1,3,1,5,89,1,12,17,387
Tunis1,SidiElBechir,01100308602,م إبتدائية حي هلال 2 - السيدة المنوبية  مكتب 2,2,0,0,2,2,1,121,89,1,3,3,1,1,0,0,9,1,0,1,0,0,0,3,107,0,6,17,370
Tunis1,SidiElBechir,01100308603,م إبتدائية حي هلال 2 - السيدة المنوبية  مكتب 3,0,0,0,1,0,0,76,107,0,0,1,0,2,1,0,2,1,0,0,0,2,0,1,131,0,2,14,341
Tunis1,SidiElBechir,01100308604,م إبتدائية حي هلال 2 - السيدة المنوبية  مكتب 4,0,0,1,2,0,0,76,110,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,104,0,5,18,322
