circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis1,SidiHassine,01110108701,م إبتدائية برج شاكير   مكتب 1,1,0,0,3,0,1,88,16,1,1,0,1,5,1,1,0,0,0,0,0,4,0,2,66,2,12,22,227
Tunis1,SidiHassine,01110108702,م إبتدائية برج شاكير   مكتب 2,0,0,2,0,1,0,54,22,0,0,2,0,1,1,0,0,1,1,0,0,0,0,2,83,0,8,14,192
Tunis1,SidiHassine,01110208801,م إبتدائية سيدي حسين 1  مكتب 1,1,0,0,3,0,1,133,45,0,0,0,0,0,2,2,3,1,2,0,1,5,0,6,92,1,15,15,328
Tunis1,SidiHassine,01110208802,م إبتدائية سيدي حسين 1  مكتب 2,0,0,1,1,0,2,126,35,2,0,4,1,1,0,0,1,0,1,0,1,1,0,5,79,0,19,19,299
Tunis1,SidiHassine,01110208803,م إبتدائية سيدي حسين 1  مكتب 3,0,0,0,0,0,0,79,46,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,100,0,8,17,257
Tunis1,SidiHassine,01110208804,م إبتدائية سيدي حسين 1  مكتب 4,0,0,4,2,0,0,58,40,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,78,0,11,16,215
Tunis1,SidiHassine,01110208805,م إبتدائية سيدي حسين 1  مكتب 5,1,0,2,2,0,1,58,49,0,0,1,0,3,0,0,0,1,0,0,0,1,0,6,84,1,9,16,235
Tunis1,SidiHassine,01110208901,م إبتدائية سيدي حسين 2   مكتب 1,2,0,1,3,2,2,187,39,1,0,0,0,4,0,0,1,2,0,1,3,1,0,4,93,2,17,18,383
Tunis1,SidiHassine,01110208902,م إبتدائية سيدي حسين 2   مكتب 2,1,0,1,0,1,1,134,57,1,0,1,0,1,1,0,5,2,2,1,1,1,0,5,105,1,17,23,362
Tunis1,SidiHassine,01110208903,م إبتدائية سيدي حسين 2   مكتب 3,1,1,4,2,1,1,157,44,0,0,1,0,0,0,0,1,0,0,0,1,2,0,4,105,1,19,19,364
Tunis1,SidiHassine,01110208904,م إبتدائية سيدي حسين 2   مكتب 4,0,0,1,2,0,0,113,57,0,0,0,0,2,0,0,2,0,0,0,1,1,0,1,114,1,10,22,327
Tunis1,SidiHassine,01110208905,م إبتدائية سيدي حسين 2   مكتب 5,0,0,1,3,0,0,113,48,0,0,4,0,2,0,0,1,0,0,0,0,0,0,2,98,0,5,16,293
Tunis1,SidiHassine,01110208906,م إبتدائية سيدي حسين 2   مكتب 6,0,0,2,2,0,1,71,56,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,84,0,5,29,256
Tunis1,SidiHassine,01110208907,م إبتدائية سيدي حسين 2   مكتب 7,0,0,1,0,1,0,105,65,1,0,2,1,3,0,0,2,1,1,1,1,2,1,1,100,1,14,25,329
Tunis1,SidiHassine,01110209001,م إبتدائية سيدي حسين 3  مكتب 1,0,1,0,1,0,3,146,40,1,2,1,1,4,5,0,1,0,0,2,1,5,0,2,88,0,9,18,331
Tunis1,SidiHassine,01110209002,م إبتدائية سيدي حسين 3  مكتب 2,1,0,2,2,11,1,127,33,1,2,3,0,5,1,2,5,1,2,1,2,1,0,1,113,0,12,16,345
Tunis1,SidiHassine,01110209003,م إبتدائية سيدي حسين 3  مكتب 3,2,0,0,4,0,1,112,36,0,3,2,0,9,2,2,6,0,0,0,0,3,0,2,115,1,20,24,344
Tunis1,SidiHassine,01110209004,م إبتدائية سيدي حسين 3  مكتب 4,0,0,0,3,0,0,91,51,0,1,2,0,5,0,0,2,0,1,0,0,1,0,1,137,0,11,33,339
Tunis1,SidiHassine,01110209005,م إبتدائية سيدي حسين 3  مكتب 5,0,1,2,1,1,1,71,46,0,0,1,1,3,2,1,1,0,0,0,0,0,0,2,113,0,11,19,277
Tunis1,SidiHassine,01110209006,م إبتدائية سيدي حسين 3  مكتب 6,0,0,4,1,1,0,62,53,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,104,2,3,27,263
Tunis1,SidiHassine,01110209007,م إبتدائية سيدي حسين 3  مكتب 7,0,0,3,0,5,0,95,54,0,0,2,0,0,1,0,3,0,0,0,2,0,0,3,105,0,14,20,307
Tunis1,SidiHassine,01110309101,م إبتدائية الشابي حي مراد - الجيارة  مكتب 1,1,0,2,2,1,1,132,46,0,1,3,0,3,1,3,1,0,2,0,0,2,0,1,85,1,19,22,329
Tunis1,SidiHassine,01110309102,م إبتدائية الشابي حي مراد - الجيارة  مكتب 2,0,0,1,2,1,0,104,42,0,0,2,1,3,2,0,1,0,0,0,0,3,2,7,117,0,18,14,320
Tunis1,SidiHassine,01110309103,م إبتدائية الشابي حي مراد - الجيارة  مكتب 3,0,0,0,2,3,1,89,54,0,1,2,1,2,0,1,1,3,0,1,0,0,0,0,121,0,14,30,326
Tunis1,SidiHassine,01110309104,م إبتدائية الشابي حي مراد - الجيارة  مكتب 4,0,0,3,1,0,1,63,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,97,0,13,16,263
Tunis1,SidiHassine,01110309105,م إبتدائية الشابي حي مراد - الجيارة  مكتب 5,0,0,2,1,4,0,74,50,0,0,5,0,0,0,0,1,0,0,0,0,0,0,5,103,1,27,23,296
Tunis1,SidiHassine,01110309201,م إبتدائية حي بوقطفة - الجيارة  مكتب 1,2,2,2,4,2,2,149,44,0,2,2,0,1,1,2,1,2,0,0,2,4,1,4,104,2,13,25,373
Tunis1,SidiHassine,01110309202,م إبتدائية حي بوقطفة - الجيارة  مكتب 2,0,0,0,2,1,0,124,55,0,0,2,0,5,0,1,0,0,0,0,0,1,0,2,107,1,10,16,327
Tunis1,SidiHassine,01110309203,م إبتدائية حي بوقطفة - الجيارة  مكتب 3,0,0,1,2,1,2,119,33,1,1,0,0,0,0,3,0,0,1,2,0,2,0,4,128,0,19,28,347
Tunis1,SidiHassine,01110309204,م إبتدائية حي بوقطفة - الجيارة  مكتب 4,1,0,1,2,0,0,91,43,1,1,2,0,4,0,0,1,0,0,0,0,0,0,1,104,0,8,23,283
Tunis1,SidiHassine,01110309205,م إبتدائية حي بوقطفة - الجيارة  مكتب 5,0,0,0,2,0,0,79,36,0,1,2,0,3,0,0,1,0,0,0,2,1,0,4,95,0,4,31,261
Tunis1,SidiHassine,01110309206,م إبتدائية حي بوقطفة - الجيارة  مكتب 6,0,0,3,1,0,0,69,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,86,1,3,25,248
Tunis1,SidiHassine,01110309207,م إبتدائية حي بوقطفة - الجيارة  مكتب 7,0,0,0,1,0,0,85,45,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,119,0,9,18,282
Tunis1,SidiHassine,01110309301,م إبتدائية الجيارة 1  مكتب 1,1,2,1,1,2,1,128,47,0,0,2,2,5,0,0,2,2,1,0,0,4,1,3,88,2,19,30,344
Tunis1,SidiHassine,01110309302,م إبتدائية الجيارة 1  مكتب 2,1,0,0,2,3,0,97,56,0,1,3,0,0,0,0,2,1,2,0,1,3,1,2,115,1,11,27,329
Tunis1,SidiHassine,01110309303,م إبتدائية الجيارة 1  مكتب 3,0,0,0,2,4,0,88,53,1,1,2,0,4,0,0,0,0,0,0,0,1,0,1,92,1,18,33,301
Tunis1,SidiHassine,01110309401,م إبتدائية الجيارة 2  مكتب 1,0,3,1,4,1,1,111,41,1,2,4,1,1,2,0,1,0,0,2,0,2,0,2,129,1,9,78,397
Tunis1,SidiHassine,01110309402,م إبتدائية الجيارة 2  مكتب 2,0,0,0,0,1,1,77,58,0,1,0,0,3,1,1,1,1,2,0,0,1,0,0,102,0,9,54,313
Tunis1,SidiHassine,01110409501,م إبتدائية العطار  مكتب 1,1,0,2,2,0,1,65,32,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,33,0,13,7,162
Tunis1,SidiHassine,01110409601,م إبتدائية حي الفتح سيدي حسين - العطار  مكتب 1,2,1,1,2,0,2,133,63,0,0,0,0,4,3,3,1,0,2,1,2,3,0,5,109,2,19,27,385
Tunis1,SidiHassine,01110409602,م إبتدائية حي الفتح سيدي حسين - العطار  مكتب 2,0,0,1,1,2,0,120,46,1,0,2,1,5,1,1,6,1,2,2,1,2,0,4,119,0,13,22,353
Tunis1,SidiHassine,01110409603,م إبتدائية حي الفتح سيدي حسين - العطار  مكتب 3,0,0,5,2,0,0,76,52,0,0,2,0,2,1,1,1,0,0,0,1,2,0,1,108,0,10,19,283
Tunis1,SidiHassine,01110409604,م إبتدائية حي الفتح سيدي حسين - العطار  مكتب 4,0,0,1,2,0,0,74,52,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,96,0,5,38,275
Tunis1,SidiHassine,01110509701,م إبتدائية السيجومي - 20مارس  مكتب 1,1,0,0,5,0,1,138,32,0,1,7,1,1,1,1,0,2,1,1,0,1,0,3,150,0,23,29,399
Tunis1,SidiHassine,01110509702,م إبتدائية السيجومي - 20مارس  مكتب 2,0,0,2,1,0,1,78,52,0,0,5,0,0,0,0,3,0,0,0,0,1,0,1,142,1,18,34,339
Tunis1,SidiHassine,01110509801,م إبتدائية حي 20 مارس السيجومي  مكتب 1,2,1,4,6,4,1,152,42,0,0,5,0,2,1,0,3,0,1,0,2,1,0,3,111,0,19,20,380
Tunis1,SidiHassine,01110509802,م إبتدائية حي 20 مارس السيجومي  مكتب 2,2,0,0,2,4,1,147,63,0,1,1,1,3,2,0,3,0,1,0,0,1,0,0,123,2,12,8,377
