#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
02100108101,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 1,0,0,4,2,0,1,383,10,0,0,1,0,3,1,0,0,0,1,1,0,3,2,7,49,0,6,18,492.0
02100108102,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 2,0,0,2,2,0,1,359,14,0,0,0,0,5,0,0,0,1,0,0,0,4,0,4,72,0,4,32,500.0
02100108103,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 3,0,0,6,5,1,1,320,3,1,0,3,0,3,0,0,0,0,0,0,1,3,0,8,61,2,3,39,460.0
02100108104,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 4,0,0,4,2,0,1,295,11,0,1,2,0,1,1,0,2,0,0,0,1,0,0,8,67,1,4,44,445.0
02100108105,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 5,0,0,0,10,0,1,280,15,0,0,1,0,2,1,0,0,0,0,0,0,1,0,5,50,1,4,69,440.0
02100108106,م إبتدائية نهج2مارس سيدي بوسعيد6 - سيدي أبي سعيد  مكتب 6,0,0,3,5,0,0,185,11,0,0,1,0,3,0,0,4,0,0,0,0,0,1,4,55,1,1,79,353.0
02100208201,م إبتدائية نهج ابن خلدون أميلكار  مكتب 1,0,1,1,4,0,1,320,8,0,1,3,0,3,0,0,2,0,1,0,0,1,1,3,100,0,1,22,473.0
02100208202,م إبتدائية نهج ابن خلدون أميلكار  مكتب 2,1,0,1,4,1,1,281,12,0,1,1,0,5,1,0,3,0,0,0,0,3,0,3,106,0,2,32,458.0
02100208203,م إبتدائية نهج ابن خلدون أميلكار  مكتب 3,0,0,4,3,0,1,208,11,0,0,4,0,4,0,0,2,0,0,0,0,3,0,3,78,1,5,67,394.0
02100308301,م إبتدائية عقبة بن نافع قرطاج بيرصة  مكتب 1,0,0,4,2,0,1,339,17,1,0,3,0,7,0,1,4,0,0,0,0,1,0,3,60,0,5,12,460.0
