circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis2,CiteElKhadra,02090107601,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 1,0,1,2,9,0,1,313,8,0,1,0,0,4,0,0,0,0,1,0,1,1,0,3,67,0,0,20,432
Tunis2,CiteElKhadra,02090107602,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 2,1,0,3,3,0,0,285,20,0,0,1,0,3,2,0,2,1,0,1,1,6,0,4,57,1,5,13,409
Tunis2,CiteElKhadra,02090107603,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 3,0,0,2,6,1,0,270,12,1,0,1,0,2,0,1,2,0,0,0,0,2,0,6,96,0,2,28,432
Tunis2,CiteElKhadra,02090107604,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 4,1,0,4,6,0,0,220,21,0,0,1,0,6,4,0,2,0,0,0,0,1,0,7,100,1,7,31,412
Tunis2,CiteElKhadra,02090107605,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 5,0,0,4,5,0,0,165,14,0,1,0,0,5,1,0,2,0,0,0,1,1,0,2,123,0,8,40,372
Tunis2,CiteElKhadra,02090107606,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 6,0,0,3,3,0,1,163,18,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,97,0,3,45,341
Tunis2,CiteElKhadra,02090107607,م إبتدائية نهج كلود برنار - حي الحدائق  مكتب 7,0,0,6,3,0,0,139,20,0,0,1,0,2,0,0,1,0,0,0,0,1,0,5,97,2,2,49,328
Tunis2,CiteElKhadra,02090207701,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 1,2,0,4,4,0,0,312,15,1,0,1,0,4,0,0,1,0,0,0,0,1,0,4,105,0,7,25,486
Tunis2,CiteElKhadra,02090207702,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 2,1,0,3,3,0,1,324,10,1,0,3,0,6,0,0,1,0,0,0,1,4,0,2,77,0,5,34,476
Tunis2,CiteElKhadra,02090207703,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 3,0,1,3,2,0,0,274,21,1,0,4,1,11,0,1,1,0,0,1,2,2,0,3,105,0,6,36,475
Tunis2,CiteElKhadra,02090207704,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 4,0,0,0,10,0,1,235,21,0,0,1,0,7,0,1,1,0,0,0,0,2,0,4,121,0,6,39,449
Tunis2,CiteElKhadra,02090207705,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 5,0,0,3,5,0,2,178,22,0,0,4,0,2,1,0,0,0,0,0,0,1,0,4,172,0,9,54,457
Tunis2,CiteElKhadra,02090207706,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 6,0,0,4,8,0,0,162,27,0,0,1,0,7,0,0,0,0,0,0,0,0,0,4,116,0,2,64,395
Tunis2,CiteElKhadra,02090207707,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 7,0,0,4,9,0,0,210,17,0,0,2,0,3,0,0,0,1,0,0,1,1,0,2,97,1,1,59,408
Tunis2,CiteElKhadra,02090207708,م إبتدائية الحي الاولمبي المنجي سليم - علي البلهوان  مكتب 8,0,0,2,7,0,1,165,20,0,0,0,0,7,0,1,1,0,0,0,2,1,0,1,90,1,2,104,405
Tunis2,CiteElKhadra,02090207801,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 1,0,0,2,5,1,1,271,27,0,1,1,0,4,1,2,2,0,0,0,0,2,0,7,131,0,9,19,486
Tunis2,CiteElKhadra,02090207802,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 2,4,1,3,4,2,3,219,14,1,0,8,1,3,0,0,1,0,0,2,2,8,0,1,131,1,8,19,436
Tunis2,CiteElKhadra,02090207803,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 3,2,0,1,5,0,1,222,26,1,0,2,1,4,0,1,2,0,0,0,0,4,0,1,147,1,4,32,457
Tunis2,CiteElKhadra,02090207804,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 4,0,0,2,2,0,0,199,22,0,0,0,0,3,2,0,3,0,0,0,1,1,0,7,170,1,6,34,453
Tunis2,CiteElKhadra,02090207805,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 5,0,0,3,5,0,2,161,24,0,1,1,0,7,0,1,5,0,0,0,0,2,0,1,167,0,9,36,425
Tunis2,CiteElKhadra,02090207806,م إبتدائية محمود بن شبعان 14 / 1 - علي البلهوان  مكتب 6,0,0,0,3,0,0,131,22,0,0,1,0,5,0,1,2,0,0,1,0,0,0,4,171,1,7,49,398
