#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
02060104701,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 1,0,0,4,5,0,2,418,3,0,0,1,0,4,3,0,1,0,0,1,0,1,0,4,27,0,0,27,501.0
02060104702,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 2,0,0,1,2,0,3,437,5,0,0,2,0,3,3,0,1,0,0,0,1,2,0,6,26,1,0,24,517.0
02060104703,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 3,1,0,1,3,0,1,425,2,0,1,2,0,5,1,0,0,0,0,1,0,0,0,8,36,1,1,19,508.0
02060104704,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 4,0,0,5,10,0,1,377,6,0,0,3,0,9,1,0,0,0,0,0,0,1,0,2,56,0,1,35,507.0
02060104705,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 5,0,0,2,7,0,0,398,7,0,0,0,0,6,4,0,0,0,0,0,0,4,0,5,35,0,2,28,498.0
02060104706,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 6,0,0,1,9,0,1,326,6,0,1,3,0,3,0,0,1,0,0,0,0,3,0,2,40,1,2,60,459.0
02060104707,م إبتدائية ساحة منداس فرانس ميتيال فيل - غرة جوان  مكتب 7,0,0,9,17,0,2,288,6,0,1,2,0,6,1,0,1,0,0,0,0,0,0,5,38,1,0,52,429.0
02060104801,م.إعدادية الموقع الجميل المنزه - غرة جوان  مكتب 1,0,0,4,5,0,0,380,9,0,2,2,1,5,3,0,4,0,0,0,0,2,0,4,42,0,2,19,484.0
02060104802,م.إعدادية الموقع الجميل المنزه - غرة جوان  مكتب 2,0,0,4,7,0,2,329,6,0,0,1,2,7,2,0,2,0,0,0,0,1,0,5,69,0,2,32,471.0
02060104803,م.إعدادية الموقع الجميل المنزه - غرة جوان  مكتب 3,0,0,1,8,0,0,286,15,0,3,1,0,3,0,0,1,0,0,0,1,0,0,7,38,0,1,45,410.0
