circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis2,ElOmrane,02020100501,م إبتدائية  16نهج بشارة الخوري - العمران  مكتب 1,0,0,3,6,0,1,324,14,0,0,3,0,4,1,0,0,1,0,1,1,4,0,4,72,0,2,29,470
Tunis2,ElOmrane,02020100502,م إبتدائية  16نهج بشارة الخوري - العمران  مكتب 2,0,0,1,4,0,1,298,19,0,0,4,0,3,0,0,4,0,0,0,0,1,0,1,89,0,1,33,459
Tunis2,ElOmrane,02020100503,م إبتدائية  16نهج بشارة الخوري - العمران  مكتب 3,0,1,2,2,0,1,225,14,0,0,2,1,4,0,0,1,0,1,0,1,1,0,1,110,0,8,59,434
Tunis2,ElOmrane,02020100504,م إبتدائية  16نهج بشارة الخوري - العمران  مكتب 4,1,0,6,3,0,0,218,16,0,1,6,1,6,0,0,0,0,0,0,0,4,0,9,68,0,2,94,435
Tunis2,ElOmrane,02020100601,م إبتدائية نهج بولونيا - العمران  مكتب 1,2,1,1,5,0,0,260,11,0,0,2,0,5,0,0,3,0,1,0,1,4,0,3,70,0,8,21,398
Tunis2,ElOmrane,02020100602,م إبتدائية نهج بولونيا - العمران  مكتب 2,0,0,2,6,0,0,215,15,0,0,1,0,2,3,0,0,0,0,1,0,4,0,3,106,1,7,31,397
Tunis2,ElOmrane,02020100603,م إبتدائية نهج بولونيا - العمران  مكتب 3,0,0,5,4,0,0,162,24,0,1,2,0,8,0,0,2,0,0,0,0,3,0,2,72,4,6,57,352
Tunis2,ElOmrane,02020200701,م إبتدائية  بئر الكرم جبل الأحمر - حي الزياتين  مكتب 1,1,0,2,3,1,1,187,21,1,0,1,0,2,0,1,1,1,1,0,1,2,0,4,86,0,10,19,346
Tunis2,ElOmrane,02020200702,م إبتدائية  بئر الكرم جبل الأحمر - حي الزياتين  مكتب 2,0,1,1,2,0,0,169,15,1,0,2,0,6,1,0,2,0,0,0,0,2,0,2,90,0,7,16,317
Tunis2,ElOmrane,02020200703,م إبتدائية  بئر الكرم جبل الأحمر - حي الزياتين  مكتب 3,0,2,1,2,1,0,139,24,0,0,1,0,3,0,2,1,1,0,0,0,2,0,1,122,0,6,18,326
Tunis2,ElOmrane,02020200704,م إبتدائية  بئر الكرم جبل الأحمر - حي الزياتين  مكتب 4,0,0,0,4,0,0,107,21,0,0,1,0,4,1,0,0,0,0,0,1,1,0,1,139,0,8,19,307
Tunis2,ElOmrane,02020200705,م إبتدائية  بئر الكرم جبل الأحمر - حي الزياتين  مكتب 5,0,0,3,1,0,1,101,23,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,98,0,1,42,277
Tunis2,ElOmrane,02020200801,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين  مكتب 1,2,0,2,4,1,1,174,34,3,4,2,0,5,2,1,1,1,1,0,0,2,0,3,90,0,15,8,356
Tunis2,ElOmrane,02020200802,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين  مكتب 2,1,0,2,3,0,0,155,25,2,2,1,2,3,4,0,3,1,2,0,1,4,0,2,87,1,14,21,336
Tunis2,ElOmrane,02020200803,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين  مكتب 3,1,0,1,4,1,0,136,33,0,1,1,1,1,0,0,0,1,0,1,0,1,0,2,110,1,13,23,332
Tunis2,ElOmrane,02020200804,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين  مكتب 4,0,0,1,4,0,1,128,25,0,0,2,1,4,1,0,1,0,0,0,0,4,0,5,125,1,11,15,329
Tunis2,ElOmrane,02020200805,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين  مكتب 5,0,0,2,1,0,1,115,42,0,1,0,0,5,0,0,1,0,0,1,0,1,0,2,83,0,7,32,294
Tunis2,ElOmrane,02020200901,م إبتدائية حي الزياتين 2 - حي الزياتين  مكتب 1,0,0,1,0,0,2,124,19,0,1,3,0,1,0,2,1,1,1,0,1,2,0,5,82,0,9,21,276
Tunis2,ElOmrane,02020200902,م إبتدائية حي الزياتين 2 - حي الزياتين  مكتب 2,0,0,1,1,0,0,104,20,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,86,0,5,20,244
Tunis2,ElOmrane,02020301001,م إبتدائية رأس الطابية نهج فاس  مكتب 1,0,0,2,3,0,0,218,31,0,0,2,0,7,0,2,4,3,0,1,0,2,0,2,108,1,11,24,421
Tunis2,ElOmrane,02020301002,م إبتدائية رأس الطابية نهج فاس  مكتب 2,1,0,2,4,0,0,160,28,0,1,1,0,8,2,0,4,0,0,0,0,2,1,7,160,0,8,34,423
Tunis2,ElOmrane,02020301003,م إبتدائية رأس الطابية نهج فاس  مكتب 3,0,1,1,3,0,1,125,40,0,0,3,0,3,0,0,0,0,0,0,0,1,0,3,153,2,5,40,381
Tunis2,ElOmrane,02020301101,م إبتدائية حي الرمانة - رأس الطابية  مكتب 1,0,0,3,6,0,0,271,17,0,0,1,1,1,0,0,3,1,0,1,0,6,0,7,70,0,3,28,419
Tunis2,ElOmrane,02020301102,م إبتدائية حي الرمانة - رأس الطابية  مكتب 2,0,0,5,8,0,1,194,13,0,1,2,0,6,0,0,0,1,0,0,0,5,0,7,118,0,5,32,398
Tunis2,ElOmrane,02020301103,م إبتدائية حي الرمانة - رأس الطابية  مكتب 3,0,0,1,5,0,0,145,30,0,1,1,1,3,0,1,1,0,0,0,0,3,0,2,61,0,2,68,325
Tunis2,ElOmrane,02020401201,م إبتدائية  بئر عتيق جبل الأحمر   مكتب 1,0,0,3,4,1,1,202,24,1,1,1,0,2,1,1,1,0,1,1,2,1,0,2,121,1,9,19,400
Tunis2,ElOmrane,02020401202,م إبتدائية  بئر عتيق جبل الأحمر   مكتب 2,2,0,1,2,0,2,166,14,2,1,3,1,3,0,0,0,1,0,1,2,3,1,2,139,2,9,20,377
Tunis2,ElOmrane,02020401203,م إبتدائية  بئر عتيق جبل الأحمر   مكتب 3,0,0,0,4,0,4,150,18,1,0,3,1,3,1,0,3,0,0,0,0,1,0,1,164,0,12,21,387
Tunis2,ElOmrane,02020401204,م إبتدائية  بئر عتيق جبل الأحمر   مكتب 4,0,0,3,3,0,1,134,39,0,0,3,0,1,0,0,2,0,0,0,1,0,0,2,141,2,1,29,362
Tunis2,ElOmrane,02020501301,م إبتدائية الفوز العمران - وادي السبعي  مكتب 1,2,0,1,3,0,1,121,20,1,1,4,0,1,1,0,1,1,2,1,4,3,2,2,90,0,7,7,276
Tunis2,ElOmrane,02020501302,م إبتدائية الفوز العمران - وادي السبعي  مكتب 2,0,0,1,2,0,0,118,28,1,1,0,1,3,1,0,1,2,1,0,1,4,0,2,109,0,6,17,299
Tunis2,ElOmrane,02020501303,م إبتدائية الفوز العمران - وادي السبعي  مكتب 3,0,0,5,1,0,0,105,31,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,98,0,5,26,277
