circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis2,ElOmraneSuperieur,02030101501,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 1,0,2,1,3,0,3,218,25,0,1,3,1,6,0,0,1,1,1,1,0,3,0,1,121,0,4,24,420
Tunis2,ElOmraneSuperieur,02030101502,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 2,2,0,2,5,0,4,187,16,2,1,9,1,3,2,2,1,2,0,2,1,6,3,5,117,0,9,13,395
Tunis2,ElOmraneSuperieur,02030101503,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 3,0,0,1,7,0,2,181,15,0,3,4,0,3,1,2,0,0,0,1,1,4,0,1,142,2,7,21,398
Tunis2,ElOmraneSuperieur,02030101504,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 4,2,0,3,4,2,0,144,28,1,0,2,0,3,0,0,5,0,0,0,0,1,0,4,161,0,10,34,404
Tunis2,ElOmraneSuperieur,02030101505,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 5,0,0,2,4,0,0,146,23,1,1,3,0,3,1,0,1,0,1,0,0,0,0,4,174,0,6,28,398
Tunis2,ElOmraneSuperieur,02030101506,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 6,0,0,3,0,0,0,126,33,0,2,1,0,9,0,0,5,0,0,0,0,1,0,2,183,0,8,21,394
Tunis2,ElOmraneSuperieur,02030101507,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 7,0,0,2,2,0,0,126,27,0,0,4,0,4,1,0,1,1,0,0,0,0,0,3,134,0,4,47,356
Tunis2,ElOmraneSuperieur,02030101508,م إبتدائية حي ابن خلدون 2 - الرمانة  مكتب 8,0,0,4,1,0,0,114,64,1,0,4,0,6,0,1,1,1,0,0,0,1,0,0,131,2,1,56,388
Tunis2,ElOmraneSuperieur,02030101601,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 1,0,0,7,2,0,1,213,23,1,1,1,1,4,0,0,3,0,0,0,1,5,1,6,109,1,8,34,422
Tunis2,ElOmraneSuperieur,02030101602,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 2,1,1,1,7,0,1,183,25,0,0,3,2,0,0,2,2,0,2,0,2,2,2,2,117,1,5,17,378
Tunis2,ElOmraneSuperieur,02030101603,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 3,0,0,4,5,1,0,174,30,0,0,5,0,1,0,0,2,3,0,0,1,1,0,1,138,0,12,39,417
Tunis2,ElOmraneSuperieur,02030101604,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 4,0,0,5,5,0,1,164,22,0,1,1,0,4,0,0,4,0,0,0,1,3,0,2,177,0,10,32,432
Tunis2,ElOmraneSuperieur,02030101605,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 5,0,0,2,1,0,0,126,25,0,0,2,0,5,0,0,2,0,0,0,1,1,0,1,191,0,10,27,394
Tunis2,ElOmraneSuperieur,02030101606,م إبتدائية حي ابن خلدون 3 - الرمانة  مكتب 6,0,0,0,5,0,0,127,27,0,0,1,1,6,0,0,1,0,0,1,2,2,0,3,131,0,9,57,373
