#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
02010100101,م إبتدائية التحرير 1 - التحرير الأول  مكتب 1,0,0,1,3,0,1,244,30,0,3,2,0,6,0,1,3,0,0,0,1,1,0,5,123,1,8,24,457.0
02010100102,م إبتدائية التحرير 1 - التحرير الأول  مكتب 2,0,0,1,3,0,0,219,25,0,3,5,1,9,0,1,2,0,1,0,2,2,0,5,127,0,5,21,432.0
02010100103,م إبتدائية التحرير 1 - التحرير الأول  مكتب 3,2,0,3,0,1,0,210,22,0,1,1,0,3,0,1,3,0,0,0,1,1,0,2,147,1,11,28,438.0
02010100104,م إبتدائية التحرير 1 - التحرير الأول  مكتب 4,1,1,0,3,0,2,189,26,1,2,3,0,3,0,0,3,0,0,0,0,2,0,6,163,1,5,41,452.0
02010100105,م إبتدائية التحرير 1 - التحرير الأول  مكتب 5,0,0,2,3,1,0,181,23,0,0,4,0,2,0,0,2,1,0,0,0,2,0,3,174,1,4,28,431.0
02010100106,م إبتدائية التحرير 1 - التحرير الأول  مكتب 6,0,0,2,4,0,0,117,30,1,1,4,0,6,0,0,2,0,0,0,0,2,0,3,161,0,3,42,378.0
02010100107,م إبتدائية التحرير 1 - التحرير الأول  مكتب 7,0,0,2,4,0,0,145,32,0,0,4,1,4,1,0,2,0,0,0,2,0,0,3,106,1,4,66,377.0
02010100108,م إبتدائية التحرير 1 - التحرير الأول  مكتب 8,0,0,2,4,0,0,113,58,0,1,5,1,1,0,0,2,0,0,1,1,0,0,3,141,3,2,69,407.0
02010100201,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 1,1,0,0,2,0,1,208,30,0,1,4,0,4,0,0,0,1,3,0,2,4,0,1,129,0,7,23,421.0
02010100202,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 2,0,0,0,1,2,1,194,30,0,1,1,1,5,0,0,1,0,1,0,1,1,0,2,147,2,6,31,428.0
02010100203,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 3,1,0,2,1,0,2,169,28,0,0,3,0,5,1,0,1,0,0,0,1,2,0,4,167,0,8,32,427.0
02010100204,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 4,1,0,2,1,0,1,154,38,1,0,1,0,5,4,0,0,0,0,0,2,0,0,6,171,1,2,28,418.0
02010100205,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 5,0,0,4,5,0,0,142,26,0,0,2,2,5,2,0,2,0,0,0,1,0,0,4,147,0,7,37,386.0
02010100206,م إبتدائية حي التحرير 2 - التحرير الأول  مكتب 6,0,0,6,4,0,0,123,43,0,1,1,0,2,0,0,0,0,0,0,0,2,0,1,136,4,2,66,391.0
02010200301,م إبتدائية حي التحرير 3 - التحرير الثالث  مكتب 1,1,0,0,2,0,0,171,15,0,0,2,0,2,0,0,2,0,0,0,1,3,0,0,146,0,6,20,371.0
02010200302,م إبتدائية حي التحرير 3 - التحرير الثالث  مكتب 2,0,1,2,2,0,0,159,20,0,0,4,0,2,0,1,2,0,0,0,0,1,0,1,153,0,8,24,380.0
02010200303,م إبتدائية حي التحرير 3 - التحرير الثالث  مكتب 3,0,0,4,5,0,0,145,25,0,0,2,0,5,1,0,2,0,1,0,1,1,0,3,146,1,5,21,368.0
02010200304,م إبتدائية حي التحرير 3 - التحرير الثالث  مكتب 4,0,0,6,2,0,2,110,29,0,1,2,0,4,0,0,0,0,0,0,1,3,0,0,130,0,7,44,341.0
02010300401,م إبتدائية التحرير العلوي  مكتب 1,1,0,1,2,1,1,179,25,0,1,2,0,2,1,0,2,0,2,1,0,8,0,3,118,1,9,24,384.0
02010300402,م إبتدائية التحرير العلوي  مكتب 2,2,0,1,0,3,1,147,31,1,1,2,1,3,0,3,1,0,2,1,0,1,1,3,127,0,14,21,367.0
02010300403,م إبتدائية التحرير العلوي  مكتب 3,0,0,1,2,2,2,131,31,0,1,4,0,1,1,0,2,0,0,1,1,1,0,4,123,1,7,40,356.0
02010300404,م إبتدائية التحرير العلوي  مكتب 4,0,0,5,3,1,0,103,26,1,0,0,0,2,1,0,1,1,0,0,0,1,1,2,145,0,7,29,329.0
02010300405,م إبتدائية التحرير العلوي  مكتب 5,0,0,4,0,3,0,89,45,0,1,3,0,5,0,0,1,0,1,0,0,1,0,2,122,0,3,49,329.0
مجموع أصوات القائمة,10,2,51,56,14,14,3642,688,5,19,61,7,86,12,7,36,3,11,4,18,39,2,66,3249,18,140,808,9068,
