#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
02040102401,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 1,0,0,2,0,0,0,311,16,2,0,1,0,4,0,0,1,1,0,1,0,4,0,3,43,2,8,23,422.0
02040102402,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 2,0,0,3,3,0,0,304,22,0,1,1,0,4,1,0,1,0,0,0,0,3,0,1,76,2,9,22,453.0
02040102403,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 3,1,0,1,2,0,0,308,18,0,0,4,0,0,0,0,3,0,0,0,1,3,0,3,75,0,7,22,448.0
02040102404,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 4,0,0,2,7,0,1,275,22,0,0,1,1,7,0,0,1,3,0,1,0,1,0,5,89,2,2,27,447.0
02040102405,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 5,0,0,2,6,0,0,261,26,0,0,1,0,3,0,0,2,0,0,0,0,0,0,2,82,0,1,31,417.0
02040102406,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 6,0,0,3,2,0,1,212,29,0,0,4,0,4,1,0,1,0,0,0,0,1,0,1,60,3,2,67,391.0
02040102407,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي  مكتب 7,0,0,3,7,0,0,162,33,0,0,3,0,5,0,0,1,0,0,0,1,1,0,0,91,0,2,57,366.0
02040102501,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 1,0,0,3,4,0,0,340,15,0,0,2,1,3,0,0,3,0,0,0,0,1,0,3,68,0,3,21,467.0
02040102502,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 2,0,0,4,1,0,0,289,12,0,1,2,2,2,0,1,1,1,1,0,1,1,0,3,97,1,3,24,447.0
02040102503,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 3,1,0,4,5,0,1,293,18,0,1,0,0,7,1,1,2,0,0,0,0,1,0,1,109,0,2,26,473.0
02040102504,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 4,1,0,4,1,0,1,253,19,0,0,2,0,3,0,1,2,0,0,0,0,1,0,4,114,1,5,41,453.0
02040102505,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 5,0,0,4,2,0,0,237,26,0,0,1,1,7,0,0,3,0,0,0,0,4,0,2,133,0,7,43,470.0
02040102506,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي  مكتب 6,0,0,2,4,0,2,241,14,0,1,1,1,5,2,0,2,1,0,0,1,0,0,2,109,0,0,46,434.0
