circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis2,LaGoulette,02080107001,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 1,1,0,3,1,0,1,330,11,0,0,2,1,6,0,0,1,0,3,0,2,6,0,6,54,0,4,20,452
Tunis2,LaGoulette,02080107002,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 2,2,0,2,3,1,1,331,20,0,1,1,0,1,2,0,0,1,0,1,1,3,1,3,56,0,3,26,460
Tunis2,LaGoulette,02080107003,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 3,0,0,7,5,0,0,319,23,0,0,1,0,1,0,0,0,0,0,1,0,3,0,5,82,0,3,27,477
Tunis2,LaGoulette,02080107004,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 4,1,0,3,1,0,3,294,25,0,2,2,1,7,1,0,1,0,0,0,0,3,0,9,63,0,3,34,453
Tunis2,LaGoulette,02080107005,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 5,0,0,4,7,0,0,278,21,0,1,1,1,2,0,0,2,0,0,0,1,0,0,2,91,0,2,40,453
Tunis2,LaGoulette,02080107006,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 6,0,0,5,6,0,1,258,28,0,0,2,0,3,1,0,0,0,1,0,1,1,0,4,73,1,1,35,421
Tunis2,LaGoulette,02080107007,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 7,0,0,3,4,0,0,214,49,0,0,4,0,1,1,0,0,0,0,0,1,2,0,4,52,0,2,73,410
Tunis2,LaGoulette,02080107008,م إبتدائية  9نهج 2 مارس حلق الواد   مكتب 8,0,0,5,4,0,0,197,30,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,67,4,12,62,387
Tunis2,LaGoulette,02080207101,م إبتدائية خير الدين نهج أبو تمام  مكتب 1,0,1,1,3,1,0,335,14,0,0,4,0,4,2,0,0,0,0,0,2,7,0,4,55,0,4,15,452
Tunis2,LaGoulette,02080207102,م إبتدائية خير الدين نهج أبو تمام  مكتب 2,1,0,4,4,0,0,298,21,1,0,1,0,3,0,0,3,0,0,0,0,3,0,4,82,0,8,22,455
Tunis2,LaGoulette,02080207103,م إبتدائية خير الدين نهج أبو تمام  مكتب 3,0,0,2,2,0,0,335,16,0,0,0,0,4,0,1,2,1,0,0,1,1,0,5,59,1,4,33,467
Tunis2,LaGoulette,02080207104,م إبتدائية خير الدين نهج أبو تمام  مكتب 4,0,0,0,5,0,0,249,21,0,1,1,0,9,1,0,0,1,0,0,0,5,0,4,114,0,2,39,452
Tunis2,LaGoulette,02080207105,م إبتدائية خير الدين نهج أبو تمام  مكتب 5,0,1,5,7,0,1,267,25,0,0,1,0,7,0,0,0,0,0,0,0,4,0,4,89,0,2,31,444
Tunis2,LaGoulette,02080207106,م إبتدائية خير الدين نهج أبو تمام  مكتب 6,0,0,4,6,0,0,219,30,0,0,0,0,7,1,0,0,0,0,0,0,0,1,7,48,1,4,70,398
Tunis2,LaGoulette,02080207107,م إبتدائية خير الدين نهج أبو تمام  مكتب 7,0,0,8,0,0,0,211,25,0,0,1,0,7,2,0,1,0,0,0,1,0,0,4,79,2,3,46,390
Tunis2,LaGoulette,02080307201,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 1,0,0,6,6,0,0,300,9,0,0,3,1,5,2,0,3,0,0,1,0,2,0,1,95,0,3,26,463
Tunis2,LaGoulette,02080307202,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 2,0,0,4,1,0,0,318,11,0,0,3,0,8,2,0,5,1,0,1,1,2,0,2,86,0,6,36,487
Tunis2,LaGoulette,02080307203,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 3,0,0,3,5,0,0,245,13,0,0,5,0,1,3,0,2,1,1,0,0,2,0,9,126,0,8,40,464
Tunis2,LaGoulette,02080307204,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 4,0,0,6,7,0,1,289,17,0,2,2,0,11,0,0,1,0,0,0,0,4,0,2,85,1,6,45,479
Tunis2,LaGoulette,02080307205,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 5,0,0,5,10,1,0,217,11,1,0,1,0,13,0,0,8,0,0,0,0,1,0,4,121,1,3,55,452
Tunis2,LaGoulette,02080307206,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 6,1,0,3,8,0,1,200,29,0,0,2,0,7,1,0,3,0,0,0,0,3,0,4,86,0,8,78,434
Tunis2,LaGoulette,02080307207,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 7,0,0,4,10,0,0,219,13,1,0,0,0,8,0,0,4,0,0,1,0,3,0,1,79,0,5,53,401
Tunis2,LaGoulette,02080307208,م إبتدائية العوينة طريق سكرة - الطيب المهيري العوينة  مكتب 8,1,0,7,9,0,0,197,22,1,0,1,0,7,1,0,1,0,0,0,0,0,0,2,80,1,4,65,399
Tunis2,LaGoulette,02080307301,م إبتدائية العوينة حي الطيب المهيري  مكتب 1,1,1,6,6,0,4,274,15,0,0,7,0,7,0,1,1,0,1,1,2,7,0,5,99,0,11,21,470
