#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
02050103201,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 1,1,2,3,1,0,0,371,9,0,0,0,0,6,1,0,0,0,0,0,1,3,0,4,43,0,10,26,481
02050103202,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 2,0,0,1,5,0,1,374,5,0,1,3,0,8,0,0,0,0,0,0,0,2,0,2,44,1,3,20,470
02050103203,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 3,0,0,2,5,0,0,328,8,0,0,0,0,8,1,0,0,0,0,1,0,4,0,8,66,1,3,43,478
02050103204,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 4,0,0,1,1,0,0,364,4,0,0,3,0,4,0,0,1,0,0,0,1,2,1,7,50,1,3,38,481
02050103205,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 5,0,0,1,2,0,0,321,8,1,1,1,0,4,1,0,2,0,0,1,0,3,0,3,64,0,6,47,466
02050103206,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 6,0,0,0,4,0,0,345,5,0,0,0,0,6,2,0,0,1,0,0,1,1,0,6,55,0,4,43,473
02050103207,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 7,0,0,3,10,0,0,293,22,0,0,1,1,6,0,0,1,1,0,0,1,2,1,6,39,0,1,60,448
02050103208,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 8,0,0,5,4,0,0,268,19,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,46,1,5,83,444
02050103209,م إبتدائية نهج الورد المرسى - المرسى المدينة  مكتب 9,0,0,3,3,0,0,269,13,1,1,0,0,4,0,0,1,0,0,0,0,2,1,3,35,0,3,59,398
02050103301,م إبتدائية شارع بورقيبة المرسى - المرسى المدينة  مكتب 1,0,1,4,3,0,0,396,8,0,0,3,1,7,2,1,0,0,0,0,0,4,0,3,34,0,10,33,510
02050103302,م إبتدائية شارع بورقيبة المرسى - المرسى المدينة  مكتب 2,0,1,3,4,0,0,402,9,0,1,2,0,11,3,0,0,0,0,0,1,5,1,6,36,1,2,25,513
02050103303,م إبتدائية شارع بورقيبة المرسى - المرسى المدينة  مكتب 3,0,0,2,0,0,0,404,10,0,0,2,0,6,0,0,2,0,0,0,1,5,0,9,37,0,5,31,514
