circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Tunis2,LeBardo,02070105601,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 1,0,0,4,8,0,0,305,21,0,1,5,0,1,1,0,1,0,0,0,3,5,0,6,100,0,6,34,501
Tunis2,LeBardo,02070105602,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 2,0,0,5,4,2,0,317,15,0,1,5,0,6,1,0,0,1,1,0,0,5,1,5,94,0,10,21,494
Tunis2,LeBardo,02070105603,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 3,0,0,4,1,1,0,284,3,1,2,0,0,7,2,0,0,0,0,0,1,5,0,2,131,0,4,46,494
Tunis2,LeBardo,02070105604,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 4,0,0,3,7,0,2,241,18,1,2,4,0,3,0,0,0,0,1,0,0,3,0,6,131,0,3,54,479
Tunis2,LeBardo,02070105605,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 5,0,0,5,4,0,0,230,15,2,0,3,0,2,1,1,1,0,1,0,0,5,0,3,129,1,6,61,470
Tunis2,LeBardo,02070105606,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 6,0,0,6,4,0,0,167,16,0,0,5,0,10,4,0,2,0,0,0,0,0,0,2,150,0,15,68,449
Tunis2,LeBardo,02070105607,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 7,0,0,1,6,0,0,155,16,0,0,5,0,7,0,0,0,0,1,0,0,1,0,6,143,1,6,61,409
Tunis2,LeBardo,02070105608,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 8,0,0,6,4,0,0,164,26,1,0,1,0,4,1,0,1,0,0,0,1,0,0,4,93,1,2,112,421
Tunis2,LeBardo,02070105609,م إبتدائية شارع الحبيب بورقيبة باردو  مكتب 9,0,0,8,3,0,0,122,20,0,0,9,1,6,1,0,0,1,0,0,1,2,0,4,108,1,3,83,373
Tunis2,LeBardo,02070105701,م إبتدائية حي الرياض - باردو   مكتب 1,0,0,1,3,0,1,287,19,1,0,4,1,5,0,0,4,0,0,0,0,3,0,4,123,0,7,33,496
Tunis2,LeBardo,02070105702,م إبتدائية حي الرياض - باردو   مكتب 2,1,1,7,2,1,2,250,20,0,1,1,0,7,4,0,1,0,0,1,1,2,1,8,118,0,4,28,461
Tunis2,LeBardo,02070105703,م إبتدائية حي الرياض - باردو   مكتب 3,0,0,1,6,0,0,231,22,0,0,3,0,12,0,0,2,2,0,0,1,1,0,0,171,0,6,44,502
Tunis2,LeBardo,02070105704,م إبتدائية حي الرياض - باردو   مكتب 4,0,0,3,8,0,0,225,25,0,2,1,0,5,2,0,0,0,0,0,0,0,0,5,157,1,7,48,489
Tunis2,LeBardo,02070105705,م إبتدائية حي الرياض - باردو   مكتب 5,1,0,4,5,0,0,180,25,0,1,2,1,6,1,0,3,0,0,0,1,0,0,0,178,0,12,47,467
Tunis2,LeBardo,02070105706,م إبتدائية حي الرياض - باردو   مكتب 6,0,0,2,5,0,1,192,25,1,0,6,0,7,0,0,1,0,1,0,0,4,0,1,148,1,9,52,456
