circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Zaghouane,BirMcherga,13040106501,م إبتدائية  2مارس 34 بئر مشارقة   مكتب 1,0,1,2,1,1,1,150,28,3,1,4,1,2,1,1,2,1,0,1,0,1,2,4,184,1,25,14,432
Zaghouane,BirMcherga,13040106502,م إبتدائية  2مارس 34 بئر مشارقة   مكتب 2,1,1,1,0,0,1,109,34,0,0,0,1,1,0,0,1,1,0,0,0,4,0,0,177,0,11,25,368
Zaghouane,BirMcherga,13040106503,م إبتدائية  2مارس 34 بئر مشارقة   مكتب 3,1,0,1,1,0,0,85,48,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,176,0,17,27,364
Zaghouane,BirMcherga,13040106601,م إبتدائية الأمل بئر مشارقة  مكتب 1,1,0,0,4,2,1,82,38,2,0,2,0,1,1,1,4,1,1,0,1,5,1,2,142,1,24,12,329
Zaghouane,BirMcherga,13040106602,م إبتدائية الأمل بئر مشارقة  مكتب 2,0,0,0,0,1,1,55,38,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,166,0,17,25,308
Zaghouane,BirMcherga,13040106603,م إبتدائية الأمل بئر مشارقة  مكتب 3,5,0,0,0,1,0,54,28,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,130,0,12,30,266
Zaghouane,BirMcherga,13040206701,م إبتدائية النجاح - بئر مشارقة محطة  مكتب 1,2,0,1,2,1,3,84,30,0,1,4,1,8,1,0,2,4,1,1,0,6,2,1,134,1,32,20,342
Zaghouane,BirMcherga,13040206702,م إبتدائية النجاح - بئر مشارقة محطة  مكتب 2,1,0,1,1,1,0,62,35,0,1,1,0,5,0,0,0,1,2,0,0,3,0,10,92,0,31,25,272
Zaghouane,BirMcherga,13040306801,م إبتدائية دلائل العروس  مكتب 1,3,1,2,1,1,0,52,16,0,1,0,0,0,1,0,0,2,1,1,1,5,0,0,60,1,5,7,161
Zaghouane,BirMcherga,13040306901,م إبتدائية الفراكسن - دلائل العروس  مكتب 1,0,0,0,0,0,0,8,23,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,31,0,8,7,82
Zaghouane,BirMcherga,13040407001,م إبتدائية سمنجة   مكتب 1,1,1,0,1,1,5,170,37,2,1,2,0,2,2,0,2,1,1,1,3,1,0,2,45,1,20,19,321
Zaghouane,BirMcherga,13040407002,م إبتدائية سمنجة   مكتب 2,0,0,1,1,0,0,86,37,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3,42,0,16,27,219
Zaghouane,BirMcherga,13040407101,م إبتدائية خنيقة مقرة - سمنجة  مكتب 1,1,0,1,0,0,0,120,22,0,0,1,0,2,0,0,0,1,1,1,0,1,1,2,79,1,9,23,266
Zaghouane,BirMcherga,13040507201,م إبتدائية جبل الوسط   مكتب 1,2,1,5,5,0,1,142,33,1,0,4,0,9,0,4,1,3,1,1,3,5,1,3,97,1,27,21,371
Zaghouane,BirMcherga,13040507202,م إبتدائية جبل الوسط   مكتب 2,0,0,1,1,2,2,110,31,1,0,2,0,3,0,0,1,1,0,0,0,2,0,0,152,1,32,13,355
Zaghouane,BirMcherga,13040507203,م إبتدائية جبل الوسط   مكتب 3,0,0,0,1,0,0,61,36,0,1,3,1,1,1,1,0,1,0,0,0,3,0,4,145,0,35,14,308
Zaghouane,BirMcherga,13040507204,م إبتدائية جبل الوسط   مكتب 4,1,0,1,0,0,3,72,40,1,1,2,0,5,0,0,0,1,1,0,0,0,0,1,116,0,27,23,295
Zaghouane,BirMcherga,13040607301,م إبتدائية عين الصفصاف  مكتب 1,1,1,1,1,0,1,49,4,1,1,2,0,2,0,1,0,0,0,0,0,3,1,0,43,0,5,13,130
Zaghouane,BirMcherga,13040607401,م إبتدائية هنشير التلة - عين الصفصاف  مكتب 1,1,0,0,0,1,0,45,9,1,1,3,0,1,0,0,0,0,0,0,0,1,1,1,29,1,2,9,106
Zaghouane,BirMcherga,13040707501,م إبتدائية بوشة  مكتب 1,0,0,0,0,0,0,37,10,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,90,0,5,6,153
Zaghouane,BirMcherga,13040807601,م إبتدائية عين عسكر  مكتب 1,0,0,1,0,0,0,73,14,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,29,0,5,5,131
Zaghouane,BirMcherga,13040807701,م إبتدائية المناقع - عين عسكر  مكتب 1,3,1,3,0,1,1,170,28,1,3,4,1,6,3,0,2,1,0,1,1,6,0,0,61,1,13,43,354
