circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Zaghouane,ElFahs,13020101301,م إبتدائية بوشوشة قنطرة الفحص - أحواز الفحص  مكتب 1,2,0,1,7,3,1,173,24,3,1,3,0,5,1,2,1,1,1,2,3,4,0,2,86,1,20,25,372
Zaghouane,ElFahs,13020101302,م إبتدائية بوشوشة قنطرة الفحص - أحواز الفحص  مكتب 2,4,0,0,0,3,0,144,32,0,0,1,0,1,0,0,0,0,0,0,0,4,0,2,86,1,14,38,330
Zaghouane,ElFahs,13020101303,م إبتدائية بوشوشة قنطرة الفحص - أحواز الفحص  مكتب 3,0,0,2,1,0,1,109,40,0,3,2,1,3,1,0,1,0,0,0,0,1,0,1,68,1,11,29,275
Zaghouane,ElFahs,13020101401,م إبتدائية 2مارس الفحص - أحواز الفحص  مكتب 1,3,1,2,6,1,1,208,29,1,4,3,0,7,1,2,1,0,1,0,1,4,0,2,60,1,16,13,368
Zaghouane,ElFahs,13020101402,م إبتدائية 2مارس الفحص - أحواز الفحص  مكتب 2,1,0,0,5,1,2,168,39,2,2,0,1,3,1,2,0,0,0,0,0,3,0,1,116,0,9,24,380
Zaghouane,ElFahs,13020101403,م إبتدائية 2مارس الفحص - أحواز الفحص  مكتب 3,0,0,0,2,1,0,126,48,0,2,3,0,2,0,0,1,0,0,0,0,3,0,1,87,0,15,14,305
Zaghouane,ElFahs,13020101404,م إبتدائية 2مارس الفحص - أحواز الفحص  مكتب 4,0,0,4,1,0,0,125,58,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,107,0,10,20,331
Zaghouane,ElFahs,13020201501,م إبتدائية بئر مقرة   مكتب 1,0,0,1,0,0,0,118,6,0,1,1,1,4,0,0,1,0,0,1,0,2,0,0,14,1,18,17,186
Zaghouane,ElFahs,13020301601,م إبتدائية أم الأبواب القديمة  مكتب 1,2,0,1,4,0,0,65,5,0,0,3,0,1,0,2,1,1,0,0,0,0,0,0,14,3,7,8,117
Zaghouane,ElFahs,13020301701,م إبتدائية الشنانفة - أم الأبواب  مكتب 1,2,1,1,68,0,0,62,12,5,0,1,6,1,0,1,1,0,0,2,1,2,0,1,12,0,16,12,207
Zaghouane,ElFahs,13020301801,م إبتدائية أم الأبواب الجديدة  مكتب 1,0,2,1,4,3,2,87,5,0,1,3,2,1,1,0,0,1,1,1,0,6,1,0,14,2,28,6,172
Zaghouane,ElFahs,13020401901,م إبتدائية أولاد زوابي   مكتب 1,1,0,0,0,1,1,20,2,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,15,1,22,1,70
Zaghouane,ElFahs,13020502001,م إبتدائية نهج الشاذلي الشرعبي - الفحص  مكتب 1,1,0,1,4,2,3,207,22,4,2,3,2,2,0,1,1,2,0,1,3,6,0,2,67,2,14,18,370
Zaghouane,ElFahs,13020502002,م إبتدائية نهج الشاذلي الشرعبي - الفحص  مكتب 2,1,0,0,4,1,0,201,26,1,0,5,0,2,0,0,1,0,0,0,1,4,0,3,92,0,16,38,396
Zaghouane,ElFahs,13020502003,م إبتدائية نهج الشاذلي الشرعبي - الفحص  مكتب 3,2,0,1,3,0,1,187,26,0,0,3,1,2,1,0,1,0,0,0,0,2,0,2,109,0,17,21,379
Zaghouane,ElFahs,13020502004,م إبتدائية نهج الشاذلي الشرعبي - الفحص  مكتب 4,0,0,3,3,0,0,137,33,0,1,2,0,3,1,0,0,1,0,0,0,0,0,1,78,2,10,21,296
Zaghouane,ElFahs,13020502005,م إبتدائية نهج الشاذلي الشرعبي - الفحص  مكتب 5,0,0,0,3,1,2,133,44,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0,77,0,8,44,320
Zaghouane,ElFahs,13020502101,م إبتدائية حي السعادة الفحص   مكتب 1,2,1,2,1,1,3,245,17,1,1,3,0,2,0,1,5,1,0,1,2,9,0,2,98,0,20,15,433
Zaghouane,ElFahs,13020502102,م إبتدائية حي السعادة الفحص   مكتب 2,2,0,1,2,0,0,185,24,0,1,3,1,0,0,1,0,0,0,0,1,3,0,6,137,0,20,42,429
Zaghouane,ElFahs,13020502103,م إبتدائية حي السعادة الفحص   مكتب 3,0,0,1,3,0,0,173,29,0,0,2,1,5,2,0,1,0,0,1,0,4,1,2,118,1,12,27,383
Zaghouane,ElFahs,13020502104,م إبتدائية حي السعادة الفحص   مكتب 4,1,0,1,1,0,0,134,25,0,1,1,0,6,1,1,0,0,0,0,0,3,0,0,94,0,13,26,308
Zaghouane,ElFahs,13020502105,م إبتدائية حي السعادة الفحص   مكتب 5,0,0,2,3,1,0,119,29,1,0,3,1,4,1,1,2,1,0,0,0,2,0,2,99,0,10,45,326
Zaghouane,ElFahs,13020502106,م إبتدائية حي السعادة الفحص   مكتب 6,0,0,2,4,0,0,99,51,0,0,1,0,4,1,0,1,1,0,0,0,0,0,0,130,1,19,43,357
Zaghouane,ElFahs,13020502201,م إبتدائية قنطرة الفحص طريق تونس - الفحص  مكتب 1,0,0,0,3,1,0,195,24,3,1,2,0,5,1,0,2,0,0,0,0,3,0,3,75,1,14,20,353
Zaghouane,ElFahs,13020502202,م إبتدائية قنطرة الفحص طريق تونس - الفحص  مكتب 2,0,0,1,0,0,1,99,28,3,1,4,0,1,0,0,1,1,0,0,0,1,0,1,75,0,15,32,264
Zaghouane,ElFahs,13020602301,م إبتدائية سيدي عويدات - الدروع  مكتب 1,1,0,1,4,1,3,147,24,2,0,4,0,6,1,1,3,0,1,0,0,3,0,1,33,1,19,22,278
Zaghouane,ElFahs,13020602401,م إبتدائية سد وادي الكبير - الدروع  مكتب 1,0,0,0,1,1,0,24,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,11,0,5,6,53
Zaghouane,ElFahs,13020602501,م إبتدائية سيدي الناوي - الدروع  مكتب 1,1,0,0,2,1,0,81,9,0,0,3,0,2,0,1,2,0,0,0,1,4,0,1,22,1,2,16,149
Zaghouane,ElFahs,13020602601,م إبتدائية العياشية الفحص - الدروع  مكتب 1,0,1,1,0,0,1,24,20,1,0,3,1,1,0,0,0,1,1,0,1,1,0,1,10,0,0,8,76
Zaghouane,ElFahs,13020602701,مدرسة تعليم الكبار بالغنيات  مكتب 1,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,13,0,2,3,49
Zaghouane,ElFahs,13020702801,م إبتدائية الغريفات الفحص  مكتب 1,1,0,0,1,2,1,92,19,0,0,1,0,1,0,1,0,1,0,0,1,2,0,1,49,0,21,14,208
Zaghouane,ElFahs,13020702901,م إبتدائية بوقرنين - الغريفات  مكتب 1,1,0,0,3,1,0,81,14,0,0,1,0,1,0,0,1,0,0,0,1,3,0,0,22,0,16,7,152
Zaghouane,ElFahs,13020703001,م إبتدائية جباس - الغريفات  مكتب 1,0,1,1,2,0,0,61,5,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,38,0,8,6,129
Zaghouane,ElFahs,13020803101,م إبتدائية بنت سعيدان   مكتب 1,2,0,0,1,0,0,127,39,0,0,1,0,2,1,0,2,0,0,1,0,2,0,0,72,0,5,6,261
