#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
13030104401,م إبتدائية  2مارس 34 الناظور   مكتب 1,1,4,2,10,2,1,216,16,1,1,3,0,2,2,0,3,1,1,1,2,7,0,0,98,1,21,17,413.0
13030104402,م إبتدائية  2مارس 34 الناظور   مكتب 2,1,0,0,6,0,0,175,14,1,1,4,0,3,0,2,0,5,0,1,0,1,0,1,155,0,12,25,407.0
13030104403,م إبتدائية  2مارس 34 الناظور   مكتب 3,1,0,3,5,1,1,115,15,0,1,0,0,2,0,1,0,0,0,2,0,1,1,1,122,0,8,19,299.0
13030104404,م إبتدائية  2مارس 34 الناظور   مكتب 4,1,0,2,5,0,1,87,21,0,1,2,0,4,0,0,1,0,0,1,1,2,0,1,153,0,23,14,320.0
13030104501,م إبتدائية زواغة - الناظور  مكتب 1,1,0,1,1,1,4,70,10,0,0,3,0,3,2,0,0,0,1,0,0,1,0,0,157,0,12,27,294.0
13030104601,م إبتدائية حي الجديد الناظور   مكتب 1,0,1,2,9,0,0,164,24,0,0,3,2,5,1,0,2,2,0,1,0,6,1,0,89,0,27,13,352.0
13030104602,م إبتدائية حي الجديد الناظور   مكتب 2,1,1,1,5,0,0,116,22,0,2,1,0,4,0,0,1,0,1,0,1,2,0,0,90,2,30,17,297.0
13030104603,م إبتدائية حي الجديد الناظور   مكتب 3,1,0,1,3,2,0,100,29,0,1,2,0,4,0,0,1,0,0,0,0,1,0,0,74,1,18,19,257.0
13030104701,م إبتدائية الهنشير الجديد - الناظور  مكتب 1,3,0,0,2,2,0,61,6,2,1,5,0,2,0,2,0,0,2,0,0,3,0,1,50,1,22,4,169.0
13030104702,م إبتدائية الهنشير الجديد - الناظور  مكتب 2,0,0,0,2,0,1,30,5,0,0,1,0,0,0,2,0,2,0,0,0,1,1,2,32,1,17,6,103.0
13030104801,م إبتدائية الشعاليل - الناظور  مكتب 1,1,0,0,3,0,0,64,12,1,0,2,1,2,0,1,2,0,0,1,0,3,0,2,93,0,8,4,200.0
13030204901,م إبتدائية عين البطوم   مكتب 1,6,1,2,6,2,3,121,19,5,1,3,0,7,0,4,4,2,3,2,0,4,0,0,92,2,27,15,331.0
13030204902,م إبتدائية عين البطوم   مكتب 2,3,0,0,2,0,0,62,19,0,0,3,0,3,1,1,2,0,0,0,0,0,2,1,73,0,11,8,191.0
13030205001,م إبتدائية الحناينية الناظور - عين البطوم  مكتب 1,1,0,0,2,3,0,74,5,0,1,1,1,2,2,0,1,0,0,1,0,8,0,0,44,2,13,5,166.0
13030205002,م إبتدائية الحناينية الناظور - عين البطوم  مكتب 2,0,0,0,2,1,0,42,9,2,0,1,0,0,1,1,1,1,0,0,0,1,0,0,62,0,6,5,135.0
13030205101,م إبتدائية بوعرارة الناظور - عين البطوم  مكتب 1,1,0,1,4,2,2,98,10,2,0,2,1,3,2,1,2,1,1,0,1,1,0,0,73,1,24,3,236.0
13030205201,م إبتدائية القايب العالي - عين البطوم  مكتب 1,1,0,0,0,2,2,84,8,3,4,3,1,8,1,1,2,1,1,2,1,4,0,7,83,1,13,8,241.0
13030205202,م إبتدائية القايب العالي - عين البطوم  مكتب 2,2,0,1,4,0,1,37,10,0,0,2,0,0,0,1,1,0,0,1,0,4,0,3,67,0,4,1,139.0
13030305301,م إبتدائية صوار  مكتب 1,0,1,2,3,0,2,37,18,1,0,0,0,1,0,1,1,2,0,0,0,2,0,1,30,0,7,12,121.0
13030305401,م إبتدائية الزبيدين - صوار  مكتب 1,1,0,1,1,1,2,61,4,0,0,0,0,2,1,0,2,0,1,0,2,2,1,0,41,1,11,0,135.0
13030305501,م إبتدائية سيدي بنور - صوار  مكتب 1,0,0,1,0,2,0,44,3,1,0,1,0,0,1,2,0,0,0,0,0,1,0,1,17,0,14,2,90.0
13030405601,م إبتدائية بئر الشاوش  مكتب 1,2,1,1,3,0,1,78,8,1,1,3,10,2,1,4,1,3,1,3,1,5,0,1,103,0,38,7,279.0
13030405602,م إبتدائية بئر الشاوش  مكتب 2,0,0,1,0,0,2,42,16,0,0,1,6,0,0,0,0,0,0,1,0,1,0,0,46,0,20,13,149.0
13030405701,م إبتدائية سيدي ناجي - بئر الشاوش  مكتب 1,2,1,3,4,1,2,116,13,0,2,4,0,5,0,0,1,0,0,1,3,1,0,0,57,1,19,10,246.0
13030405801,م إبتدائية الضربانية - بئر الشاوش  مكتب 1,0,1,1,1,0,3,53,2,2,0,0,0,5,1,1,1,3,1,0,0,1,0,1,90,1,34,3,205.0
