circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Zaghouane,Saouef,13060109901,م إبتدائية زقطون - صواف الشرقية  مكتب 1,1,1,1,4,1,4,100,9,2,1,2,1,6,1,1,0,0,2,1,1,4,2,0,89,0,31,7,272
Zaghouane,Saouef,13060110001,م إبتدائية سيدي فرج الله - صواف الشرقية  مكتب 1,3,0,0,0,0,2,55,7,1,0,1,1,2,1,0,0,0,0,0,0,7,0,1,60,2,4,1,148
Zaghouane,Saouef,13060110101,م إبتدائية سيدي منصور - صواف الشرقية  مكتب 1,1,0,1,1,0,2,46,5,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,15,1,2,0,80
Zaghouane,Saouef,13060210201,م إبتدائية صواف - صواف الغربية  مكتب 1,1,1,1,5,1,1,193,13,1,0,1,0,0,2,1,1,1,0,0,1,6,0,0,77,1,23,4,335
Zaghouane,Saouef,13060210202,م إبتدائية صواف - صواف الغربية  مكتب 2,1,0,4,1,0,1,121,15,0,0,1,1,4,0,0,1,0,1,0,2,1,0,1,94,0,13,8,270
Zaghouane,Saouef,13060210301,م إبتدائية دوار الحج عمر الناظور - صواف الغربية  مكتب 1,1,0,0,3,1,0,105,20,0,0,5,0,2,0,0,1,0,3,0,1,0,0,2,46,2,22,7,221
Zaghouane,Saouef,13060310401,م إبتدائية الحميرة عن النفيضة - الحميرة  مكتب 1,2,0,2,5,1,1,101,15,0,1,2,1,3,0,0,0,1,0,0,1,4,1,1,31,2,14,7,196
Zaghouane,Saouef,13060310402,م إبتدائية الحميرة عن النفيضة - الحميرة  مكتب 2,0,0,0,1,0,0,66,14,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,25,0,10,6,129
Zaghouane,Saouef,13060310501,م إبتدائية وادي الطويل - الحميرة  مكتب 1,0,1,0,2,2,1,66,13,1,0,1,0,2,2,1,2,2,1,0,0,4,0,2,11,1,8,8,131
Zaghouane,Saouef,13060410601,م إبتدائية دغافلة - الدغافلة الشرقية  مكتب 1,6,1,1,6,5,6,143,18,1,1,1,0,6,0,1,1,1,0,0,2,10,2,0,33,2,29,7,283
Zaghouane,Saouef,13060410602,م إبتدائية دغافلة - الدغافلة الشرقية  مكتب 2,0,0,1,7,3,0,91,18,0,0,2,0,2,0,0,0,3,0,0,0,1,2,0,42,0,18,3,193
Zaghouane,Saouef,13060410701,م إبتدائية زغيدان - الدغافلة الشرقية  مكتب 1,1,1,3,6,3,3,76,14,3,0,5,0,5,2,0,1,1,0,3,0,5,1,1,48,0,28,6,216
Zaghouane,Saouef,13060410702,م إبتدائية زغيدان - الدغافلة الشرقية  مكتب 2,4,0,0,2,1,1,49,19,0,0,3,0,2,1,0,0,0,0,1,1,3,0,0,36,0,24,6,153
Zaghouane,Saouef,13060410801,م إبتدائية سيدي دغيم - الدغافلة الشرقية  مكتب 1,0,0,0,0,1,2,108,13,0,0,5,1,2,1,1,1,2,1,1,1,4,0,2,15,1,28,24,214
Zaghouane,Saouef,13060410802,م إبتدائية سيدي دغيم - الدغافلة الشرقية  مكتب 2,1,0,1,0,0,1,43,29,1,0,2,0,1,0,2,0,0,0,0,0,2,0,0,33,1,8,19,144
Zaghouane,Saouef,13060510901,م إبتدائية الخضراء - الدغافلة الغربية  مكتب 1,0,0,1,5,0,2,123,23,2,3,3,0,7,0,2,1,2,2,2,0,6,0,0,34,4,44,7,273
