#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
13050107801,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 1,0,0,2,3,1,0,272,17,1,2,2,1,4,4,1,8,2,0,0,0,2,0,3,84,1,14,24,448.0
13050107802,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 2,0,0,1,8,4,2,252,26,1,0,1,0,3,0,0,2,0,1,0,1,3,2,2,98,1,13,33,454.0
13050107803,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 3,1,0,0,11,1,0,235,39,0,1,2,0,4,1,0,0,0,0,0,0,2,1,1,107,0,7,33,446.0
13050107804,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 4,0,1,1,2,1,1,178,34,0,0,1,0,4,0,0,3,1,0,0,0,0,0,2,91,1,14,60,395.0
13050107805,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 5,0,0,5,4,1,0,157,34,0,2,2,0,2,0,0,0,1,0,0,0,2,0,2,90,1,6,56,365.0
13050107806,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 6,0,0,4,4,1,1,171,23,1,0,2,0,6,1,0,1,0,0,0,0,3,0,1,144,0,15,44,422.0
13050107807,م إبتدائية زغوان ابن خلدون - زغوان الشمالية  مكتب 7,1,0,0,3,1,1,127,48,1,0,5,0,3,0,0,1,1,0,0,0,2,0,4,85,0,5,68,356.0
13050107901,م إبتدائية حي العرائس زغوان - زغوان الشمالية  مكتب 1,1,1,3,4,2,1,172,22,1,1,1,1,8,0,0,6,1,0,0,1,4,0,1,125,0,14,30,400.0
13050107902,م إبتدائية حي العرائس زغوان - زغوان الشمالية  مكتب 2,0,1,2,2,1,0,118,29,0,0,3,0,1,0,0,0,0,0,0,2,2,0,1,130,0,13,50,355.0
13050107903,م إبتدائية حي العرائس زغوان - زغوان الشمالية  مكتب 3,0,0,3,4,1,1,127,34,1,1,2,0,4,0,1,1,0,0,0,0,1,0,3,112,2,8,59,365.0
13050208001,م إبتدائية نهج الشواشية زغوان - زغوان الجنوبية  مكتب 1,1,1,3,0,0,2,232,24,0,1,2,0,4,2,2,1,0,1,1,0,5,0,5,59,0,7,25,378.0
13050208002,م إبتدائية نهج الشواشية زغوان - زغوان الجنوبية  مكتب 2,0,0,0,2,3,0,219,34,0,0,1,0,3,0,0,2,0,0,0,0,2,0,3,81,0,13,21,384.0
13050208003,م إبتدائية نهج الشواشية زغوان - زغوان الجنوبية  مكتب 3,0,0,5,0,2,0,173,33,0,1,0,0,1,2,0,1,0,0,0,1,4,1,3,71,0,13,25,336.0
13050208004,م إبتدائية نهج الشواشية زغوان - زغوان الجنوبية  مكتب 4,1,0,3,1,0,0,137,38,0,1,5,0,5,0,0,2,0,0,0,0,0,0,2,72,0,12,54,333.0
13050208101,م إبتدائية الحنايا زغوان - زغوان الجنوبية  مكتب 1,1,0,0,4,2,1,167,38,0,0,3,0,6,2,0,4,0,0,0,0,7,0,1,43,1,10,26,316.0
13050208102,م إبتدائية الحنايا زغوان - زغوان الجنوبية  مكتب 2,3,0,0,0,0,0,104,37,0,1,0,0,1,1,0,0,0,0,0,1,2,0,4,62,0,11,23,250.0
13050208201,م إبتدائية طريق السواني زغوان - زغوان الجنوبية  مكتب 1,0,1,0,4,0,2,196,16,1,3,8,0,0,1,1,2,1,1,4,0,8,2,4,69,0,19,18,361.0
13050208202,م إبتدائية طريق السواني زغوان - زغوان الجنوبية  مكتب 2,0,0,2,4,1,0,206,24,0,0,2,0,5,1,1,0,0,0,0,0,2,0,0,95,0,14,23,380.0
13050208203,م إبتدائية طريق السواني زغوان - زغوان الجنوبية  مكتب 3,0,0,1,6,2,0,143,26,0,0,4,0,3,0,1,1,0,0,0,0,1,1,0,73,0,19,16,297.0
13050208204,م إبتدائية طريق السواني زغوان - زغوان الجنوبية  مكتب 4,0,0,4,3,0,0,141,41,0,1,4,0,1,0,0,1,0,0,0,0,0,0,2,91,0,9,43,341.0
13050208301,م إبتدائية حي النزهة زغوان - زغوان الجنوبية  مكتب 1,2,0,3,7,3,1,180,36,1,1,2,0,3,0,1,1,2,2,0,0,2,0,0,52,0,7,16,322.0
13050308401,م إبتدائية بئر حليمة  مكتب 1,1,1,1,5,2,0,234,34,1,2,2,2,5,1,0,3,1,0,0,0,10,2,1,31,4,12,13,368.0
13050308402,م إبتدائية بئر حليمة  مكتب 2,0,0,1,0,1,0,222,55,1,1,0,0,3,0,0,1,0,0,0,0,2,1,0,42,1,19,23,373.0
13050308403,م إبتدائية بئر حليمة  مكتب 3,1,0,3,2,0,0,156,43,0,1,5,0,3,0,0,0,0,0,0,1,1,0,0,44,0,6,27,293.0
13050308501,م إبتدائية واد الغيران - بئر حليمة  مكتب 1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,17.0
13050408601,م إبتدائية المقرن   مكتب 1,4,0,6,1,1,1,248,27,1,0,4,0,8,1,4,1,2,1,1,0,7,1,1,83,0,12,14,429.0
13050408602,م إبتدائية المقرن   مكتب 2,3,0,2,1,3,1,188,17,0,0,2,0,3,0,0,0,1,2,0,1,0,0,0,116,0,11,27,378.0
13050408603,م إبتدائية المقرن   مكتب 3,0,0,2,3,0,0,132,31,0,0,1,0,5,1,1,0,0,0,0,0,2,0,2,81,1,11,32,305.0
13050408701,م إبتدائية الروايقية زغوان - مقرن  مكتب 1,0,1,0,3,1,1,96,26,0,2,0,0,3,3,0,2,0,1,0,1,3,0,2,87,0,15,25,272.0
13050508801,م إبتدائية وادي الصبايحية - جيملة  مكتب 1,6,1,2,1,1,0,40,13,1,1,4,0,3,0,1,2,1,0,2,2,10,0,1,25,1,9,2,129.0
13050508901,م إبتدائية حميان - جيملة  مكتب 1,1,0,0,0,0,0,16,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,1,4,30.0
13050509001,م إبتدائية العقايلية - جيملة  مكتب 1,1,0,0,2,0,1,19,11,0,1,1,0,1,1,0,0,0,0,1,1,3,0,0,9,0,1,2,55.0
13050509101,م إبتدائية شهدة - جيملة  مكتب 1,8,1,1,1,0,2,34,10,0,0,4,0,2,2,2,1,2,3,3,1,1,0,0,21,0,3,14,116.0
13050609201,م إبتدائية سيدي مريح زغوان - العيثة  مكتب 1,0,1,1,6,0,3,182,12,1,1,4,2,2,0,0,1,1,0,0,2,9,0,0,41,0,24,19,312.0
13050609301,م إبتدائية وادي الربح - العيثة  مكتب 1,1,3,2,3,1,2,107,17,1,0,2,0,5,0,0,1,0,1,0,0,5,0,0,33,0,19,14,217.0
13050609302,م إبتدائية وادي الربح - العيثة  مكتب 2,0,0,0,0,1,1,55,36,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,33,0,14,16,163.0
13050709401,م إبتدائية بوسليم - وادي الرمل  مكتب 1,1,0,1,3,0,3,112,29,0,1,4,1,3,1,0,2,0,0,0,1,6,0,0,94,1,14,18,295.0
13050709501,م إبتدائية مركز علي الصغير - وادي الرمل  مكتب 1,0,0,0,0,0,1,28,4,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,16,1,11,2,69.0
