#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
13010100101,م إبتدائية عين مزيغ - الجوف الشرقية  مكتب 1,2,0,1,3,0,1,101,30,0,2,2,0,3,0,0,2,0,0,0,0,5,0,0,27,0,18,13,210.0
13010100201,م إبتدائية عين الأنصارين - الجوف الشرقية  مكتب 1,0,0,0,2,0,3,164,15,0,4,3,0,2,0,2,2,1,2,0,0,11,0,2,23,0,36,13,285.0
13010100202,م إبتدائية عين الأنصارين - الجوف الشرقية  مكتب 2,1,0,0,0,0,0,109,24,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,39,0,28,15,221.0
13010100301,م إبتدائية بني مار - الجوف الشرقية  مكتب 1,1,0,0,8,1,0,117,10,2,1,4,0,6,1,1,1,1,2,0,1,8,0,1,20,0,21,13,220.0
13010200401,م إبتدائية الشرشارة - الجوف الغريية  مكتب 1,0,1,0,10,1,3,41,10,0,0,0,0,0,1,1,1,1,2,0,1,5,1,0,12,0,14,2,107.0
13010200501,م إبتدائية بوشواطة - الجوف الغريية  مكتب 1,0,1,1,9,3,3,81,19,1,3,4,1,13,1,0,3,1,2,0,0,7,1,1,13,0,19,2,189.0
13010200502,م إبتدائية بوشواطة - الجوف الغريية  مكتب 2,0,0,1,2,0,1,52,15,0,1,4,0,0,0,0,1,0,0,1,0,1,0,0,35,0,9,1,124.0
13010300601,م إبتدائية  2مارس 34 الزريبة - الزريبة الجنوبية  مكتب 1,3,1,0,2,2,1,159,20,1,1,1,0,2,0,0,7,0,3,0,3,6,1,2,180,0,6,14,415.0
13010300602,م إبتدائية  2مارس 34 الزريبة - الزريبة الجنوبية  مكتب 2,0,0,0,1,1,0,143,55,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,211,0,14,17,445.0
13010300603,م إبتدائية  2مارس 34 الزريبة - الزريبة الجنوبية  مكتب 3,1,0,0,2,0,0,111,48,0,0,6,0,3,0,0,0,1,0,0,0,4,0,2,164,0,13,13,368.0
13010300604,م إبتدائية  2مارس 34 الزريبة - الزريبة الجنوبية  مكتب 4,1,0,4,4,2,0,102,52,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,168,0,5,28,372.0
13010300701,م إبتدائية الهدى الزريبة - الزريبة الجنوبية  مكتب 1,2,0,1,7,1,3,190,18,1,0,2,2,1,2,1,0,0,4,2,0,7,1,2,94,2,19,8,370.0
13010300702,م إبتدائية الهدى الزريبة - الزريبة الجنوبية  مكتب 2,2,0,0,4,1,2,179,22,0,0,1,0,0,0,1,2,1,0,0,0,1,1,1,104,2,39,11,374.0
13010300703,م إبتدائية الهدى الزريبة - الزريبة الجنوبية  مكتب 3,0,0,2,6,1,1,116,29,0,0,2,0,3,0,0,0,0,0,0,0,1,0,3,114,0,15,22,315.0
13010300704,م إبتدائية الهدى الزريبة - الزريبة الجنوبية  مكتب 4,1,0,0,0,0,0,129,27,0,0,2,0,3,0,1,2,0,1,0,0,2,0,0,127,0,13,26,334.0
13010400801,م إبتدائية القرية الزريبة  مكتب 1,4,0,1,1,1,1,209,16,0,1,2,0,5,0,0,0,0,1,0,0,0,1,1,43,2,11,6,306.0
13010400802,م إبتدائية القرية الزريبة  مكتب 2,0,1,0,0,0,0,155,23,0,2,1,0,1,0,0,1,0,0,0,0,3,0,1,54,0,23,14,279.0
13010400803,م إبتدائية القرية الزريبة  مكتب 3,1,0,0,1,1,0,123,28,1,2,3,0,1,0,0,0,1,0,0,0,0,0,1,52,1,12,16,244.0
13010500901,م إبتدائية بوعشير  مكتب 1,1,1,0,4,1,0,128,33,2,0,1,1,2,2,1,3,0,0,2,0,5,0,1,33,1,5,15,242.0
13010500902,م إبتدائية بوعشير  مكتب 2,0,1,0,2,0,0,83,39,0,2,0,0,0,0,0,1,1,0,0,0,3,0,0,44,1,5,11,193.0
13010601001,م إبتدائية جرادو   مكتب 1,1,0,0,2,1,0,126,1,5,1,1,1,5,0,1,2,0,0,2,0,6,0,1,97,0,6,3,262.0
13010601002,م إبتدائية جرادو   مكتب 2,0,0,0,0,0,0,117,11,0,0,4,1,2,0,0,0,0,0,0,0,5,1,0,121,0,3,6,271.0
13010701101,م إبتدائية عين البطرية   مكتب 1,2,1,0,6,1,1,110,23,1,0,5,0,2,0,0,1,0,1,2,0,3,0,1,25,1,25,20,231.0
13010701201,م إبتدائية واد الكنز -  البطرية  مكتب 1,3,1,1,1,1,0,155,15,2,3,5,0,6,0,0,3,1,2,0,1,6,1,3,51,0,45,39,345.0
مجموع أصوات القائمة,26,8,12,77,19,20,3000,583,16,24,58,6,63,8,9,32,9,20,10,7,90,8,24,1851,10,404,328,6722,
