circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب,center_name_x,center_code,district_code,district_name,region_code,region_name,center_name_y,center_name_ar,LATITUDE,LONGITUDE
Etranger,Allemagne,52,ألمانيا,1,1,113,99,2,5,2067,120,4,8,40,1,90,9,6,38,4,1,7,7,50,1,20,3308,5,161,850,7018,ألمانيا,,,,,,,,,
Etranger,AmeriqueetRestedEurope,54,القارة الأمريكية و باقي الدول الأوروبيـة,8,4,255,172,2,14,5730,282,7,30,97,0,202,19,6,60,11,3,4,19,95,3,66,6440,9,240,1854,15632,القارة الأمريكية و باقي الدول الأوروبيـة,,,,,,,,,
Etranger,France2,51,فرنسا-مرسيليا,76,12,320,401,21,53,13836,514,56,64,179,16,358,34,23,65,33,16,41,28,296,25,125,11224,17,962,2797,31592,فرنسا-مرسيليا,,,,,,,,,
Etranger,PaysArabeetResteduMonde,55,العالم العربي و باقي دول العـالم,12,2,136,134,6,13,4199,342,2,22,88,3,212,19,5,61,7,0,6,8,92,4,58,5817,4,236,1055,12543,العالم العربي و باقي دول العـالم,,,,,,,,,
Ariana,ArianaVille,4010100101,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 1,0,0,6,1,0,1,314,14,0,1,3,0,5,1,0,3,0,1,0,2,2,0,7,83,0,2,19,465,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010100102,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 2,0,0,5,3,0,0,301,11,1,2,1,1,1,0,0,0,0,0,1,2,1,0,5,95,0,3,22,455,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010100103,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 3,0,0,2,4,0,1,279,11,0,1,2,0,7,0,0,4,0,0,1,0,2,0,1,100,0,4,32,451,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010100104,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 4,0,0,4,2,0,3,243,17,0,0,2,0,4,1,1,0,0,0,0,1,2,0,0,130,0,4,34,448,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010100105,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 5,1,0,2,6,0,0,195,17,0,0,1,0,5,0,0,2,0,0,0,0,1,0,5,117,0,3,38,393,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
Ariana,ArianaVille,4010100106,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 6,0,0,7,5,0,0,177,25,0,0,2,1,4,0,0,2,0,0,0,0,0,0,1,93,1,2,71,391,م إبتدائية شارع الحرية أريانة الجديدة,1343.0,4.0,Ariana,1033.0,Ariana Ville,E.P.B.LA LIBERTE ARIANA NEUVE,م إبتدائية شارع الحرية أريانة الجديدة,36.851034000000006,10.181445
